,,,,,TestName,Presence Rivet 1,Presence Rivet 2,Presence Rivet 3,Presence Rivet 4,Presence Rivet 5,Presence Rivet 6,Presence Rivet 7,Presence Rivet 8,UUT Current Measurment,24 VDC Measurment,5 VDC Measurment,3.3 VDC Measurment,5V_Pressure_Transducer Measurment,VDC w/18 VAC Power,VDC w/7 VAC Power,Program & Verify Hardware,Program & Verify Serial Number,Verify Software Number,2.5V_Buf Reference,UIO1 Data Calibrated,UIO2 Data Calibrated,2.5V Reference Data Calibrated,UIO1 Calibration,UIO2 Calibration,2.5V Reference Calibration,UI1 Data Calibrated,UI2 Data Calibrated,UI3 Data Calibrated,UI4 Data Calibrated,UI5 Data Calibrated,UI6 Data Calibrated,UI7 Data Calibrated,UI1 Calibration,UI2 Calibration,UI3 Calibration,UI4 Calibration,UI5 Calibration,UI6 Calibration,UI7 Calibration,AO1 Data Calibrated,AO2 Data Calibrated,AO3 Data Calibrated,AO4 Data Calibrated,AO1 Calibration,AO2 Calibration,AO3 Calibration,AO4 Calibration,Binary Output 1 Led ON,Binary Output 2 Led ON,Binary Output 3 Led ON,Binary Output 4 Led ON,24 VAC Binary Output 1,24 VAC Binary Output 2,24 VAC Binary Output 3,24 VAC Binary Output 4,Binary Output 1 Led OFF,Binary Output 2 Led OFF,Binary Output 3 Led OFF,Binary Output 4 Led OFF,0 VAC Binary Output 1,0 VAC Binary Output 2,0 VAC Binary Output 3,0 VAC Binary Output 4,Binary Input 1 High,Binary Input 2 High,Binary Input 3 High,Binary Input 4 High,Binary Input 5 High,Binary Input 6 High,Binary Input 1 Low,Binary Input 2 Low,Binary Input 3 Low,Binary Input 4 Low,Binary Input 5 Low,Binary Input 6 Low,AO1 Voltage Output Mode 10V,AO2 Voltage Output Mode 10V,AO3 Voltage Output Mode 10V,AO4 Voltage Output Mode 10V,AO1 Voltage Output Mode 0V,AO2 Voltage Output Mode 0V,AO3 Voltage Output Mode 0V,AO4 Voltage Output Mode 0V,AO1 Current Output Mode 10 mA,AO2 Current Output Mode 10 mA,AO3 Current Output Mode 10 mA,AO4 Current Output Mode 10 mA,AO1 Current Output Mode 0 mA,AO2 Current Output Mode 0 mA,AO3 Current Output Mode 0 mA,AO4 Current Output Mode 0 mA,AO3 PWM Output Mode 80Hz,AO4 PWM Output Mode 80Hz,UI1 Voltage Input Mode 10V,UI2 Voltage Input Mode 10V,UI3 Voltage Input Mode 10V,UI4 Voltage Input Mode 10V,UI5 Voltage Input Mode 10V,UI6 Voltage Input Mode 10V,UI7 Voltage Input Mode 10V,UI1 Current Input Mode 10mA,UI2 Current Input Mode 10mA,UI3 Current Input Mode 10mA,UI4 Current Input Mode 10mA,UI5 Current Input Mode 10mA,UI6 Current Input Mode 10mA,UI7 Current Input Mode 10mA,UI1 Resistance Input Mode 10k,UI2 Resistance Input Mode 10k,UI3 Resistance Input Mode 10k,UI4 Resistance Input Mode 10k,UI5 Resistance Input Mode 10k,UI6 Resistance Input Mode 10k,UI7 Resistance Input Mode 10k,UIO1 Current Input Mode 10mA,UIO2 Current Input Mode 10mA,UIO1 Resistance Input Mode 10k,UIO2 Resistance Input Mode 10k,UIO1 Binary Input Mode "0",UIO2 Binary Input Mode "0",UIO1 Binary Input Mode "1",UIO2 Binary Input Mode "1",UIO1 Voltage Output Mode 10V,UIO2 Voltage Output Mode 10V,UIO1 Voltage Output Mode 0V,UIO2 Voltage Output Mode 0V,Rotary Address 1 SW1,Rotary Address 2 SW1,Rotary Address 3 SW1,Rotary Address 4 SW1,Rotary Address 5 SW1,Rotary Address 6 SW1,Rotary Address 7 SW1,Rotary Address 8 SW1,Rotary Address 9 SW1,Rotary Address 1 SW2,Rotary Address 2 SW2,Rotary Address 3 SW2,Rotary Address 4 SW2,Rotary Address 5 SW2,Rotary Address 6 SW2,Rotary Address 7 SW2,Rotary Address 8 SW2,Rotary Address 9 SW2,J11 Address J11.1,J11 Address J11.3,J11 Address J11.5,J11 Address J11.7
,,,,,LowLimit,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,0.0900,22.8000,4.7500,3.1350,4.9500,20.8000,0.0000,Passed,Passed,,2250.00,,,,Passed,Passed,Passed,,,,,,,,Passed,Passed,Passed,Passed,Passed,Passed,Passed,,,,,Passed,Passed,Passed,Passed,1000,1000,1000,1000,22.80,22.80,22.80,22.80,-100,-100,-100,-100,0.00,0.00,0.00,0.00,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,9.85,9.85,9.85,9.85,-0.05,-0.05,-0.05,-0.05,9.75,9.75,9.75,9.75,-0.25,-0.25,-0.25,-0.25,79.20,79.20,9.90,9.90,9.90,9.90,9.90,9.90,9.90,9.85,9.85,9.85,9.85,9.85,9.85,9.85,9900,9900,9900,9900,9900,9900,9900,9.85,9.85,9900,9900,Passed,Passed,Passed,Passed,9.80,9.80,-0.05,-0.05,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,80,80,80,80
,,,,,HighLimit,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,0.2000,27.2000,5.2500,3.4650,5.1500,25.2000,24.0000,Passed,Passed,,2750.00,,,,Passed,Passed,Passed,,,,,,,,Passed,Passed,Passed,Passed,Passed,Passed,Passed,,,,,Passed,Passed,Passed,Passed,100000,100000,100000,100000,25.20,25.20,25.20,25.20,100,100,100,100,1.20,1.20,1.20,1.20,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,10.15,10.15,10.15,10.15,0.05,0.05,0.05,0.05,10.25,10.25,10.25,10.25,0.25,0.25,0.25,0.25,80.80,80.80,10.10,10.10,10.10,10.10,10.10,10.10,10.10,10.15,10.15,10.15,10.15,10.15,10.15,10.15,10100,10100,10100,10100,10100,10100,10100,10.15,10.15,10100,10100,Passed,Passed,Passed,Passed,10.20,10.20,1.00,1.00,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,89,88,86,82
,,,,,Units,,,,,,,,,A,VDC,VDC,VDC,VDC,VDC,VDC,,,,mV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lm,Lm,Lm,Lm,VAC,VAC,VAC,VAC,Lm,Lm,Lm,Lm,VAC,VAC,VAC,VAC,,,,,,,,,,,,,VDC,VDC,VDC,VDC,VDC,VDC,VDC,VDC,mADC,mADC,mADC,mADC,mADC,mADC,mADC,mADC,Hz,Hz,VDC,VDC,VDC,VDC,VDC,VDC,VDC,mADC,mADC,mADC,mADC,mADC,mADC,mADC,Ohms,Ohms,Ohms,Ohms,Ohms,Ohms,Ohms,mADC,mADC,Ohms,Ohms,,,,,VDC,VDC,VDC,VDC,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts
SN,Date,CycleTime,Nest,Status,FirstFail
S224802790,07/12/2022 06:12:23 p. m.,269.35s,1,Failed,24 VAC Binary Output 3,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,0.1509,24.9658,4.9874,3.3280,5.0685,23.5003,16.3804,Passed,Passed,011FE5,2491.44,024F44DB0012575100109BFD001A2700,0250449500145757000F9C08001926F5,025D9BB7,Passed,Passed,Passed,0251DA9377FF0B686DDF000689D0000F,0252DAA077F90B646DA3000989690011,0253DA8577DC0B5E6DE4000B89D50019,0254DA9477F80B646DEA000D89CD001A,0255DAF0782D0B666DAA00108994001A,0256DA8A78000B5E6DEE001089E0001A,0257DAB5780E0B6C6DC600108999001B,Passed,Passed,Passed,Passed,Passed,Passed,Passed,02586DDC0019,0259FFFF7FFF,025A6E060020,025B6DE80018,Passed,Passed,Passed,Passed,0,9454,52150,54249,23.94,23.94,23.94,0.01,0,0,0,0,0.19,0.19,0.15,0.13,Failed,Failed,Passed,Failed,Failed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,10.05,0.01,10.13,10.04,0.00,0.01,0.00,0.00,10.08,0.00,10.10,10.02,0.00,-0.00,0.00,0.00,80.27,80.26,10.10,10.10,10.10,10.09,10.10,10.10,10.10,9.98,9.98,9.99,9.99,9.99,9.99,9.99,9997,9997,9998,9998,9998,9998,9998,10.01,10.01,9999,9998,Passed,Passed,Passed,Passed,9.99,9.99,0.01,0.01,0,0,0,0,0,0,0,0,0,1,2,3,4,5,6,7,8,9,89,88,86,82
S224802790,07/12/2022 06:54:38 p. m.,254.46s,1,Failed,J11 Address J11.7,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,0.1490,24.9842,4.9875,3.3278,5.0684,23.5180,16.5240,Passed,Passed,011FE5,2490.83,024F44DA0018575200189C02001B26F9,025044970015575800199C0E001A26ED,025D9BAD,Passed,Passed,Passed,0251DA8477FB0B696DE3000789F6000D,0252DA9277F20B5C6DA6000D897C0012,0253DA7577D40B586DE9000B89F60014,0254DA8577F00B5B6DF1000C89DE001A,0255DAE278250B5E6DAE001089AB0017,0256DA7977FD0B586DF6000F89DA001F,0257DAAA78050B706DCC001089B9001A,Passed,Passed,Passed,Passed,Passed,Passed,Passed,02586DDD001D,02596D920017,025A6E0B0023,025B6DEC001B,Passed,Passed,Passed,Passed,0,16878,57773,48842,23.94,23.94,23.94,23.96,0,0,0,0,0.20,0.20,0.15,0.14,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,10.05,10.03,10.12,10.05,0.00,0.00,0.00,0.00,10.10,10.10,10.11,10.01,0.00,0.00,0.00,0.00,80.26,80.25,10.10,10.10,10.10,10.09,10.10,10.09,10.10,9.98,9.98,9.99,9.99,9.98,10.00,9.99,10000,9999,10000,10001,10000,10000,10001,10.01,10.01,10003,9995,Passed,Passed,Passed,Passed,9.99,9.99,0.01,0.01,10,20,30,40,50,60,70,10,80,1,2,3,2,4,5,4,6,7,89,88,86,82
S224506293,07/12/2022 06:58:44 p. m.,502.25s,2,Passed,,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,0.1485,25.5642,4.9938,3.3050,5.0603,23.7498,16.6271,Passed,Passed,011FE5,2494.06,024F44EA0015576200119C2A00162704,025044B00017573A000F9C29001E26F3,025D9BE1,Passed,Passed,Passed,0251D8F477000B466E1100098A14000E,0252D8FA771D0B4A6E3D000B8A440011,0253D8F477290B4A6E20000D8A260017,0254D91277370B4A6E14000E8A000019,0255D8FF771C0B426DB9001289980019,0256D8FF771B0B426DBF001489AB0019,0257D8E576FE0B4A6E04001289ED001B,Passed,Passed,Passed,Passed,Passed,Passed,Passed,02586E49001B,02596E2F0017,025A6E170022,025B6E01001B,Passed,Passed,Passed,Passed,10105,17108,50191,27371,23.94,23.94,23.94,23.96,0,0,0,0,0.08,0.09,0.09,0.08,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,10.02,10.00,10.00,10.02,0.00,0.00,0.00,0.00,10.04,10.03,10.00,9.97,0.00,0.00,0.00,0.00,80.25,80.26,10.09,10.09,10.09,10.09,10.09,10.09,10.09,9.98,9.98,9.98,9.98,9.98,9.98,9.98,10001,10001,10001,10003,10002,10003,10001,10.01,10.01,10010,9995,Passed,Passed,Passed,Passed,9.98,9.98,0.01,0.01,10,20,30,40,50,60,70,80,90,1,2,3,4,5,6,7,15,8,89,87,85,81
S224802790,07/12/2022 07:04:28 p. m.,254.10s,1,Failed,Binary Output 1 Led ON,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,0.1506,24.9338,4.9876,3.3276,5.0683,23.4745,16.5621,Passed,Passed,011FE5,2491.29,024F44DB001A575800079C0500192701,025044980015575F00089C10001726F3,025D9BB5,Passed,Passed,Passed,0251DA8477F80B5F6DE4000789D5000C,0252DA9377F20B5C6DAA0006898A000E,0253DA7977D90B5A6DE9000E8A00000F,0254DA8477EF0B5C6DED000F89ED0012,0255DAE478240B5D6DAD001189A10014,0256DA7D77FD0B5A6DF200148A010013,0257DAAB780E0B6B6DCA001389A70015,Passed,Passed,Passed,Passed,Passed,Passed,Passed,02586DDD001D,02596D930017,025A6E0E0022,025B6DEC001C,Passed,Passed,Passed,Passed,0,0,53586,43216,23.94,23.94,23.94,23.96,0,0,0,0,0.19,0.19,0.14,0.13,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,10.05,10.03,9.99,10.05,0.00,0.00,0.00,0.00,10.09,10.09,10.10,10.01,0.00,0.00,0.00,0.00,80.26,80.25,10.10,10.10,10.10,10.10,10.10,10.10,10.10,9.98,9.99,9.97,9.97,9.98,9.97,9.98,9993,9995,9999,10000,9998,9999,9999,10.01,10.01,10009,9999,Passed,Passed,Passed,Passed,10.00,9.99,0.01,0.01,10,20,30,40,50,40,60,70,80,80,1,2,3,4,5,4,6,7,89,88,86,82
S224506293,07/12/2022 07:08:33 p. m.,499.35s,2,Passed,,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,0.1493,25.5410,4.9938,3.3051,5.0602,23.6803,16.7164,Passed,Passed,011FE5,2492.58,024F44EA0015576000129C23001826F5,025044B10016573A000D9C2A001926E8,025D9BC9,Passed,Passed,Passed,0251D8F277000B466E1000098A12000F,0252D8F9771C0B4A6E3D00098A480011,0253D8F177290B4A6E21000D8A260017,0254D91277370B4A6E15000F8A010018,0255D8FE771C0B426DBA0011899C0018,0256D8FD771B0B436DC0001389AB0019,0257D8E276FD0B4A6E04001289F60019,Passed,Passed,Passed,Passed,Passed,Passed,Passed,02586E4A001A,02596E300016,025A6E170021,025B6E010019,Passed,Passed,Passed,Passed,10105,17108,50469,27511,23.94,23.94,23.94,23.96,0,0,0,0,0.09,0.10,0.10,0.08,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,10.02,10.02,9.96,10.02,0.00,0.00,0.00,0.00,10.04,10.05,10.02,9.97,0.00,0.00,0.00,0.00,80.23,80.24,10.09,10.09,10.09,10.09,10.09,10.09,10.09,9.99,9.98,9.98,9.98,9.98,9.98,9.98,10001,10003,10004,10003,10003,10004,10003,10.01,10.01,10007,9996,Passed,Passed,Passed,Passed,9.96,9.98,0.01,0.01,10,20,30,10,40,50,40,60,70,90,1,2,3,2,4,5,6,7,89,87,85,81
S224802790,07/12/2022 07:24:30 p. m.,254.43s,1,Passed,,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,0.1515,24.9615,4.9875,3.3278,5.0683,23.6934,16.7737,Passed,Passed,011FE5,2489.83,024F44DA0018575900069C03001826FC,025044980013575D00079C0F001726E9,025D9B9D,Passed,Passed,Passed,0251DA8A77FD0B5F6DE4000589D0000B,0252DA9C77F80B5C6DA900068984000E,0253DA7D77DC0B5A6DE7000D89F20010,0254DA8A77F40B5B6DED000E89E90011,0255DAEA78290B5E6DAB001189A70013,0256DA8178020B5A6DF1001489FB0013,0257DAB178110B6A6DC9001289A10014,Passed,Passed,Passed,Passed,Passed,Passed,Passed,02586DDC001C,02596D930016,025A6E0C0021,025B6DEA001C,Passed,Passed,Passed,Passed,12234,57479,46748,57479,23.94,23.94,23.94,23.96,0,0,0,0,0.19,0.19,0.15,0.13,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,10.05,10.02,10.05,10.05,0.00,0.00,0.00,0.00,10.09,10.10,10.13,10.00,0.00,0.00,0.00,0.00,80.25,80.24,10.10,10.10,10.10,10.10,10.10,10.10,10.10,9.98,9.99,9.98,9.97,9.98,9.97,9.98,9990,9992,9997,9994,9994,9995,9998,10.01,10.01,10014,10002,Passed,Passed,Passed,Passed,9.99,9.99,0.01,0.01,10,20,30,40,50,60,70,80,90,1,2,3,4,5,6,7,8,9,89,88,86,82
