,,,,,TestName,Presence Rivet 1,Presence Rivet 2,Presence Rivet 3,Presence Rivet 4,Presence Rivet 5,Presence Rivet 6,Presence Rivet 7,Presence Rivet 8,UUT Current Measurment,24 VDC Measurment,5 VDC Measurment,3.3 VDC Measurment,5V_Pressure_Transducer Measurment,VDC w/18 VAC Power,VDC w/7 VAC Power,Program & Verify Hardware,Hardware Number,Program & Verify Serial Number,Verify Software Number,2.5V_Buf Reference,UIO1 Data Calibrated,UIO2 Data Calibrated,2.5V Reference Data Calibrated,UIO1 Calibration,UIO2 Calibration,2.5V Reference Calibration,UI1 Data Calibrated,UI2 Data Calibrated,UI3 Data Calibrated,UI4 Data Calibrated,UI5 Data Calibrated,UI6 Data Calibrated,UI7 Data Calibrated,UI1 Calibration,UI2 Calibration,UI3 Calibration,UI4 Calibration,UI5 Calibration,UI6 Calibration,UI7 Calibration,AO1 Data Calibrated,AO2 Data Calibrated,AO3 Data Calibrated,AO4 Data Calibrated,AO1 Calibration,AO2 Calibration,AO3 Calibration,AO4 Calibration,Binary Output 1 Led ON,Binary Output 2 Led ON,Binary Output 3 Led ON,Binary Output 4 Led ON,24 VAC Binary Output 1,24 VAC Binary Output 2,24 VAC Binary Output 3,24 VAC Binary Output 4,Binary Output 1 Led OFF,Binary Output 2 Led OFF,Binary Output 3 Led OFF,Binary Output 4 Led OFF,0 VAC Binary Output 1,0 VAC Binary Output 2,0 VAC Binary Output 3,0 VAC Binary Output 4,Binary Input 1 High,Binary Input 2 High,Binary Input 3 High,Binary Input 4 High,Binary Input 5 High,Binary Input 6 High,Binary Input 1 Low,Binary Input 2 Low,Binary Input 3 Low,Binary Input 4 Low,Binary Input 5 Low,Binary Input 6 Low,AO1 Voltage Output Mode 10V,AO2 Voltage Output Mode 10V,AO3 Voltage Output Mode 10V,AO4 Voltage Output Mode 10V,AO1 Voltage Output Mode 0V,AO2 Voltage Output Mode 0V,AO3 Voltage Output Mode 0V,AO4 Voltage Output Mode 0V,AO1 Current Output Mode 10 mA,AO2 Current Output Mode 10 mA,AO3 Current Output Mode 10 mA,AO4 Current Output Mode 10 mA,AO1 Current Output Mode 0 mA,AO2 Current Output Mode 0 mA,AO3 Current Output Mode 0 mA,AO4 Current Output Mode 0 mA,AO3 PWM Output Mode 80Hz,AO4 PWM Output Mode 80Hz,UI1 Voltage Input Mode 10V,UI2 Voltage Input Mode 10V,UI3 Voltage Input Mode 10V,UI4 Voltage Input Mode 10V,UI5 Voltage Input Mode 10V,UI6 Voltage Input Mode 10V,UI7 Voltage Input Mode 10V,UI1 Current Input Mode 10mA,UI2 Current Input Mode 10mA,UI3 Current Input Mode 10mA,UI4 Current Input Mode 10mA,UI5 Current Input Mode 10mA,UI6 Current Input Mode 10mA,UI7 Current Input Mode 10mA,UI1 Resistance Input Mode 10k,UI2 Resistance Input Mode 10k,UI3 Resistance Input Mode 10k,UI4 Resistance Input Mode 10k,UI5 Resistance Input Mode 10k,UI6 Resistance Input Mode 10k,UI7 Resistance Input Mode 10k,UIO1 Current Input Mode 10mA,UIO2 Current Input Mode 10mA,UIO1 Resistance Input Mode 10k,UIO2 Resistance Input Mode 10k,UIO1 Binary Input Mode "0",UIO2 Binary Input Mode "0",UIO1 Binary Input Mode "1",UIO2 Binary Input Mode "1",UIO1 Voltage Output Mode 10V,UIO2 Voltage Output Mode 10V,UIO1 Voltage Output Mode 0V,UIO2 Voltage Output Mode 0V,Rotary Address 1 SW1,Rotary Address 2 SW1,Rotary Address 3 SW1,Rotary Address 4 SW1,Rotary Address 5 SW1,Rotary Address 6 SW1,Rotary Address 7 SW1,Rotary Address 8 SW1,Rotary Address 9 SW1,Rotary Address 1 SW2,Rotary Address 2 SW2,Rotary Address 3 SW2,Rotary Address 4 SW2,Rotary Address 5 SW2,Rotary Address 6 SW2,Rotary Address 7 SW2,Rotary Address 8 SW2,Rotary Address 9 SW2,J11 Address J11.1,J11 Address J11.3,J11 Address J11.5,J11 Address J11.7
,,,,,LowLimit,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,0.0900,22.8000,4.7500,3.1350,4.9500,20.8000,0.0000,Passed,,Passed,,2250.00,,,,Passed,Passed,Passed,,,,,,,,Passed,Passed,Passed,Passed,Passed,Passed,Passed,,,,,Passed,Passed,Passed,Passed,1000,1000,1000,1000,22.80,22.80,22.80,22.80,-100,-100,-100,-100,0.00,0.00,0.00,0.00,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,9.85,9.85,9.85,9.85,-0.05,-0.05,-0.05,-0.05,9.75,9.75,9.75,9.75,-0.25,-0.25,-0.25,-0.25,79.20,79.20,9.90,9.90,9.90,9.90,9.90,9.90,9.90,9.85,9.85,9.85,9.85,9.85,9.85,9.85,9900,9900,9900,9900,9900,9900,9900,9.85,9.85,9900,9900,Passed,Passed,Passed,Passed,9.80,9.80,-0.05,-0.05,10,10,10,10,10,10,10,10,10,1,1,1,1,1,1,1,1,1,80,80,80,80
,,,,,HighLimit,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,0.2000,27.2000,5.2500,3.4650,5.1500,25.2000,24.0000,Passed,,Passed,,2750.00,,,,Passed,Passed,Passed,,,,,,,,Passed,Passed,Passed,Passed,Passed,Passed,Passed,,,,,Passed,Passed,Passed,Passed,100000,100000,100000,100000,25.20,25.20,25.20,25.20,100,100,100,100,1.20,1.20,1.20,1.20,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,10.15,10.15,10.15,10.15,0.05,0.05,0.05,0.05,10.25,10.25,10.25,10.25,0.25,0.25,0.25,0.25,80.80,80.80,10.10,10.10,10.10,10.10,10.10,10.10,10.10,10.15,10.15,10.15,10.15,10.15,10.15,10.15,10100,10100,10100,10100,10100,10100,10100,10.15,10.15,10100,10100,Passed,Passed,Passed,Passed,10.20,10.20,1.00,1.00,90,90,90,90,90,90,90,90,90,19,19,19,19,19,19,19,19,19,89,88,86,82
,,,,,Units,,,,,,,,,A,VDC,VDC,VDC,VDC,VDC,VDC,,,,,mV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lm,Lm,Lm,Lm,VAC,VAC,VAC,VAC,Lm,Lm,Lm,Lm,VAC,VAC,VAC,VAC,,,,,,,,,,,,,VDC,VDC,VDC,VDC,VDC,VDC,VDC,VDC,mADC,mADC,mADC,mADC,mADC,mADC,mADC,mADC,Hz,Hz,VDC,VDC,VDC,VDC,VDC,VDC,VDC,mADC,mADC,mADC,mADC,mADC,mADC,mADC,Ohms,Ohms,Ohms,Ohms,Ohms,Ohms,Ohms,mADC,mADC,Ohms,Ohms,,,,,VDC,VDC,VDC,VDC,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts
SN,Date,CycleTime,Nest,Status,FirstFail
S230200067,23/01/2023 04:41:23 p. m.,300.65s,1,Failed,UI1 Voltage Input Mode 10V,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,0.1530,24.8883,4.9996,3.3014,5.0753,23.7028,16.5178,Passed,1365173601,Passed,011FE5,2494.87,024F44E80018576800099C58001926ED,025044A5001E5760000D9C61001A26DE,025D9BEE,Passed,Passed,Passed,0251D87C76C40B456E0C000F89E6000F,0252D8B276F90B4A6DAB0004896F0011,0253D8C177020B476DD9001589C00015,0254D8AD76D60B436E10001489DD0017,0255D8AC76F40B456E3900158A4B0015,0256D8E577150B456D96001789580019,0257D86F76D00B4C6E4400168A450015,Passed,Passed,Passed,Passed,Passed,Passed,Passed,02586E4C001E,02596DEE001B,025A6E600024,025B6E45001D,Passed,Passed,Passed,Passed,13631,23882,59869,23882,23.93,23.93,23.93,23.95,0,0,0,0,0.18,0.18,0.14,0.12,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,10.05,10.00,9.96,10.01,0.01,0.01,0.01,0.01,10.00,10.04,9.98,9.99,0.00,0.01,0.00,0.00,80.32,80.33,10.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S230200142,23/01/2023 04:46:47 p. m.,624.50s,2,Passed,,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,0.1509,24.8667,4.9994,3.3134,5.0521,23.5958,16.7050,Passed,1365173601,Passed,011FE5,2495.57,024F4520000C578300059C63001926FE,025044E500165762000A9C6F000D26EC,025D9BF9,Passed,Passed,Passed,0251D939772F0B4E6E2B000B8A06000F,0252D974773F0B4F6E1C000989EE0010,0253D97C77450B4E6E75000D8A950011,0254D91D77290B496E52000F8A6E0013,0255D969773C0B486E5300138A730013,0256D93E77350B476E25001489DF0017,0257D90F77290B536E2100138A0A0016,Passed,Passed,Passed,Passed,Passed,Passed,Passed,02586E8E001D,02596E890018,025A6E530023,025B6E19001E,Passed,Passed,Passed,Passed,9121,5056,19071,40797,23.94,23.94,23.94,23.96,0,0,0,0,0.08,0.09,0.09,0.07,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,10.05,10.02,9.96,10.02,0.01,0.00,0.01,0.00,10.03,10.09,10.05,9.98,0.00,0.00,0.00,0.00,80.28,80.29,10.06,10.07,10.06,10.06,10.06,10.06,10.06,9.99,9.99,9.97,9.97,9.98,9.96,9.97,9971,10001,10001,10000,10000,10001,10007,10.01,10.01,10017,9997,Passed,Passed,Passed,Passed,9.98,9.99,0.01,0.01,10,20,30,40,50,40,60,70,80,1,3,2,3,4,5,6,7,8,89,88,86,82
S230200072,23/01/2023 04:56:03 p. m.,331.19s,1,Passed,,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,0.1515,24.9378,4.9961,3.2961,5.0615,23.9288,17.3916,Passed,1365173601,Passed,011FE5,2495.02,024F44F80018576E00099C3B00182705,025044EE00195762000A9C44001826F1,025D9BF0,Passed,Passed,Passed,0251D87476CC0B496DF1000A89BC000F,0252D88376CA0B446DEC000B89B60010,0253D86F76CB0B436E3700138A100015,0254D87A76C00B3F6DD2001389870017,0255D86B76B60B3A6DFA001789E60019,0256D86C76AA0B346DA60015897A0019,0257D85976A80B476DF6001789D90018,Passed,Passed,Passed,Passed,Passed,Passed,Passed,02586E000023,02596E25001E,025A6E430027,025B6E410020,Passed,Passed,Passed,Passed,11647,21615,52900,21615,23.93,23.93,23.93,23.95,0,0,0,0,0.18,0.18,0.14,0.12,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,10.04,10.00,9.89,10.02,0.01,0.00,0.00,0.00,9.94,10.02,10.01,9.97,0.00,0.00,0.00,0.00,80.34,80.33,10.10,10.10,10.10,10.09,10.10,10.10,10.10,9.99,9.99,9.98,9.99,9.98,9.99,9.98,9998,10000,10001,9999,9999,10000,10014,10.01,10.01,10013,9993,Passed,Passed,Passed,Passed,9.97,9.97,0.01,0.01,10,20,30,20,40,50,40,60,70,1,2,3,2,4,5,4,6,7,89,88,86,82
S224900538,23/01/2023 05:01:33 p. m.,660.94s,2,Failed,Rotary Address 1 SW1,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,0.1510,24.9205,4.9995,3.3019,5.0754,23.7159,16.8635,Passed,1365173601,Passed,011FE5,2495.10,024F44EF00145759001D9C4F001B26FD,025044AB00145758001B9C60001B26E6,025D9BF2,Passed,Passed,Passed,0251D88D76BF0B376E0900078A010010,0252D8C176FC0B406DA50007896A0011,0253D8D776FC0B396DE0000C89D6001A,0254D8AD76D30B366E0C001089D7001E,0255D8AE76FD0B376E32001689FC0023,0256D8E877080B376D9700118944001D,0257D87276C70B426E3B001689E90025,Passed,Passed,Passed,Passed,Passed,Passed,Passed,02586E480020,02596DE7001C,025A6E5B0027,025B6E410020,Passed,Passed,Passed,Passed,8783,5056,23549,36498,23.94,23.94,23.94,23.96,0,0,0,0,0.10,0.10,0.09,0.07,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,10.03,10.02,9.97,10.01,0.01,0.01,0.01,0.01,10.00,10.02,9.98,9.97,0.00,0.01,0.00,0.00,80.29,80.28,10.06,10.07,10.07,10.07,10.06,10.07,10.06,9.98,9.97,9.99,9.99,9.99,9.97,10.00,9999,10000,10000,10000,9999,10001,10015,10.01,10.01,10012,9996,Passed,Passed,Passed,Passed,9.97,9.97,0.01,0.01,0,,,,,,,,,,,,,,,,,,,,,
S224900538,23/01/2023 05:15:01 p. m.,337.33s,1,Failed,Rotary Address 1 SW1,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,0.1505,24.9275,4.9996,3.3021,5.0753,23.7393,16.8827,Passed,1365173601,Passed,011FE5,2494.98,024F44EA0017575B00199C4F001C26F3,025044AB0014575A00169C60001826E5,025D9BF0,Passed,Passed,Passed,0251D88476BF0B376E0C00078A11000D,0252D8B376FF0B3D6DA4000E895C0012,0253D8CE76FF0B396DDD000D89DC0017,0254D8AC76D60B366E18000B89E1001C,0255D8AA76FE0B376E3A001289F80022,0256D8E477160B386D9200158937001D,0257D86C76CA0B406E47001389EB0023,Passed,Passed,Passed,Passed,Passed,Passed,Passed,02586E4A001E,02596DED001A,025A6E5D0026,025B6E44001E,Passed,Passed,Passed,Passed,13359,23380,60015,23380,23.93,23.93,23.93,23.95,0,0,0,0,0.17,0.18,0.14,0.12,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,10.03,10.00,9.98,10.01,0.01,0.01,0.01,0.01,10.00,10.01,9.98,10.00,0.00,0.01,0.00,0.00,80.32,80.32,10.10,10.10,10.10,10.10,10.10,10.10,10.10,9.99,9.98,9.99,10.00,10.00,9.97,10.00,9998,9998,9999,9997,9998,9998,10014,10.01,10.01,10006,9994,Passed,Passed,Passed,Passed,9.97,9.97,0.01,0.01,0,,,,,,,,,,,,,,,,,,,,,
S224900547,23/01/2023 05:18:56 p. m.,572.79s,2,Failed,Binary Output 2 Led ON,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,0.1499,24.9491,4.9963,3.2964,5.0614,24.2697,17.8543,Passed,1365173601,Passed,011FE5,2493.37,024F44FD0011576800159C3C001926EA,025044F30012575C00189C46001926DB,025D9BD6,Passed,Passed,Passed,0251D87A76CF0B3D6DF7000189BE000D,0252D88876CB0B3C6DEE000389BF000E,0253D87576C60B396E32000F89EE001C,0254D87B76BE0B386DD5000C89770017,0255D86A76B60B366DFB001389D20020,0256D86E76A60B356DAB000F896A001A,0257D85576A80B3C6DF9001389CC001E,Passed,Passed,Passed,Passed,Passed,Passed,Passed,02586DFD001C,02596E21001A,025A6E400026,025B6E3E001D,Passed,Passed,Passed,Passed,8439,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
