;;;;;TestName;Presence Rivet 1;Presence Rivet 2;Presence Rivet 3;Presence Rivet 4;Presence Rivet 5;Presence Rivet 6;Presence Rivet 7;Presence Rivet 8;UUT Current Measurment;24 VDC Measurment;5 VDC Measurment;3.3 VDC Measurment;5V_Pressure_Transducer Measurment;VDC w/18 VAC Power;VDC w/7 VAC Power;Program & Verify Hardware;Program & Verify Serial Number;Verify Software Number;2.5V_Buf Reference;UIO1 Data Calibrated;UIO2 Data Calibrated;2.5V Reference Data Calibrated;UIO1 Calibration;UIO2 Calibration;2.5V Reference Calibration;UI1 Data Calibrated;UI2 Data Calibrated;UI3 Data Calibrated;UI4 Data Calibrated;UI5 Data Calibrated;UI6 Data Calibrated;UI7 Data Calibrated;UI1 Calibration;UI2 Calibration;UI3 Calibration;UI4 Calibration;UI5 Calibration;UI6 Calibration;UI7 Calibration;AO1 Data Calibrated;AO2 Data Calibrated;AO3 Data Calibrated;AO4 Data Calibrated;AO1 Calibration;AO2 Calibration;AO3 Calibration;AO4 Calibration;Binary Output 1 Led ON;Binary Output 2 Led ON;Binary Output 3 Led ON;Binary Output 4 Led ON;24 VAC Binary Output 1;24 VAC Binary Output 2;24 VAC Binary Output 3;24 VAC Binary Output 4;Binary Output 1 Led OFF;Binary Output 2 Led OFF;Binary Output 3 Led OFF;Binary Output 4 Led OFF;0 VAC Binary Output 1;0 VAC Binary Output 2;0 VAC Binary Output 3;0 VAC Binary Output 4;Binary Input 1 High;Binary Input 2 High;Binary Input 3 High;Binary Input 4 High;Binary Input 5 High;Binary Input 6 High;Binary Input 1 Low;Binary Input 2 Low;Binary Input 3 Low;Binary Input 4 Low;Binary Input 5 Low;Binary Input 6 Low;AO1 Voltage Output Mode 10V;AO2 Voltage Output Mode 10V;AO3 Voltage Output Mode 10V;AO4 Voltage Output Mode 10V;AO1 Voltage Output Mode 0V;AO2 Voltage Output Mode 0V;AO3 Voltage Output Mode 0V;AO4 Voltage Output Mode 0V;AO1 Current Output Mode 10 mA;AO2 Current Output Mode 10 mA;AO3 Current Output Mode 10 mA;AO4 Current Output Mode 10 mA;AO1 Current Output Mode 0 mA;AO2 Current Output Mode 0 mA;AO3 Current Output Mode 0 mA;AO4 Current Output Mode 0 mA;AO3 PWM Output Mode 80Hz;AO4 PWM Output Mode 80Hz;UI1 Voltage Input Mode 10V;UI2 Voltage Input Mode 10V;UI3 Voltage Input Mode 10V;UI4 Voltage Input Mode 10V;UI5 Voltage Input Mode 10V;UI6 Voltage Input Mode 10V;UI7 Voltage Input Mode 10V;UI1 Current Input Mode 10mA;UI2 Current Input Mode 10mA;UI3 Current Input Mode 10mA;UI4 Current Input Mode 10mA;UI5 Current Input Mode 10mA;UI6 Current Input Mode 10mA;UI7 Current Input Mode 10mA;UI1 Resistance Input Mode 10k;UI2 Resistance Input Mode 10k;UI3 Resistance Input Mode 10k;UI4 Resistance Input Mode 10k;UI5 Resistance Input Mode 10k;UI6 Resistance Input Mode 10k;UI7 Resistance Input Mode 10k;UIO1 Current Input Mode 10mA;UIO2 Current Input Mode 10mA;UIO1 Resistance Input Mode 10k;UIO2 Resistance Input Mode 10k;"UIO1 Binary Input Mode ""0""";"UIO2 Binary Input Mode ""0""";"UIO1 Binary Input Mode ""1""";"UIO2 Binary Input Mode ""1""";UIO1 Voltage Output Mode 10V;UIO2 Voltage Output Mode 10V;UIO1 Voltage Output Mode 0V;UIO2 Voltage Output Mode 0V;Rotary Address 1 SW1;Rotary Address 2 SW1;Rotary Address 3 SW1;Rotary Address 4 SW1;Rotary Address 5 SW1;Rotary Address 6 SW1;Rotary Address 7 SW1;Rotary Address 8 SW1;Rotary Address 9 SW1;Rotary Address 1 SW2;Rotary Address 2 SW2;Rotary Address 3 SW2;Rotary Address 4 SW2;Rotary Address 5 SW2;Rotary Address 6 SW2;Rotary Address 7 SW2;Rotary Address 8 SW2;Rotary Address 9 SW2;J11 Address J11.1;J11 Address J11.3;J11 Address J11.5;J11 Address J11.7
;;;;;LowLimit;Passed;Passed;Passed;Passed;Passed;Passed;Passed;Passed;0.09;22.8;4.75;3.135;4.95;20.8;0;Passed;Passed;;2250;;;;Passed;Passed;Passed;;;;;;;;Passed;Passed;Passed;Passed;Passed;Passed;Passed;;;;;Passed;Passed;Passed;Passed;1000;1000;1000;1000;22.8;22.8;22.8;22.8;-100;-100;-100;-100;0;0;0;0;Passed;Passed;Passed;Passed;Passed;Passed;Passed;Passed;Passed;Passed;Passed;Passed;9.85;9.85;9.85;9.85;-0.05;-0.05;-0.05;-0.05;9.75;9.75;9.75;9.75;-0.25;-0.25;-0.25;-0.25;79.2;79.2;9.9;9.9;9.9;9.9;9.9;9.9;9.9;9.85;9.85;9.85;9.85;9.85;9.85;9.85;9900;9900;9900;9900;9900;9900;9900;9.85;9.85;9900;9900;Passed;Passed;Passed;Passed;9.8;9.8;-0.05;-0.05;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;80;80;80;80
;;;;;HighLimit;Passed;Passed;Passed;Passed;Passed;Passed;Passed;Passed;0.2;27.2;5.25;3.465;5.15;25.2;24;Passed;Passed;;2750;;;;Passed;Passed;Passed;;;;;;;;Passed;Passed;Passed;Passed;Passed;Passed;Passed;;;;;Passed;Passed;Passed;Passed;100000;100000;100000;100000;25.2;25.2;25.2;25.2;100;100;100;100;1.2;1.2;1.2;1.2;Passed;Passed;Passed;Passed;Passed;Passed;Passed;Passed;Passed;Passed;Passed;Passed;10.15;10.15;10.15;10.15;0.05;0.05;0.05;0.05;10.25;10.25;10.25;10.25;0.25;0.25;0.25;0.25;80.8;80.8;10.1;10.1;10.1;10.1;10.1;10.1;10.1;10.15;10.15;10.15;10.15;10.15;10.15;10.15;10100;10100;10100;10100;10100;10100;10100;10.15;10.15;10100;10100;Passed;Passed;Passed;Passed;10.2;10.2;1;1;500;500;500;500;500;500;500;500;500;100;100;100;100;100;100;100;100;100;89;88;86;82
;;;;;Units;;;;;;;;;A;VDC;VDC;VDC;VDC;VDC;VDC;;;;mV;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Lm;Lm;Lm;Lm;VAC;VAC;VAC;VAC;Lm;Lm;Lm;Lm;VAC;VAC;VAC;VAC;;;;;;;;;;;;;VDC;VDC;VDC;VDC;VDC;VDC;VDC;VDC;mADC;mADC;mADC;mADC;mADC;mADC;mADC;mADC;Hz;Hz;VDC;VDC;VDC;VDC;VDC;VDC;VDC;mADC;mADC;mADC;mADC;mADC;mADC;mADC;Ohms;Ohms;Ohms;Ohms;Ohms;Ohms;Ohms;mADC;mADC;Ohms;Ohms;;;;;VDC;VDC;VDC;VDC;counts;counts;counts;counts;counts;counts;counts;counts;counts;counts;counts;counts;counts;counts;counts;counts;counts;counts;counts;counts;counts;counts
SN;Date;CycleTime;Nest;Status;FirstFail;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S224900524;09/12/2022 04:14:59 p. m.;4.58s;1;Failed;UUT Current Measurment;Passed;Passed;Passed;Passed;Passed;Passed;Passed;Passed;0.4874;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S224900524;09/12/2022 04:15:47 p. m.;4.51s;1;Failed;UUT Current Measurment;Passed;Passed;Passed;Passed;Passed;Passed;Passed;Passed;0.4855;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S224900569;09/12/2022 04:19:07 p. m.;127.09s;1;Failed;UI6 Calibration;Passed;Passed;Passed;Passed;Passed;Passed;Passed;Passed;0.1562;25.0872;5.0045;3.3156;5.0727;23.6188;16.3318;Passed;Passed;14565;2499.09;024F44E30008576A00029C73000326EC;025044EEFFF15759FFEB9C79FFEA2702;025D9C31;Passed;Passed;Passed;0251D97277610B626E3300068A010005;0252D93C77370B5F6E1900048A0B0003;0253D974775E0B626E4E00038A370002;0254D954773E0B5A6E3800098A2C0008;0255D94D77290B5C6E8400028A790001;0256D97477660B736E09FFF289E0FFF0;0257D97477520B5C6E4200098A2D0008;Passed;Passed;Passed;Passed;Passed;Failed;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S224900569;09/12/2022 04:24:44 p. m.;260.38s;2;Passed;;Passed;Passed;Passed;Passed;Passed;Passed;Passed;Passed;0.1526;25.1233;5.0048;3.3162;5.0725;23.5146;16.1256;Passed;Passed;14565;2499.13;024F44E50007576900029C6D000426EC;025044EEFFF15757FFEF9C75FFED26FE;025D9C32;Passed;Passed;Passed;0251D97477660B606E3400078A010006;0252D93F773C0B606E1500038A000004;0253D976775F0B606E4D00038A350003;0254D953773F0B586E35000A8A260009;0255D94A772F0B5C6E8200028A730002;0256D97277600B716E08FFF289DAFFF2;0257D97377520B5D6E4000088A2F0007;Passed;Passed;Passed;Passed;Passed;Passed;Passed;02586E6C000C;02596E92FFF5;025A6EA8FFF5;025B6E3F0006;Passed;Passed;Passed;Passed;19686;24692;53704;35196;23.94;23.94;23.94;23.96;0;0;0;0;0.09;0.12;0.12;0.11;Passed;Passed;Passed;Passed;Passed;Passed;Passed;Passed;Passed;Passed;Passed;Passed;10.05;10.03;9.89;10.04;0.01;0.01;0;0.01;10.07;10;10.05;10;0;0;0;0.01;80;80;10.09;10.09;10.09;10.09;10.09;10.09;10.09;10.01;10.01;10;10;10;10.01;10;9995;9994;9995;9998;9997;9996;9998;10.01;10.01;9988;10010;Passed;Passed;Passed;Passed;10;9.98;0.01;0.01;10;20;30;40;50;60;70;80;90;1;2;3;2;4;5;4;6;7;89;88;86;82
S224900543,09/12/2022 04:31:56 p. m.,52.69s,1,Failed,,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,0.1548,24.7226,5.0081,3.3127,5.0738,23.6461,16.6459,Passed,Passed,014565,2500.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,09/12/2022 04:33:29 p. m.,51.95s,1,Failed,,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,0.1527,24.7413,5.0080,3.3125,5.0737,23.6784,16.2692,Passed,Passed,014565,2498.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,09/12/2022 04:47:03 p. m.,5.79s,1,Failed,5 VDC Measurment,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,0.1536,25.0022,6.6338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,09/12/2022 04:49:03 p. m.,125.66s,2,Failed,UI6 Calibration,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,0.1539,24.8081,4.9917,3.3292,5.0797,23.3461,16.1905,Passed,Passed,014565,2492.64,024F45080007574700049C09000D26DE,025044CFFFEF5711FFED9C10FFEA26F7,025D9BCA,Passed,Passed,Passed,0251DAEC78280B736D8F0007895B0006,0252DAEF78340B786DAC000689730004,0253DAEA782B0B746D9F0004896E0003,0254DAB4780A0B6C6E0C000889DB0009,0255DAE4782C0B766E1300038A090003,0256DAEC78190B836DC8FFF189A2FFF0,0257DB0978290B706DD3000A89AB0009,Passed,Passed,Passed,Passed,Passed,Failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,09/12/2022 04:53:20 p. m.,203.05s,2,Failed,,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,0.1514,24.8488,4.9917,3.3290,5.0799,23.2862,16.0450,Passed,Passed,014565,2491.15,024F45060006574300059C09000126E1,025044CEFFF0570FFFEE9C0EFFEF26ED,025D9BB2,Passed,Passed,Passed,0251DAEF782A0B746D8C0008895B0006,0252DAF178360B796DAA000589680004,0253DAEB782D0B756D9E000489690002,0254DAB6780C0B6D6E09000A89D60009,0255DAE6782E0B766E1200038A090003,0256DAED781B0B836DC6FFF189A1FFF0,0257DB0B782B0B706DD1000A89AC0009,Passed,Passed,Passed,Passed,Passed,Passed,Passed,02586DE3000B,02596DD2FFF4,025A6D9BFFF6,025B6E230008,Passed,Passed,Passed,Passed,24692,33078,56811,45905,23.94,23.94,23.94,23.96,0,0,0,0,0.08,0.09,0.09,0.07,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,10.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,09/12/2022 05:00:07 p. m.,125.72s,1,Failed,UI6 Calibration,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,0.1549,24.8272,4.9988,3.3129,5.0923,23.5219,16.5389,Passed,Passed,014565,2495.20,024F450C0008575F00049C3A000226E8,025044D9FFF1572EFFEE9C3EFFEB26FF,025D9BF3,Passed,Passed,Passed,0251D964774D0B5E6E11000889F80007,0252D96777680B666E2400038A010003,0253D98477790B666DF7000489E50004,0254D9AB77780B606E15000A89EF000A,0255D97A775F0B656E2E00018A0B0001,0256D9E077B00B7C6E32FFF18A19FFF0,0257D97A77640B5F6E5B00088A580009,Passed,Passed,Passed,Passed,Passed,Failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,09/12/2022 05:21:19 p. m.,264.46s,1,Passed,,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,0.1527,24.8392,4.9987,3.3130,5.0922,23.6433,16.7754,Passed,Passed,014565,2495.47,024F450C0007575F00049C39000326F0,025044D9FFF0572DFFEE9C3FFFEA2703,025D9BF8,Passed,Passed,Passed,0251D96777500B5E6E11000789FC0005,0252D968776B0B656E2400048A0A0002,0253D987777C0B666DF7000389E90002,0254D9AF777C0B606E14000989F80007,0255D97C77610B646E2E00028A0A0002,0256D9E477B40B7D6E31FFF18A18FFF0,0257D97C77660B5E6E5B00098A570009,Passed,Passed,Passed,Passed,Passed,Passed,Passed,02586E86000B,02596E14FFF4,025A6EA2FFF5,025B6E620006,Passed,Passed,Passed,Passed,21980,37031,33394,37031,23.93,23.93,23.93,23.96,0,0,0,0,0.18,0.18,0.14,0.13,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,10.05,10.04,9.86,10.04,0.01,0.01,0.01,0.00,10.04,10.01,10.03,9.98,0.01,0.00,0.00,0.00,80.00,80.00,10.10,10.10,10.10,10.09,10.10,10.09,10.10,10.01,10.01,10.00,10.00,10.01,10.01,10.01,10001,9999,10001,10001,9999,10001,10001,10.01,10.01,9990,10019,Passed,Passed,Passed,Passed,9.96,9.98,0.01,0.01,20,10,30,80,100,110,90,110,40,1,2,3,2,4,5,4,6,7,89,88,86,82
,09/12/2022 05:23:18 p. m.,384.09s,2,Failed,UI6 Calibration,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,0.1356,24.8232,5.0027,3.3090,5.0851,24.2895,17.7291,Passed,Passed,014565,2496.98,024F44AF0008574C00049C72FFF726EF,025044E1FFF2574DFFEE9C72FFE026FE,025D9C10,Passed,Passed,Passed,0251D8DF770F0B576E5000078A5C0007,0252D8E777090B5B6DFA000489D10002,0253D93F77280B576E2400048A270005,0254D904771B0B556E4F000A8A5B0009,0255D8DE77270B606DFF000289ED0001,0256D91277350B6E6E4FFFF28A61FFF1,0257D92377250B586E1E00088A010008,Passed,Passed,Passed,Passed,Passed,Failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,09/12/2022 05:26:51 p. m.,168.66s,2,Failed,Binary Output 2 Led ON,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,0.1520,24.8472,5.0028,3.3090,5.0854,23.4479,16.0102,Passed,Passed,014565,2497.69,024F44AE0007574800069C68000126F3,025044E1FFF3574BFFEE9C6EFFE52703,025D9C1B,Passed,Passed,Passed,0251D8E377100B586E4F00078A5B0007,0252D8EF770B0B5B6DF9000389D10003,0253D94377280B576E2300048A2B0004,0254D907771B0B556E4E000A8A610009,0255D8E477280B606DFE000189EE0001,0256D91677350B6F6E4EFFF28A61FFF1,0257D92777260B586E1D000889FC0008,Passed,Passed,Passed,Passed,Passed,Passed,Passed,02586E5F000C,02596E06FFF6,025A6E3AFFF7,025B6E320007,Passed,Passed,Passed,Passed,22160,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,09/12/2022 05:38:12 p. m.,4.25s,1,Failed,UUT Current Measurment,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,09/12/2022 05:38:48 p. m.,4.26s,2,Failed,UUT Current Measurment,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,09/12/2022 05:39:07 p. m.,4.23s,2,Failed,Presence Rivet 1,Failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,09/12/2022 05:44:09 p. m.,126.78s,1,Failed,UI6 Calibration,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,0.1556,24.9772,4.9994,3.3147,5.0795,23.4392,16.0647,Passed,Passed,014565,2496.14,024F44F50008574B00059C4F000426EB,025044DCFFF1573CFFEE9C53FFEC26FE,025D9C02,Passed,Passed,Passed,0251D9A377820B646E3700088A300007,0252D94877520B626E4200038A270004,0253D9AE779B0B6A6DE6000589A20004,0254D98C77510B5A6DFA000B89E50009,0255D98677660B656E5600028A570002,0256D98F77700B746E3FFFF28A31FFF1,0257D99977690B5E6DE0000989C40007,Passed,Passed,Passed,Passed,Passed,Failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
