,,,,,TestName,Presence Rivet 1,Presence Rivet 2,Presence Rivet 3,Presence Rivet 4,Presence Rivet 5,Presence Rivet 6,Presence Rivet 7,Presence Rivet 8,UUT Current Measurment,24 VDC Measurment,5 VDC Measurment,3.3 VDC Measurment,5V_Pressure_Transducer Measurment,VDC w/18 VAC Power,VDC w/7 VAC Power,Program & Verify Hardware,Program & Verify Serial Number,Verify Software Number,2.5V_Buf Reference,UIO1 Data Calibrated,UIO2 Data Calibrated,2.5V Reference Data Calibrated,UIO1 Calibration,UIO2 Calibration,2.5V Reference Calibration,UI1 Data Calibrated,UI2 Data Calibrated,UI3 Data Calibrated,UI4 Data Calibrated,UI5 Data Calibrated,UI6 Data Calibrated,UI7 Data Calibrated,UI1 Calibration,UI2 Calibration,UI3 Calibration,UI4 Calibration,UI5 Calibration,UI6 Calibration,UI7 Calibration,AO1 Data Calibrated,AO2 Data Calibrated,AO3 Data Calibrated,AO4 Data Calibrated,AO1 Calibration,AO2 Calibration,AO3 Calibration,AO4 Calibration,Binary Output 1 Led ON,Binary Output 2 Led ON,Binary Output 3 Led ON,Binary Output 4 Led ON,24 VAC Binary Output 1,24 VAC Binary Output 2,24 VAC Binary Output 3,24 VAC Binary Output 4,Binary Output 1 Led OFF,Binary Output 2 Led OFF,Binary Output 3 Led OFF,Binary Output 4 Led OFF,0 VAC Binary Output 1,0 VAC Binary Output 2,0 VAC Binary Output 3,0 VAC Binary Output 4,Binary Input 1 High,Binary Input 2 High,Binary Input 3 High,Binary Input 4 High,Binary Input 5 High,Binary Input 6 High,Binary Input 1 Low,Binary Input 2 Low,Binary Input 3 Low,Binary Input 4 Low,Binary Input 5 Low,Binary Input 6 Low,AO1 Voltage Output Mode 10V,AO2 Voltage Output Mode 10V,AO3 Voltage Output Mode 10V,AO4 Voltage Output Mode 10V,AO1 Voltage Output Mode 0V,AO2 Voltage Output Mode 0V,AO3 Voltage Output Mode 0V,AO4 Voltage Output Mode 0V,AO1 Current Output Mode 10 mA,AO2 Current Output Mode 10 mA,AO3 Current Output Mode 10 mA,AO4 Current Output Mode 10 mA,AO1 Current Output Mode 0 mA,AO2 Current Output Mode 0 mA,AO3 Current Output Mode 0 mA,AO4 Current Output Mode 0 mA,AO3 PWM Output Mode 80Hz,AO4 PWM Output Mode 80Hz,UI1 Voltage Input Mode 10V,UI2 Voltage Input Mode 10V,UI3 Voltage Input Mode 10V,UI4 Voltage Input Mode 10V,UI5 Voltage Input Mode 10V,UI6 Voltage Input Mode 10V,UI7 Voltage Input Mode 10V,UI1 Current Input Mode 10mA,UI2 Current Input Mode 10mA,UI3 Current Input Mode 10mA,UI4 Current Input Mode 10mA,UI5 Current Input Mode 10mA,UI6 Current Input Mode 10mA,UI7 Current Input Mode 10mA,UI1 Resistance Input Mode 10k,UI2 Resistance Input Mode 10k,UI3 Resistance Input Mode 10k,UI4 Resistance Input Mode 10k,UI5 Resistance Input Mode 10k,UI6 Resistance Input Mode 10k,UI7 Resistance Input Mode 10k,UIO1 Current Input Mode 10mA,UIO2 Current Input Mode 10mA,UIO1 Resistance Input Mode 10k,UIO2 Resistance Input Mode 10k,UIO1 Binary Input Mode "0",UIO2 Binary Input Mode "0",UIO1 Binary Input Mode "1",UIO2 Binary Input Mode "1",UIO1 Voltage Output Mode 10V,UIO2 Voltage Output Mode 10V,UIO1 Voltage Output Mode 0V,UIO2 Voltage Output Mode 0V,Rotary Address 1 SW1,Rotary Address 2 SW1,Rotary Address 3 SW1,Rotary Address 4 SW1,Rotary Address 5 SW1,Rotary Address 6 SW1,Rotary Address 7 SW1,Rotary Address 8 SW1,Rotary Address 9 SW1,Rotary Address 1 SW2,Rotary Address 2 SW2,Rotary Address 3 SW2,Rotary Address 4 SW2,Rotary Address 5 SW2,Rotary Address 6 SW2,Rotary Address 7 SW2,Rotary Address 8 SW2,Rotary Address 9 SW2,J11 Address J11.1,J11 Address J11.3,J11 Address J11.5,J11 Address J11.7
,,,,,LowLimit,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,0.0900,22.8000,4.7500,3.1350,4.9500,20.8000,0.0000,Passed,Passed,,2250.00,,,,Passed,Passed,Passed,,,,,,,,Passed,Passed,Passed,Passed,Passed,Passed,Passed,,,,,Passed,Passed,Passed,Passed,1000,1000,1000,1000,22.80,22.80,22.80,22.80,-100,-100,-100,-100,0.00,0.00,0.00,0.00,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,9.85,9.85,9.85,9.85,-0.05,-0.05,-0.05,-0.05,9.75,9.75,9.75,9.75,-0.25,-0.25,-0.25,-0.25,79.20,79.20,9.90,9.90,9.90,9.90,9.90,9.90,9.90,9.85,9.85,9.85,9.85,9.85,9.85,9.85,9900,9900,9900,9900,9900,9900,9900,9.85,9.85,9900,9900,Passed,Passed,Passed,Passed,9.80,9.80,-0.05,-0.05,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,80,80,80,80
,,,,,HighLimit,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,0.2000,27.2000,5.2500,3.4650,5.1500,25.2000,24.0000,Passed,Passed,,2750.00,,,,Passed,Passed,Passed,,,,,,,,Passed,Passed,Passed,Passed,Passed,Passed,Passed,,,,,Passed,Passed,Passed,Passed,100000,100000,100000,100000,25.20,25.20,25.20,25.20,100,100,100,100,1.20,1.20,1.20,1.20,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,10.15,10.15,10.15,10.15,0.05,0.05,0.05,0.05,10.25,10.25,10.25,10.25,0.25,0.25,0.25,0.25,80.80,80.80,10.10,10.10,10.10,10.10,10.10,10.10,10.10,10.15,10.15,10.15,10.15,10.15,10.15,10.15,10100,10100,10100,10100,10100,10100,10100,10.15,10.15,10100,10100,Passed,Passed,Passed,Passed,10.20,10.20,1.00,1.00,500,500,500,500,500,500,500,500,500,100,100,100,100,100,100,100,100,100,89,88,86,82
,,,,,Units,,,,,,,,,A,VDC,VDC,VDC,VDC,VDC,VDC,,,,mV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lm,Lm,Lm,Lm,VAC,VAC,VAC,VAC,Lm,Lm,Lm,Lm,VAC,VAC,VAC,VAC,,,,,,,,,,,,,VDC,VDC,VDC,VDC,VDC,VDC,VDC,VDC,mADC,mADC,mADC,mADC,mADC,mADC,mADC,mADC,Hz,Hz,VDC,VDC,VDC,VDC,VDC,VDC,VDC,mADC,mADC,mADC,mADC,mADC,mADC,mADC,Ohms,Ohms,Ohms,Ohms,Ohms,Ohms,Ohms,mADC,mADC,Ohms,Ohms,,,,,VDC,VDC,VDC,VDC,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts
SN,Date,CycleTime,Nest,Status,FirstFail
S224900528,11/12/2022 12:02:07 a. m.,258.63s,1,Passed,,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,0.1505,24.8901,4.9903,3.2975,5.0753,23.6223,22.9653,Passed,Passed,014565,2491.19,024F44B20008571000069BFA000326E2,025044E2FFF0572FFFEE9BFFFFEC26FC,025D9BB3,Passed,Passed,Passed,0251D93477440B5F6D8F0007894D0006,0252D8D777160B5C6DD2000689BE0005,0253D8B077000B5A6E0C000389F70004,0254D8CC76F40B536DE7000889E00008,0255D8E0770C0B5C6DA3000489600004,0256D8A576F90B6A6E1CFFF08A1DFFF0,0257D92377350B5A6DFF000B89DB0009,Passed,Passed,Passed,Passed,Passed,Passed,Passed,02586DE7000A,02596E0FFFF2,025A6DFEFFF4,025B6DFC0007,Passed,Passed,Passed,Passed,31073,41375,36317,41375,23.93,23.93,23.93,23.96,0,0,0,0,0.17,0.18,0.14,0.13,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,10.02,10.01,9.96,10.01,0.00,0.01,0.00,0.00,10.00,10.03,9.98,10.03,0.00,0.00,0.00,0.00,80.00,80.00,10.10,10.10,10.10,10.09,10.10,10.09,10.10,10.01,10.01,10.01,10.01,10.01,10.01,10.01,9996,9998,9997,9998,9998,9998,9997,10.01,10.01,9980,10016,Passed,Passed,Passed,Passed,9.95,9.97,0.01,0.01,10,20,30,40,50,60,70,80,90,1,2,3,2,4,5,4,6,7,89,88,86,82
S224900528,11/12/2022 12:06:34 a. m.,257.04s,1,Passed,,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,0.1503,24.9279,4.9903,3.2972,5.0753,23.3324,16.3852,Passed,Passed,014565,2490.37,024F44B30007571200039BFE000026E6,025044E3FFEF5730FFED9C01FFEB26F7,025D9BA6,Passed,Passed,Passed,0251D93A77430B5F6D8F0007894B0006,0252D8E677160B5C6DD3000589B90005,0253D8B476FE0B5A6E0B000489FB0003,0254D8D476F30B526DE6000989DF0008,0255D8EA770C0B5B6DA3000489650003,0256D8AB76F80B6A6E1CFFF08A21FFEF,0257D92977340B596DFF000B89DB0009,Passed,Passed,Passed,Passed,Passed,Passed,Passed,02586DE7000B,02596E0DFFF3,025A6DFEFFF4,025B6DFC0007,Passed,Passed,Passed,Passed,31649,41798,36407,41798,23.94,23.94,23.94,23.96,0,0,0,0,0.17,0.17,0.13,0.11,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,10.02,10.01,9.87,10.03,0.00,0.01,0.00,0.00,10.00,10.02,9.97,10.03,0.00,0.00,0.00,0.00,80.00,80.00,10.10,10.10,10.10,10.09,10.10,10.09,10.10,10.01,10.01,10.01,10.01,10.01,10.01,10.01,9992,9998,9998,9999,9998,10000,9999,10.01,10.01,9994,10018,Passed,Passed,Passed,Passed,9.97,9.98,0.01,0.01,10,20,30,40,50,60,70,50,80,1,2,3,2,4,5,4,6,7,89,88,86,82
S224900528,11/12/2022 12:11:00 a. m.,257.73s,1,Passed,,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,0.1505,24.9375,4.9903,3.2972,5.0753,23.6355,16.6162,Passed,Passed,014565,2491.77,024F44B20009571100059BF9000626EA,025044E3FFF15731FFEB9BFFFFEC2702,025D9BBC,Passed,Passed,Passed,0251D93577410B5D6D8D0008894C0007,0252D8E077170B5D6DD1000489B40004,0253D8AF76FD0B596E0B000489F70005,0254D8CD76F10B516DE5000A89D6000A,0255D8E5770C0B5C6DA3000289650001,0256D8A676F60B696E1BFFF28A1EFFF0,0257D92677350B5A6DFF000889D60008,Passed,Passed,Passed,Passed,Passed,Passed,Passed,02586DE5000C,02596E0CFFF4,025A6DFEFFF5,025B6DFB0006,Passed,Passed,Passed,Passed,31535,41729,36498,41729,23.94,23.94,23.94,23.96,0,0,0,0,0.18,0.18,0.14,0.13,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,10.02,10.01,9.97,10.03,0.00,0.01,0.00,0.00,9.99,10.04,9.98,10.02,0.00,0.00,0.00,0.00,80.00,80.00,10.10,10.09,10.10,10.09,10.10,10.09,10.10,10.01,10.01,10.01,10.01,10.01,10.01,10.01,9990,9997,9998,9998,9998,9999,9998,10.01,10.01,9988,10017,Passed,Passed,Passed,Passed,9.95,9.98,0.01,0.01,10,20,30,40,50,60,70,10,80,1,2,3,2,4,5,4,6,7,89,88,86,82
S224900541,11/12/2022 12:15:43 a. m.,257.16s,1,Passed,,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,0.1536,24.9491,4.9905,3.3314,5.0950,23.6154,16.4221,Passed,Passed,014565,2491.62,024F44D5000656FD00029C05000326E6,025044D4FFF15719FFEE9C09FFEF26FB,025D9BBA,Passed,Passed,Passed,0251DAB878080B716DD7000689B30005,0252DAEA78200B756D750004892C0002,0253DB48786A0B7D6DA0000389810002,0254DB5C784C0B736DD6000989C30007,0255DABB78180B786E1E00028A0B0001,0256DB1E784C0B8A6DDEFFF289B5FFEF,0257DB0778210B6E6E1F000A8A260007,Passed,Passed,Passed,Passed,Passed,Passed,Passed,02586DEA000B,02596DCBFFF4,025A6DF6FFF5,025B6E0E0006,Passed,Passed,Passed,Passed,33289,46246,38959,46246,23.93,23.94,23.94,23.96,0,0,0,0,0.18,0.19,0.14,0.13,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,10.07,10.02,10.08,10.06,0.01,0.00,0.01,0.01,10.12,10.09,10.08,10.11,0.00,0.00,0.00,0.00,80.00,80.00,10.10,10.10,10.10,10.09,10.10,10.09,10.10,10.01,10.01,10.01,10.00,10.01,10.01,10.01,10010,10011,10010,10009,10010,10011,10011,10.01,10.01,9986,10016,Passed,Passed,Passed,Passed,10.01,10.00,0.01,0.01,10,20,30,20,40,50,60,70,10,1,2,3,2,4,5,4,6,7,89,88,86,82
S224900541,11/12/2022 12:20:13 a. m.,256.97s,1,Passed,,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,0.1517,25.0630,4.9907,3.3329,5.0953,23.4916,16.1027,Passed,Passed,014565,2490.60,024F44D5000556F900019C05000126DF,025044D4FFF05716FFED9C0AFFEA26F4,025D9BAA,Passed,Passed,Passed,0251DAD8781B0B736DD3000589AB0004,0252DB0A78330B776D720004891E0003,0253DB69787E0B7F6D9C000289770002,0254DB7B78600B756DD3000889BA0007,0255DAD8782A0B796E1B00028A050001,0256DB3D78600B8C6DDBFFF089ABFFF0,0257DB2678340B706E1B00098A1D0008,Passed,Passed,Passed,Passed,Passed,Passed,Passed,02586DE6000A,02596DC8FFF3,025A6DF3FFF4,025B6E090006,Passed,Passed,Passed,Passed,33078,46077,38798,46077,23.94,23.94,23.94,23.96,0,0,0,0,0.17,0.18,0.14,0.13,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,10.07,10.03,9.98,10.07,0.01,0.00,0.01,0.01,10.12,10.10,10.09,10.12,0.00,0.00,0.00,0.00,80.00,80.00,10.09,10.10,10.09,10.09,10.09,10.09,10.10,10.01,10.01,10.01,10.01,10.01,10.01,10.01,9997,10001,9998,9999,10001,10000,9999,10.01,10.01,9988,10016,Passed,Passed,Passed,Passed,10.02,10.00,0.01,0.01,10,20,30,40,50,60,70,50,80,1,2,3,2,4,5,4,6,7,89,88,86,82
S224900541,11/12/2022 12:24:41 a. m.,257.81s,1,Passed,,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,0.1514,25.0880,4.9907,3.3332,5.0952,23.6159,16.4136,Passed,Passed,014565,2492.28,024F44D6000656F900029C08000226F6,025044D5FFF05718FFEB9C0DFFEB2702,025D9BC5,Passed,Passed,Passed,0251DAD6781A0B726DD5000589AB0005,0252DB0678330B766D73000489210003,0253DB66787C0B7F6D9E0002897C0002,0254DB77785E0B746DD4000989B80008,0255DAD478280B796E1D00028A050001,0256DB3B785E0B8C6DDDFFF089B0FFEF,0257DB2478320B6F6E1D00098A1E0009,Passed,Passed,Passed,Passed,Passed,Passed,Passed,02586DE8000A,02596DCAFFF4,025A6DF5FFF4,025B6E0B0007,Passed,Passed,Passed,Passed,32971,45905,38636,45905,23.94,23.94,23.94,23.96,0,0,0,0,0.17,0.18,0.14,0.12,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,10.07,10.03,9.98,10.07,0.01,0.00,0.01,0.01,10.12,10.10,10.07,10.12,0.00,0.00,0.00,0.00,80.00,80.00,10.10,10.10,10.10,10.09,10.10,10.09,10.10,10.01,10.01,10.01,10.01,10.01,10.01,10.01,9996,9999,9998,9998,9999,9999,10000,10.01,10.01,10000,10018,Passed,Passed,Passed,Passed,10.02,10.00,0.01,0.01,10,20,30,40,50,60,70,80,90,1,2,3,2,4,5,4,6,7,89,88,86,82
