,,,,,TestName,Presence Rivet 1,Presence Rivet 2,Presence Rivet 3,Presence Rivet 4,Presence Rivet 5,Presence Rivet 6,Presence Rivet 7,Presence Rivet 8,UUT Current Measurment,24 VDC Measurment,5 VDC Measurment,3.3 VDC Measurment,5V_Pressure_Transducer Measurment,VDC w/18 VAC Power,VDC w/7 VAC Power,Program & Verify Hardware,Hardware Number,Program & Verify Serial Number,Verify Software Number,2.5V_Buf Reference,UIO1 Data Calibrated,UIO2 Data Calibrated,2.5V Reference Data Calibrated,UIO1 Calibration,UIO2 Calibration,2.5V Reference Calibration,UI1 Data Calibrated,UI2 Data Calibrated,UI3 Data Calibrated,UI4 Data Calibrated,UI5 Data Calibrated,UI6 Data Calibrated,UI7 Data Calibrated,UI1 Calibration,UI2 Calibration,UI3 Calibration,UI4 Calibration,UI5 Calibration,UI6 Calibration,UI7 Calibration,AO1 Data Calibrated,AO2 Data Calibrated,AO3 Data Calibrated,AO4 Data Calibrated,AO1 Calibration,AO2 Calibration,AO3 Calibration,AO4 Calibration,Binary Output 1 Led ON,Binary Output 2 Led ON,Binary Output 3 Led ON,Binary Output 4 Led ON,24 VAC Binary Output 1,24 VAC Binary Output 2,24 VAC Binary Output 3,24 VAC Binary Output 4,Binary Output 1 Led OFF,Binary Output 2 Led OFF,Binary Output 3 Led OFF,Binary Output 4 Led OFF,0 VAC Binary Output 1,0 VAC Binary Output 2,0 VAC Binary Output 3,0 VAC Binary Output 4,Binary Input 1 High,Binary Input 2 High,Binary Input 3 High,Binary Input 4 High,Binary Input 5 High,Binary Input 6 High,Binary Input 1 Low,Binary Input 2 Low,Binary Input 3 Low,Binary Input 4 Low,Binary Input 5 Low,Binary Input 6 Low,AO1 Voltage Output Mode 10V,AO2 Voltage Output Mode 10V,AO3 Voltage Output Mode 10V,AO4 Voltage Output Mode 10V,AO1 Voltage Output Mode 0V,AO2 Voltage Output Mode 0V,AO3 Voltage Output Mode 0V,AO4 Voltage Output Mode 0V,AO1 Current Output Mode 10 mA,AO2 Current Output Mode 10 mA,AO3 Current Output Mode 10 mA,AO4 Current Output Mode 10 mA,AO1 Current Output Mode 0 mA,AO2 Current Output Mode 0 mA,AO3 Current Output Mode 0 mA,AO4 Current Output Mode 0 mA,AO3 PWM Output Mode 80Hz,AO4 PWM Output Mode 80Hz,UI1 Voltage Input Mode 10V,UI2 Voltage Input Mode 10V,UI3 Voltage Input Mode 10V,UI4 Voltage Input Mode 10V,UI5 Voltage Input Mode 10V,UI6 Voltage Input Mode 10V,UI7 Voltage Input Mode 10V,UI1 Current Input Mode 10mA,UI2 Current Input Mode 10mA,UI3 Current Input Mode 10mA,UI4 Current Input Mode 10mA,UI5 Current Input Mode 10mA,UI6 Current Input Mode 10mA,UI7 Current Input Mode 10mA,UI1 Resistance Input Mode 10k,UI2 Resistance Input Mode 10k,UI3 Resistance Input Mode 10k,UI4 Resistance Input Mode 10k,UI5 Resistance Input Mode 10k,UI6 Resistance Input Mode 10k,UI7 Resistance Input Mode 10k,UIO1 Current Input Mode 10mA,UIO2 Current Input Mode 10mA,UIO1 Resistance Input Mode 10k,UIO2 Resistance Input Mode 10k,UIO1 Binary Input Mode "0",UIO2 Binary Input Mode "0",UIO1 Binary Input Mode "1",UIO2 Binary Input Mode "1",UIO1 Voltage Output Mode 10V,UIO2 Voltage Output Mode 10V,UIO1 Voltage Output Mode 0V,UIO2 Voltage Output Mode 0V,Rotary Address 1 SW1,Rotary Address 2 SW1,Rotary Address 3 SW1,Rotary Address 4 SW1,Rotary Address 5 SW1,Rotary Address 6 SW1,Rotary Address 7 SW1,Rotary Address 8 SW1,Rotary Address 9 SW1,Rotary Address 1 SW2,Rotary Address 2 SW2,Rotary Address 3 SW2,Rotary Address 4 SW2,Rotary Address 5 SW2,Rotary Address 6 SW2,Rotary Address 7 SW2,Rotary Address 8 SW2,Rotary Address 9 SW2,J11 Address J11.1,J11 Address J11.3,J11 Address J11.5,J11 Address J11.7
,,,,,LowLimit,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,0.0900,22.8000,4.7500,3.1350,4.9500,20.8000,0.0000,Passed,,Passed,,2250.00,,,,Passed,Passed,Passed,,,,,,,,Passed,Passed,Passed,Passed,Passed,Passed,Passed,,,,,Passed,Passed,Passed,Passed,1000,1000,1000,1000,22.80,22.80,22.80,22.80,-100,-100,-100,-100,0.00,0.00,0.00,0.00,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,9.85,9.85,9.85,9.85,-0.05,-0.05,-0.05,-0.05,9.75,9.75,9.75,9.75,-0.25,-0.25,-0.25,-0.25,79.20,79.20,9.90,9.90,9.90,9.90,9.90,9.90,9.90,9.85,9.85,9.85,9.85,9.85,9.85,9.85,9900,9900,9900,9900,9900,9900,9900,9.85,9.85,9900,9900,Passed,Passed,Passed,Passed,9.80,9.80,-0.05,-0.05,10,10,10,10,10,10,10,10,10,1,1,1,1,1,1,1,1,1,80,80,80,80
,,,,,HighLimit,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,0.2000,27.2000,5.2500,3.4650,5.1500,25.2000,24.0000,Passed,,Passed,,2750.00,,,,Passed,Passed,Passed,,,,,,,,Passed,Passed,Passed,Passed,Passed,Passed,Passed,,,,,Passed,Passed,Passed,Passed,100000,100000,100000,100000,25.20,25.20,25.20,25.20,100,100,100,100,1.20,1.20,1.20,1.20,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,10.15,10.15,10.15,10.15,0.05,0.05,0.05,0.05,10.25,10.25,10.25,10.25,0.25,0.25,0.25,0.25,80.80,80.80,10.10,10.10,10.10,10.10,10.10,10.10,10.10,10.15,10.15,10.15,10.15,10.15,10.15,10.15,10100,10100,10100,10100,10100,10100,10100,10.15,10.15,10100,10100,Passed,Passed,Passed,Passed,10.20,10.20,1.00,1.00,90,90,90,90,90,90,90,90,90,19,19,19,19,19,19,19,19,19,89,88,86,82
,,,,,Units,,,,,,,,,A,VDC,VDC,VDC,VDC,VDC,VDC,,,,,mV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lm,Lm,Lm,Lm,VAC,VAC,VAC,VAC,Lm,Lm,Lm,Lm,VAC,VAC,VAC,VAC,,,,,,,,,,,,,VDC,VDC,VDC,VDC,VDC,VDC,VDC,VDC,mADC,mADC,mADC,mADC,mADC,mADC,mADC,mADC,Hz,Hz,VDC,VDC,VDC,VDC,VDC,VDC,VDC,mADC,mADC,mADC,mADC,mADC,mADC,mADC,Ohms,Ohms,Ohms,Ohms,Ohms,Ohms,Ohms,mADC,mADC,Ohms,Ohms,,,,,VDC,VDC,VDC,VDC,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts
SN,Date,CycleTime,Nest,Status,FirstFail
S230400058,24/01/2023 06:11:31 p. m.,340.99s,1,Passed,,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,0.1556,24.7863,4.9974,3.3203,5.0616,23.3321,15.9331,Passed,400312202,Passed,014565,2494.22,024F44CD0007573600009C3F000326CD,025044E1FFF25755FFEB9C44FFED26D5,025D9BE4,Passed,Passed,Passed,0251D98D77650B616DEF000689C90006,0252D9DA77980B696E3A00028A3B0003,0253D9A677820B666E3900038A370003,0254D9AC77730B5F6E3100088A1A0008,0255D9BB777A0B676DFF000289D40001,0256D9C577A30B7B6E0FFFF189E1FFF2,0257D9D877A90B686E3800078A1B0008,Passed,Passed,Passed,Passed,Passed,Passed,Passed,02586E68000A,02596E7CFFF4,025A6E55FFF5,025B6E4B0005,Passed,Passed,Passed,Passed,39198,51720,35577,51720,23.94,23.94,23.94,23.96,0,0,0,0,0.17,0.18,0.14,0.12,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,10.06,10.02,10.01,10.04,0.01,0.01,0.00,0.01,10.07,10.05,10.07,10.07,0.00,0.00,0.00,0.00,80.00,80.00,10.10,10.10,10.10,10.09,10.10,10.10,10.10,10.00,10.00,10.01,10.01,10.01,10.01,10.01,9991,9996,9998,9998,9998,9999,10009,10.01,10.00,9999,10021,Passed,Passed,Passed,Passed,9.99,10.00,0.01,0.01,10,20,30,40,50,60,70,80,90,1,2,3,4,5,6,7,8,9,89,88,86,82
S230400058,24/01/2023 06:21:53 p. m.,332.65s,1,Passed,,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,0.1518,24.8080,4.9975,3.3204,5.0616,23.4938,16.1071,Passed,400312202,Passed,014565,2495.94,024F44CF0007573600009C43000426C2,025044E2FFF25756FFEE9C47FFEE26E0,025D9BFF,Passed,Passed,Passed,0251D98B77630B616DF2000689CF0005,0252D9DA77960B686E3D00038A410002,0253D9A477800B666E3B00028A3D0002,0254D9AA77710B606E3300078A1B0008,0255D9B877770B666E02000189D50001,0256D9C2779F0B7B6E10FFF289E7FFF1,0257D9D677A50B676E3900098A1B0008,Passed,Passed,Passed,Passed,Passed,Passed,Passed,02586E6B000A,02596E7EFFF6,025A6E59FFF5,025B6E4E0005,Passed,Passed,Passed,Passed,36317,47664,36943,47664,23.94,23.94,23.94,23.96,0,0,0,0,0.17,0.18,0.13,0.12,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,10.08,10.02,10.02,10.04,0.01,0.01,0.00,0.01,10.06,10.06,10.08,10.09,0.00,0.00,0.00,0.00,80.00,80.00,10.10,10.10,10.10,10.09,10.10,10.10,10.10,10.01,10.00,10.00,10.01,10.01,10.01,10.01,9995,9996,9998,9998,9998,9999,10008,10.01,10.01,9980,10020,Passed,Passed,Passed,Passed,9.99,10.00,0.01,0.01,10,20,30,40,50,40,60,70,80,1,2,3,2,4,5,4,6,7,89,88,86,82
S230400048,24/01/2023 10:35:51 p. m.,338.36s,1,Passed,,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,0.1543,24.7766,4.9883,3.3199,5.0688,23.3111,16.4039,Passed,400312202,Passed,014565,2489.46,024F44C400075725FFFF9BF1000326E1,02504496FFF1572BFFEA9BF6FFEB26D4,025D9B97,Passed,Passed,Passed,0251DA1077A30B666DB30006899A0005,0252DAA078180B776DA7000489740004,0253DA0377C20B6E6E1E00028A280002,0254DA2A77C30B696DDF000789D30008,0255DA3077D80B736DF5000289D90002,0256DA1377D40B816D9EFFF0897EFFF0,0257D9DE77BA0B6B6DF3000989E20008,Passed,Passed,Passed,Passed,Passed,Passed,Passed,02586E58000B,02596DF3FFF4,025A6E1DFFF5,025B6E290006,Passed,Passed,Passed,Passed,35857,39745,37722,39745,23.93,23.93,23.93,23.95,0,0,0,0,0.17,0.17,0.13,0.12,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,10.07,10.03,10.06,10.03,0.01,0.01,0.00,0.01,10.08,10.00,10.03,10.11,0.00,0.00,0.00,0.00,80.00,80.00,10.10,10.10,10.10,10.09,10.10,10.10,10.10,10.01,10.01,10.01,10.01,10.01,10.01,10.01,10004,10005,10006,10006,10006,10005,10016,10.01,10.01,10022,9994,Passed,Passed,Passed,Passed,10.01,10.01,0.01,0.01,10,20,30,20,40,50,60,70,80,1,2,3,4,5,6,7,8,9,89,88,86,82
S230400048,24/01/2023 10:42:00 p. m.,331.98s,1,Passed,,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,0.1502,24.8530,4.9883,3.3209,5.0692,23.5781,16.2343,Passed,400312202,Passed,014565,2489.59,024F44C30007572300019BF0000426D4,02504494FFF2572AFFEC9BF4FFEE26D2,025D9B99,Passed,Passed,Passed,0251DA1B77AB0B666DB2000689950006,0252DAA878210B796DA7000289740003,0253DA0E77CB0B6E6E1E00038A280003,0254DA3377CC0B696DDE000889D70008,0255DA3A77E10B746DF5000189D80002,0256DA1D77DB0B816D9DFFF18978FFF2,0257D9EA77C40B6D6DF3000889E60006,Passed,Passed,Passed,Passed,Passed,Passed,Passed,02586E58000B,02596DF2FFF5,025A6E1DFFF5,025B6E290004,Passed,Passed,Passed,Passed,34711,38059,37466,38059,23.93,23.93,23.93,23.95,0,0,0,0,0.17,0.17,0.13,0.12,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,10.06,10.03,9.90,10.04,0.01,0.01,0.00,0.01,10.06,9.99,10.02,10.12,0.00,0.00,0.00,0.00,80.00,80.00,10.10,10.10,10.10,10.09,10.10,10.10,10.10,10.01,10.01,10.01,10.01,10.01,10.01,10.01,10000,10002,10002,10001,10002,10003,10011,10.01,10.01,10009,9990,Passed,Passed,Passed,Passed,10.00,10.01,0.01,0.01,10,20,30,40,50,60,70,80,90,1,2,3,4,5,6,7,8,9,89,88,86,82
S230400040,24/01/2023 11:01:41 p. m.,337.54s,1,Passed,,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,0.1549,24.8869,4.9963,3.3044,5.0453,23.4674,16.2987,Passed,400312202,Passed,014565,2496.44,024F44B70006573B00009C4B000026E7,025044E5FFF05765FFED9C4EFFEA26E5,025D9C07,Passed,Passed,Passed,0251D8A976FF0B5A6E1900058A020005,0252D88976DD0B566E3A00038A280003,0253D86276C80B536E0F000289FE0002,0254D8DC77130B586DE6000789B70008,0255D89776E40B596E3500018A230002,0256D8D9770A0B6B6E0EFFF089F9FFF0,0257D88876F10B576E12000889EB0008,Passed,Passed,Passed,Passed,Passed,Passed,Passed,02586E6B000B,02596E73FFF4,025A6E41FFF4,025B6E970006,Passed,Passed,Passed,Passed,37552,45790,32864,45790,23.93,23.93,23.93,23.95,0,0,0,0,0.17,0.18,0.13,0.11,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,10.05,10.01,10.04,10.02,0.01,0.02,0.01,0.01,10.13,10.00,10.13,10.01,0.03,0.04,0.05,0.00,80.00,80.00,10.10,10.10,10.10,10.09,10.10,10.10,10.10,10.01,10.01,10.01,10.01,10.01,10.01,10.01,9998,9999,9998,9999,9999,9999,10008,10.01,10.01,10011,9994,Passed,Passed,Passed,Passed,9.96,9.99,0.01,0.01,10,20,30,20,40,50,60,70,30,1,2,3,2,4,5,4,6,7,89,88,86,82
S230400114,24/01/2023 11:18:03 p. m.,336.81s,1,Passed,,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,0.1555,24.9582,5.0124,3.3047,5.0607,23.4901,16.2456,Passed,400312202,Passed,014565,2499.95,024F44FD0007575100039C7E000226C6,0250451EFFF15764FFEB9C82FFEC2702,025D9C3F,Passed,Passed,Passed,0251D84176CE0B546E4300078A530006,0252D88076FD0B5D6E1E000389FE0003,0253D8B0770C0B5C6E7B00048A830003,0254D87376D70B516E0F000989F90008,0255D83076BD0B576E1400028A190001,0256D89076E80B686E29FFF28A23FFF2,0257D89476F50B566E5C00088A5D0008,Passed,Passed,Passed,Passed,Passed,Passed,Passed,02586E94000B,02596E33FFF4,025A6E33FFF5,025B6E590006,Passed,Passed,Passed,Passed,41588,49138,34613,49138,23.93,23.93,23.93,23.95,0,0,0,0,0.18,0.18,0.14,0.13,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,10.04,10.01,9.87,10.03,0.01,0.01,0.01,0.01,10.13,10.03,9.99,10.05,0.02,0.05,0.03,0.01,80.00,80.00,10.10,10.10,10.10,10.09,10.10,10.10,10.10,10.01,10.01,10.01,10.01,10.01,10.01,10.01,10000,9999,10001,9999,10000,10001,10010,10.01,10.01,9948,10047,Passed,Passed,Passed,Passed,9.98,10.00,0.01,0.01,10,20,30,40,50,60,70,80,90,1,2,3,2,4,5,6,7,8,89,88,86,82
