,,,,,TestName,UUT Current Measurment,24 VDC Measurment,5 VDC Measurment,3.3 VDC Measurment,1.35 VDC Measurment,1.275 VDC Measurment,VDC w/18 VAC Power,VDC w/7 VAC Power,Program & Verify Hardware,Program & Verify Serial Number,Verify Software Number,AI1 Data Calibrated,AI2 Data Calibrated,AI3 Data Calibrated,AI4 Data Calibrated,AI5 Data Calibrated,AI6 Data Calibrated,AI7 Data Calibrated,AI8 Data Calibrated,AI9 Data Calibrated,AI1 Calibration,AI2 Calibration,AI3 Calibration,AI4 Calibration,AI5 Calibration,AI6 Calibration,AI7 Calibration,AI8 Calibration,AI9 Calibration,2.5V_Buf Reference,UIO1 Data Calibrated,2.5V Reference Data Calibrated,UIO1 Calibration,2.5V Reference Calibration,UI1 Data Calibrated,UI1 Calibration,AO1 Data Calibrated,AO1 Calibration,Binary Output 1 Led ON,Binary Output 2 Led ON,Binary Output 3 Led ON,Binary Output 4 Led ON,Binary Output 5 Led ON,Binary Output 6 Led ON,Binary Output 7 Led ON,Binary Output 8 Led ON,Binary Output 9 Led ON,Binary Output 10 Led ON,Binary Output 11 Led ON,Binary Output 12 Led ON,Binary Output 13 Led ON,24 VAC Binary Output 1,24 VAC Binary Output 2,24 VAC Binary Output 3,24 VAC Binary Output 4,24 VAC Binary Output 5,24 VAC Binary Output 6,24 VAC Binary Output 7,24 VAC Binary Output 8,24 VAC Binary Output 9,24 VAC Binary Output 10,24 VAC Binary Output 11,24 VAC Binary Output 12,24 VAC Binary Output 13,Binary Output 1 Led OFF,Binary Output 2 Led OFF,Binary Output 3 Led OFF,Binary Output 4 Led OFF,Binary Output 5 Led OFF,Binary Output 6 Led OFF,Binary Output 7 Led OFF,Binary Output 8 Led OFF,Binary Output 9 Led OFF,Binary Output 10 Led OFF,Binary Output 11 Led OFF,Binary Output 12 Led OFF,Binary Output 13 Led OFF,0 VAC Binary Output 1,0 VAC  Binary Output 2,0 VAC  Binary Output 3,0 VAC  Binary Output 4,0 VAC  Binary Output 5,0 VAC  Binary Output 6,0 VAC  Binary Output 7,0 VAC  Binary Output 8,0 VAC  Binary Output 9,0 VAC  Binary Output 10,0 VAC  Binary Output 11,0 VAC  Binary Output 12,0 VAC  Binary Output 13,Binary Input 1 High,Binary Input 2 High,Binary Input 3 High,Binary Input 4 High,Binary Input 5 High,Binary Input 6 High,Binary Input 7 High,Binary Input 8 High,Binary Input 9 High,Binary Input 10 High,Binary Input 11 High,Binary Input 12 High,Binary Input 13 High,Binary Input 14 High,Binary Input 15 High,Binary Input 16 High,Binary Input 1 Low,Binary Input 2 Low,Binary Input 3 Low,Binary Input 4 Low,Binary Input 5 Low,Binary Input 6 Low,Binary Input 7 Low,Binary Input 8 Low,Binary Input 9 Low,Binary Input 10 Low,Binary Input 11 Low,Binary Input 12 Low,Binary Input 13 Low,Binary Input 14 Low,Binary Input 15 Low,Binary Input 16 Low,AI1 Resistance Input Mode 10k,AI2 Resistance Input Mode 10k,AI3 Resistance Input Mode 10k,AI4 Resistance Input Mode 10k,AI5 Resistance Input Mode 10k,AI6 Resistance Input Mode 10k,AI7 Resistance Input Mode 10k,AI8 Resistance Input Mode 10k,AI9 Resistance Input Mode 10k,AO1 Voltage Output Mode 10V,AO1 Voltage Output Mode 0V,AO1 Current Output Mode 10 mA,AO1 Current Output Mode 0 mA,AO1 PWM Output Mode 80Hz,UI1 Voltage Input Mode 10V,UI1 Current Input Mode 10mA,UI1 Resistance Input Mode 10k,UIO1 Current Input Mode 10mA,UIO1 Resistance Input Mode 10k,UIO1 Binary Input Mode "0",UIO1 Binary Input Mode "1",UIO1 Voltage Output Mode 10V,UIO1 Voltage Output Mode 0V,UART Test,UART LED11 Test,UART LED12 Test,UART LED13 Test,UART LED14 Test,USB Host J2 Test,USB Device P13 Test,Ethernet Loockback Test,System LEDs Test ON,LED9 Test ON,LED10 Test ON,LED3 Test ON,System LEDs Test OFF,LED9 Test OFF,LED10 Test OFF,LED3 Test OFF,LCD Display 1 Test,LCD Display 2 Test,Push-Bottom Test,Setting Calibration RTC_CLK_OUT,RTC_CLK_OUT Test,Match Date Calibration,Incrementing Date,Mac Address Assigment,Mac Address Assigned,Hardware Programmed,Serial Number Programmed,Login to SO and Change Directory,Request Cert and Certificate Installed,PS Processor Version,Device Tree md5sum,Device Tree (copy) md5sum,Field Kernel md5sum,Field Kernel (copy) md5sum,Recovery Kernel md5sum,U-boot md5sum,Reset Controller
,,,,,LowLimit,0.1,22.8,4.75,3.135,1.337,1.262,22.8,0,Passed,Passed,,,,,,,,,,,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,2250,,,Passed,Passed,,Passed,,Passed,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,9900,9900,9900,9900,9900,9900,9900,9900,9900,9.85,-0.05,9.75,-0.25,79.20,9.90,9.85,9900,9.85,9900,Passed,Passed,9.80,-0.05,Passed,1000,1000,1000,1000,Passed,Passed,Passed,Passed,1000,1000,1000,Passed,-100,-100,-100,Passed,Passed,Passed,Passed,30000,Passed,Passed,Passed,,Passed,Passed,Passed,Passed,,,,,,,,Passed
,,,,,HighLimit,0.3,25.2,5.25,3.465,1.363,1.288,25.2,24,Passed,Passed,,,,,,,,,,,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,2750,,,Passed,Passed,,Passed,,Passed,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,100,100,100,100,100,100,100,100,100,100,100,100,100,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,10100,10100,10100,10100,10100,10100,10100,10100,10100,10.15,0.05,10.75,0.25,80.80,10.10,10.15,10100,10.15,10100,Passed,Passed,10.20,1.00,Passed,100000,100000,100000,100000,Passed,Passed,Passed,Passed,100000,100000,100000,Passed,1000,1000,1000,Passed,Passed,Passed,Passed,40000,Passed,Passed,Passed,,Passed,Passed,Passed,Passed,,,,,,,,Passed
,,,,,Units,A,VDC,VDC,VDC,VDC,VDC,VDC,VDC,,,,,,,,,,,,,,,,,,,,,,mV,,,,,,,,,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ohms,Ohms,Ohms,Ohms,Ohms,Ohms,Ohms,Ohms,Ohms,VDC,VDC,mADC,mADC,Hz,VDC,mADC,Ohms,mADC,Ohms,,,VDC,VDC,,Lm,Lm,Lm,Lm,,,,,Lm,Lm,Lm,,Lm,Lm,Lm,,,,,Hz,,,,,,,,,,,,,,,,
SN,Date,CycleTime,Nest,Status,FirstFail
S220905987,13/07/2022 17:29:48,52.62s,1,Failed,,0.175537,23.731463,5.00491886,3.31074221,1.34870866,1.26677826,23.7326464,4.16727035,Passed,Passed,011F81,,,,,,,,,,,,,,,,,,,2493.74019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S220905987,13/07/2022 17:34:28,74.96s,1,Failed,,0.174057,23.7332691,5.00514628,3.31067675,1.34879848,1.26683954,23.7344325,4.13035491,Passed,Passed,011F81,0288FFCE7FD00B0D9BF2000B,0289FFD77FD80B0D9BF2000A,028AFFC57FC80B0A9BF5000B,028BFFC87FCE0B0B9BF4000F,028CFFCC7FD30B079BF30010,028DFFD07FCA0B079BF20012,028EFFCA7FC40B089BF50011,028FFFD17FCE0B0C9BF3000E,0290FFC37FDC0B0D9BF90011,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,2493.71946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S210900607,13/07/2022 17:37:28,255.11s,2,Passed,,0.174835,23.7867616,5.00570229,3.33463067,1.35147729,1.27602017,23.7852748,4.22052014,Passed,Passed,011F81,0288FFC87FEA0B0C9C460010,0289FFD27FE60B0B9C430018,028AFFCF7FE00B079C450018,028BFFCA7FDB0B059C460020,028CFFCD7FE00B039C400027,028DFFCC7FDF0B049C480016,028EFFC87FDC0B059C46001A,028FFFD27FE50B079C450019,0290FFCC7FE50B099C570012,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,2499.61162,028544CB00075762000E9C54FFB0273B,02929C3A,Passed,Passed,0286DAC0783C0BAF6E4200068A2C0014,Passed,02876E250018,Passed,31763,53145,60475,55551,44726,71675,65262,60730,53939,68190,73761,38798,21615,23.834784,23.8349144,23.8352385,23.8368049,23.8370213,23.8371037,23.837207,23.8368595,23.8370499,23.8358534,23.8360224,23.8284603,23.8385627,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0912871178,0.0946149505,0.124997904,0.101083111,0.0781281031,0.0923843312,0.0850603368,0.0823348577,0.0851064439,0.0936560824,0.0919471854,0.0764498445,0.0848866507,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,9996,9997,9998,9997,9998,9998,9999,9998,9999,10.06,0.00,10.09,0.00,80.29,10.00,10.00,9994,10.01,10005,Passed,Passed,10.01,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S210900607,13/07/2022 17:41:23,192.45s,1,Passed,,0.176361,23.7921324,5.00568129,3.33453774,1.35158149,1.27600238,23.7931988,4.22519281,Passed,Passed,011F81,0288FFD87FDF0B0C9C4E000A,0289FFD97FE30B0D9C4D000A,028AFFD27FDA0B099C4F000E,028BFFD07FD40B099C4F0011,028CFFD27FE00B069C4F0010,028DFFD17FDD0B079C50000F,028EFFCE7FCF0B079C4F0012,028FFFD67FE10B0C9C50000B,0290FFCB7FE70B0E9C560012,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,2499.49956,028544C700175767000C9C59FFFA2722,02929C38,Passed,Passed,0286DABC78280B8F6E4900088A55000E,Passed,02876E29001A,Passed,61258,42418,20087,78249,75199,69870,77857,72038,16410,52736,8439,42553,36766,23.8660215,23.8659748,23.86606,23.8676159,23.8679258,23.8677733,23.8677912,23.8677291,23.8678452,23.8665295,23.8667856,23.8692282,23.8692603,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0609037803,0.0580723759,0.0640291198,0.0973497098,0.0720006481,0.0460224625,0.0411431656,0.0595373899,0.0161285214,0.0300960157,0.0182982252,0.0193978729,0.0195255881,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,10000,9999,10001,10000,10002,9999,10000,9999,10000,10.06,0.00,10.09,0.00,80.30,10.00,9.98,9995,10.01,9906,Passed,Passed,10.01,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S210900607,13/07/2022 17:49:37,426.48s,1,Passed,,0.176651,23.792651,5.00562808,3.33451117,1.35155921,1.27597496,23.7935786,4.17965049,Passed,Passed,011F81,0288FFE07FE30B079C440013,0289FFDD7FE20B089C470010,028AFFDA7FDF0B059C460018,028BFFD57FD80B049C490015,028CFFD47FDF0B019C470018,028DFFD37FDA0B019C480016,028EFFCE7FD60B039C490018,028FFFD87FE00B079C480013,0290FFCF7FE30B089C4F0016,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,2499.50509,028544CA0010576000129C57FFF32722,02929C38,Passed,Passed,0286DAC078320B876E45000C8A1C0018,Passed,02876E28001A,Passed,61852,42553,19888,78645,75794,67693,76253,69996,15442,49285,8089,41304,35004,23.8767891,23.8769499,23.8775542,23.8792743,23.8792378,23.8795104,23.8793452,23.8793166,23.8793281,23.8783857,23.8784447,23.8806923,23.8805483,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0666137223,0.0634282749,0.0702488698,0.104532708,0.0822693647,0.0560593716,0.0497050108,0.0759348144,0.0229378128,0.048675334,0.030360893,0.0379820779,0.0435186194,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,9999,9999,9999,9999,9999,9999,9999,9999,9999,10.06,0.00,10.08,0.00,80.31,10.00,10.00,9968,10.02,10007,Passed,Passed,10.01,0.04,Passed,12234,26223,11348,11943,Passed,Passed,Passed,Passed,49479,71592,55944,Passed,0,0,0,Passed,Passed,Passed,Passed,32770.8542,Passed,Passed,Passed,00:12:EA:11:00:00,Passed,Passed,Passed,Passed,25, 3a70eea449ac4a1d768753ec9c26c3d9, 3a70eea449ac4a1d768753ec9c26c3d9, 162441d06a4f1928a4d032085114e5d9, 162441d06a4f1928a4d032085114e5d9, 43f385263d267c78bc9e2f89d1e54cb7, c96afdbb7d6771e539bea3d6568e9be8,Passed
S210900607,13/07/2022 17:57:44,427.76s,1,Passed,,0.176453,23.7951111,5.00567024,3.33438703,1.35162036,1.27600216,23.7962864,4.23231262,Passed,Passed,011F81,0288FFD47FE70B0A9C4A0011,0289FFD77FE40B0C9C4B000F,028AFFCC7FE20B049C4D0012,028BFFCC7FDC0B029C4C0016,028CFFCD7FE10AFD9C4B0018,028DFFD07FDD0AFE9C4A0019,028EFFCA7FDA0AFF9C4D0017,028FFFD17FE20B099C4B0014,0290FFC97FE40B0C9C520016,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,2499.50786,028544CD000C5763000D9C5CFFE62726,02929C38,Passed,Passed,0286DAC378340B906E4600098A240013,Passed,02876E28001A,Passed,62248,43281,19686,78309,75171,68131,76038,68405,15442,48541,7371,42553,36677,23.8746232,23.8745043,23.8749729,23.8764911,23.8766759,23.8767963,23.8767012,23.8766037,23.876355,23.8754535,23.8755221,23.877793,23.8777843,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0508221321,0.0485950614,0.0548232592,0.0907875885,0.0700158064,0.056530683,0.0485403731,0.0722463205,0.0261734656,0.056079543,0.0370216279,0.0510562371,0.0628015483,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,9996,9997,9996,9997,9999,9999,9997,9998,9999,10.06,0.00,10.08,0.00,80.29,10.00,10.00,9992,10.01,10006,Passed,Passed,10.01,0.04,Passed,11943,25925,11348,11348,Passed,Passed,Passed,Passed,49334,71558,55767,Passed,0,0,0,Passed,Passed,Passed,Passed,32770.8542,Passed,Passed,Passed,00:12:EA:11:00:00,Passed,Passed,Passed,Passed,25, 3a70eea449ac4a1d768753ec9c26c3d9, 3a70eea449ac4a1d768753ec9c26c3d9, 162441d06a4f1928a4d032085114e5d9, 162441d06a4f1928a4d032085114e5d9, 43f385263d267c78bc9e2f89d1e54cb7, c96afdbb7d6771e539bea3d6568e9be8,Passed
