,,,,,TestName,UUT Current Measurment,24 VDC Measurment,5 VDC Measurment,3.3 VDC Measurment,1.35 VDC Measurment,1.275 VDC Measurment,VDC w/18 VAC Power,VDC w/7 VAC Power,Program & Verify Hardware,Program & Verify Serial Number,Verify Software Number,AI1 Data Calibrated,AI2 Data Calibrated,AI3 Data Calibrated,AI4 Data Calibrated,AI5 Data Calibrated,AI6 Data Calibrated,AI7 Data Calibrated,AI8 Data Calibrated,AI9 Data Calibrated,AI1 Calibration,AI2 Calibration,AI3 Calibration,AI4 Calibration,AI5 Calibration,AI6 Calibration,AI7 Calibration,AI8 Calibration,AI9 Calibration,2.5V_Buf Reference,UIO1 Data Calibrated,2.5V Reference Data Calibrated,UIO1 Calibration,2.5V Reference Calibration,UI1 Data Calibrated,UI1 Calibration,AO1 Data Calibrated,AO1 Calibration,Binary Output 1 Led ON,Binary Output 2 Led ON,Binary Output 3 Led ON,Binary Output 4 Led ON,Binary Output 5 Led ON,Binary Output 6 Led ON,Binary Output 7 Led ON,Binary Output 8 Led ON,Binary Output 9 Led ON,Binary Output 10 Led ON,Binary Output 11 Led ON,Binary Output 12 Led ON,Binary Output 13 Led ON,24 VAC Binary Output 1,24 VAC Binary Output 2,24 VAC Binary Output 3,24 VAC Binary Output 4,24 VAC Binary Output 5,24 VAC Binary Output 6,24 VAC Binary Output 7,24 VAC Binary Output 8,24 VAC Binary Output 9,24 VAC Binary Output 10,24 VAC Binary Output 11,24 VAC Binary Output 12,24 VAC Binary Output 13,Binary Output 1 Led OFF,Binary Output 2 Led OFF,Binary Output 3 Led OFF,Binary Output 4 Led OFF,Binary Output 5 Led OFF,Binary Output 6 Led OFF,Binary Output 7 Led OFF,Binary Output 8 Led OFF,Binary Output 9 Led OFF,Binary Output 10 Led OFF,Binary Output 11 Led OFF,Binary Output 12 Led OFF,Binary Output 13 Led OFF,0 VAC Binary Output 1,0 VAC  Binary Output 2,0 VAC  Binary Output 3,0 VAC  Binary Output 4,0 VAC  Binary Output 5,0 VAC  Binary Output 6,0 VAC  Binary Output 7,0 VAC  Binary Output 8,0 VAC  Binary Output 9,0 VAC  Binary Output 10,0 VAC  Binary Output 11,0 VAC  Binary Output 12,0 VAC  Binary Output 13,Binary Input 1 High,Binary Input 2 High,Binary Input 3 High,Binary Input 4 High,Binary Input 5 High,Binary Input 6 High,Binary Input 7 High,Binary Input 8 High,Binary Input 9 High,Binary Input 10 High,Binary Input 11 High,Binary Input 12 High,Binary Input 13 High,Binary Input 14 High,Binary Input 15 High,Binary Input 16 High,Binary Input 1 Low,Binary Input 2 Low,Binary Input 3 Low,Binary Input 4 Low,Binary Input 5 Low,Binary Input 6 Low,Binary Input 7 Low,Binary Input 8 Low,Binary Input 9 Low,Binary Input 10 Low,Binary Input 11 Low,Binary Input 12 Low,Binary Input 13 Low,Binary Input 14 Low,Binary Input 15 Low,Binary Input 16 Low,AI1 Resistance Input Mode 10k,AI2 Resistance Input Mode 10k,AI3 Resistance Input Mode 10k,AI4 Resistance Input Mode 10k,AI5 Resistance Input Mode 10k,AI6 Resistance Input Mode 10k,AI7 Resistance Input Mode 10k,AI8 Resistance Input Mode 10k,AI9 Resistance Input Mode 10k,AO1 Voltage Output Mode 10V,AO1 Voltage Output Mode 0V,AO1 Current Output Mode 10 mA,AO1 Current Output Mode 0 mA,AO1 PWM Output Mode 80Hz,UI1 Voltage Input Mode 10V,UI1 Current Input Mode 10mA,UI1 Resistance Input Mode 10k,UIO1 Current Input Mode 10mA,UIO1 Resistance Input Mode 10k,UIO1 Binary Input Mode "0",UIO1 Binary Input Mode "1",UIO1 Voltage Output Mode 10V,UIO1 Voltage Output Mode 0V,UART Test,UART LED11 Test,UART LED12 Test,UART LED13 Test,UART LED14 Test,USB Host J2 Test,USB Device P13 Test,Ethernet Loockback Test,System LEDs Test ON,LED9 Test ON,LED10 Test ON,LED3 Test ON,System LEDs Test OFF,LED9 Test OFF,LED10 Test OFF,LED3 Test OFF,LCD Display 1 Test,LCD Display 2 Test,Push-Bottom Test,Setting Calibration RTC_CLK_OUT,RTC_CLK_OUT Test,Match Date Calibration,Incrementing Date,Mac Address Assigment,Mac Address Assigned,Hardware Programmed,Serial Number Programmed,Login to SO and Change Directory,Request Cert and Certificate Installed,PS Processor Version,Device Tree md5sum,Device Tree (copy) md5sum,Field Kernel md5sum,Field Kernel (copy) md5sum,Recovery Kernel md5sum,U-boot md5sum,Reset Controller
,,,,,LowLimit,0.1,22.8,4.75,3.135,1.337,1.262,22.8,0,Passed,Passed,,,,,,,,,,,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,2250,,,Passed,Passed,,Passed,,Passed,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,9900,9900,9900,9900,9900,9900,9900,9900,9900,9.85,-0.10,9.75,-0.25,79.20,9.50,9.50,9900,9.50,9900,Passed,Passed,9.50,-0.05,Passed,1000,1000,1000,1000,Passed,Passed,Passed,Passed,1000,1000,1000,Passed,-100,-100,-100,Passed,Passed,Passed,Passed,30000,Passed,Passed,Passed,,Passed,Passed,Passed,Passed,,,,,,,,Passed
,,,,,HighLimit,0.3,25.2,5.25,3.465,1.363,1.288,25.2,24,Passed,Passed,,,,,,,,,,,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,2750,,,Passed,Passed,,Passed,,Passed,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,100,100,100,100,100,100,100,100,100,100,100,100,100,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,10100,10100,10100,10100,10100,10100,10100,10100,10100,10.15,0.10,10.75,0.25,80.80,10.10,10.15,10100,10.15,10100,Passed,Passed,10.20,1.00,Passed,100000,100000,100000,100000,Passed,Passed,Passed,Passed,100000,100000,100000,Passed,1000,1000,1000,Passed,Passed,Passed,Passed,40000,Passed,Passed,Passed,,Passed,Passed,Passed,Passed,,,,,,,,Passed
,,,,,Units,A,VDC,VDC,VDC,VDC,VDC,VDC,VDC,,,,,,,,,,,,,,,,,,,,,,mV,,,,,,,,,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ohms,Ohms,Ohms,Ohms,Ohms,Ohms,Ohms,Ohms,Ohms,VDC,VDC,mADC,mADC,Hz,VDC,mADC,Ohms,mADC,Ohms,,,VDC,VDC,,Lm,Lm,Lm,Lm,,,,,Lm,Lm,Lm,,Lm,Lm,Lm,,,,,Hz,,,,,,,,,,,,,,,,
SN,Date,CycleTime,Nest,Status,FirstFail
S223700321,14/09/2022 12:21:38 p. m.,163.62s,1,Failed,Binary Input 1 High,0.179947,23.7321819,5.00435571,3.34617441,1.34678944,1.27125807,23.733533,4.2415281,Passed,Passed,011F81,0288FFCE7FE70B109C280004,0289FFD87FE50B0F9C280007,028AFFC77FDA0B0C9C29000C,028BFFC87FDA0B0C9C2E000B,028CFFCD7FDA0B089C290012,028DFFD37FC90B079C290011,028EFFC87FCB0B099C2D0010,028FFFD37FE80B0F9C2B0007,0290FFC47FEE0B119C330013,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,2497.2625,028544B30015574E000C9C3DFFFC2728,02929C14,Passed,Passed,0286DBA4789E0B916DE1000C89C80010,Passed,02876E290016,Passed,23716,45324,33705,74500,70688,66809,76092,85529,19888,59031,21055,34012,28854,23.8748656,23.8750796,23.8748287,23.8766931,23.8766016,23.8768262,23.8765027,23.8764896,23.8765055,23.8746512,23.8747202,23.8769395,23.8770482,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0968693657,0.094864615,0.0919244871,0.092284516,0.12550479,0.109289033,0.0868251544,0.0748807015,0.0916341619,0.0477164736,0.0603443739,0.0564720981,0.0490459482,Failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S223700208,14/09/2022 12:39:11 p. m.,6.49s,2,Failed,24 VDC Measurment,0.179077,9.9e+37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S223700334,14/09/2022 12:44:10 p. m.,162.31s,1,Failed,Binary Input 1 High,0.177399,23.8991398,5.00014337,3.31482197,1.34054786,1.27461768,23.9006203,23.9003575,Passed,Passed,011F81,0288FFD37FE40B0E9C5A0007,0289FFD97FED0B0F9C56000A,028AFFD07FEE0B0C9C5A000C,028BFFCE7FE90B0D9C5A000C,028CFFCD7FE90B0A9C59000F,028DFFCD7FE40B0A9C590010,028EFFC87FE60B0C9C5C000B,028FFFD27FEE0B0E9C5A000B,0290FFC67FEA0B0F9C65000B,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,2500.48894,028544FD0009576F000D9C68FFF7271A,02929C48,Passed,Passed,0286D928774D0B726E73000C8AAE0008,Passed,02876E5E001B,Passed,24850,59364,21798,74325,74398,72249,79700,85228,21615,57248,18437,51459,36588,23.8756102,23.8760221,23.876165,23.878049,23.8782375,23.8783115,23.8783845,23.8786798,23.878789,23.8773748,23.8777438,23.8799418,23.8801848,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0168813943,0.0199124285,0.0267477029,0.06233645,0.040299797,0.0449683371,0.0389579751,0.0518281595,0.032659472,0.0441094573,0.0484528864,0.0471126298,0.0590445168,Failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S223700334,14/09/2022 03:07:32 p. m.,154.67s,1,Failed,Binary Input 1 High,0.174393,23.9075124,5.00102602,3.31406018,1.3410411,1.27502845,23.9088435,4.26935129,Passed,Passed,011F81,0288FFDD7FE20B0C9C57000A,0289FFD77FEB0B0E9C57000A,028AFFD47FEA0B099C5B000C,028BFFD07FE50B0A9C5B000F,028CFFCF7FE60B039C5A0011,028DFFCC7FDD0B029C580015,028EFFC97FE10B069C5D000F,028FFFD17FE90B0D9C5A000D,0290FFC87FE70B0C9C610014,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,2500.5546,028544FB0009576F00089C6AFFF4271D,02929C49,Passed,Passed,0286D92077440B6C6E6900168A850013,Passed,02876E54001D,Passed,25318,58537,21430,74281,73504,71068,78490,84078,21430,54854,18437,50377,34613,23.8761899,23.8764545,23.8765018,23.8780123,23.8780515,23.877875,23.8776602,23.8776976,23.8774902,23.8758736,23.8758026,23.8779676,23.8778545,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0386918148,0.0367103625,0.0355908249,0.0671942688,0.0389999216,0.0286215455,0.0310306906,0.0365406322,0.0154723366,0.0176625491,0.0183222611,0.0159048587,0.0175496848,Failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S213403182,14/09/2022 03:35:13 p. m.,460.80s,2,Failed,24 VDC Measurment,0.173691,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,9.9e+37,Passed,Passed,011F81,0288FFCF7FD70B0D000000FF,0289FFD17FD20B09000000FF,028AFFD07FD30B02000000FF,028BFFCE7FCD0AFE000000FF,028CFFCD7FD30AFC000000FF,028DFFCE7FD10AFD000000FF,028EFFC77FD50B01000000FF,028FFFD37FD90B02000000FF,0290FFC67FDA0B08000000FF,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,2511.53846,0285454B0004576200169D16FFFA2722,02929CF9,Passed,Passed,0286D7AE76810B706E65000E8A660016,Passed,02876EA1001D,Passed,60898,65442,71306,72776,31189,76439,78514,59633,69724,68829,75087,44604,34114,23.8862804,23.886371,23.8865641,23.8883902,23.8886384,23.888808,23.8881374,23.8888223,23.8885188,23.8872243,23.8877957,23.890078,23.8902489,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0140828866,0.0193430719,0.0279868035,0.0306707021,0.0178719692,0.0244953091,0.0171927724,0.0134902492,0.015668524,0.012223311,0.0211138495,0.0179027738,0.00820501967,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,10010,10007,10003,10005,10002,10005,10003,10003,10002,10.00,0.00,10.02,0.00,80.32,9.99,10.00,9997,10.01,10006,Passed,Passed,9.97,0.04,Passed,7733,31649,8439,13359,Passed,Passed,Passed,Passed,54705,80401,13900,Passed,0,0,0,Passed,Passed,Passed,Passed,32770.461,Passed,Passed,Passed,00:12:EA:11:00:05,Passed,Passed,Passed,Passed,25, 3a70eea449ac4a1d768753ec9c26c3d9, 3a70eea449ac4a1d768753ec9c26c3d9, 162441d06a4f1928a4d032085114e5d9, 162441d06a4f1928a4d032085114e5d9, 43f385263d267c78bc9e2f89d1e54cb7, c96afdbb7d6771e539bea3d6568e9be8,Passed
S223700294,14/09/2022 03:44:09 p. m.,335.87s,2,Failed,Binary Input 1 High,0.179245,23.7709173,5.0167581,3.32750884,1.35087234,1.27350565,23.7704,4.2549677,Passed,Passed,011F81,0288FFDE7FE10B129C4D0004,0289FFE27FDC0B129C460012,028AFFDD7FDC0B0E9C51000A,028BFFDD7FDF0B0D9C4F0007,028CFFD77FCD0B079C50000A,028DFFDB7FD60B0A9C4F000F,028EFFD07FE20B0E9C4A0012,028FFFDC7FDB0B0C9C4A000C,0290FFD07FE90B109C520011,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,2499.40279,028544C6000D5771000D9C52FFFD271B,02929C36,Passed,Passed,0286DA4777DD0B936DCF000A89A30011,Passed,02876E430018,Passed,39975,43281,63393,54056,44967,64099,71407,58568,60842,60898,72458,37466,21055,23.8795834,23.8791289,23.8789145,23.8800201,23.8797741,23.8799028,23.879999,23.8798072,23.8800617,23.8783952,23.8784201,23.8810929,23.8808523,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0406677664,0.0467859531,0.0480539228,0.0444124962,0.0367019687,0.0399017496,0.0400457642,0.0481384306,0.0369481464,0.0371486982,0.0261852285,0.0135036669,0.0149531894,Failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
