,,,,,TestName,UUT Current Measurment,24 VDC Measurment,5 VDC Measurment,3.3 VDC Measurment,1.35 VDC Measurment,1.275 VDC Measurment,VDC w/18 VAC Power,VDC w/7 VAC Power,Program & Verify Hardware,Program & Verify Serial Number,Verify Software Number,AI1 Data Calibrated,AI2 Data Calibrated,AI3 Data Calibrated,AI4 Data Calibrated,AI5 Data Calibrated,AI6 Data Calibrated,AI7 Data Calibrated,AI8 Data Calibrated,AI9 Data Calibrated,AI1 Calibration,AI2 Calibration,AI3 Calibration,AI4 Calibration,AI5 Calibration,AI6 Calibration,AI7 Calibration,AI8 Calibration,AI9 Calibration,2.5V_Buf Reference,UIO1 Data Calibrated,2.5V Reference Data Calibrated,UIO1 Calibration,2.5V Reference Calibration,UI1 Data Calibrated,UI1 Calibration,AO1 Data Calibrated,AO1 Calibration,Binary Output 1 Led ON,Binary Output 2 Led ON,Binary Output 3 Led ON,Binary Output 4 Led ON,Binary Output 5 Led ON,Binary Output 6 Led ON,Binary Output 7 Led ON,Binary Output 8 Led ON,Binary Output 9 Led ON,Binary Output 10 Led ON,Binary Output 11 Led ON,Binary Output 12 Led ON,Binary Output 13 Led ON,24 VAC Binary Output 1,24 VAC Binary Output 2,24 VAC Binary Output 3,24 VAC Binary Output 4,24 VAC Binary Output 5,24 VAC Binary Output 6,24 VAC Binary Output 7,24 VAC Binary Output 8,24 VAC Binary Output 9,24 VAC Binary Output 10,24 VAC Binary Output 11,24 VAC Binary Output 12,24 VAC Binary Output 13,Binary Output 1 Led OFF,Binary Output 2 Led OFF,Binary Output 3 Led OFF,Binary Output 4 Led OFF,Binary Output 5 Led OFF,Binary Output 6 Led OFF,Binary Output 7 Led OFF,Binary Output 8 Led OFF,Binary Output 9 Led OFF,Binary Output 10 Led OFF,Binary Output 11 Led OFF,Binary Output 12 Led OFF,Binary Output 13 Led OFF,0 VAC Binary Output 1,0 VAC  Binary Output 2,0 VAC  Binary Output 3,0 VAC  Binary Output 4,0 VAC  Binary Output 5,0 VAC  Binary Output 6,0 VAC  Binary Output 7,0 VAC  Binary Output 8,0 VAC  Binary Output 9,0 VAC  Binary Output 10,0 VAC  Binary Output 11,0 VAC  Binary Output 12,0 VAC  Binary Output 13,Binary Input 1 High,Binary Input 2 High,Binary Input 3 High,Binary Input 4 High,Binary Input 5 High,Binary Input 6 High,Binary Input 7 High,Binary Input 8 High,Binary Input 9 High,Binary Input 10 High,Binary Input 11 High,Binary Input 12 High,Binary Input 13 High,Binary Input 14 High,Binary Input 15 High,Binary Input 16 High,Binary Input 1 Low,Binary Input 2 Low,Binary Input 3 Low,Binary Input 4 Low,Binary Input 5 Low,Binary Input 6 Low,Binary Input 7 Low,Binary Input 8 Low,Binary Input 9 Low,Binary Input 10 Low,Binary Input 11 Low,Binary Input 12 Low,Binary Input 13 Low,Binary Input 14 Low,Binary Input 15 Low,Binary Input 16 Low,AI1 Resistance Input Mode 10k,AI2 Resistance Input Mode 10k,AI3 Resistance Input Mode 10k,AI4 Resistance Input Mode 10k,AI5 Resistance Input Mode 10k,AI6 Resistance Input Mode 10k,AI7 Resistance Input Mode 10k,AI8 Resistance Input Mode 10k,AI9 Resistance Input Mode 10k,AO1 Voltage Output Mode 10V,AO1 Voltage Output Mode 0V,AO1 Current Output Mode 10 mA,AO1 Current Output Mode 0 mA,AO1 PWM Output Mode 80Hz,UI1 Voltage Input Mode 10V,UI1 Current Input Mode 10mA,UI1 Resistance Input Mode 10k,UIO1 Current Input Mode 10mA,UIO1 Resistance Input Mode 10k,UIO1 Binary Input Mode "0",UIO1 Binary Input Mode "1",UIO1 Voltage Output Mode 10V,UIO1 Voltage Output Mode 0V,UART Test,UART LED11 Test,UART LED12 Test,UART LED13 Test,UART LED14 Test,USB Host J2 Test,USB Device P13 Test,Ethernet Loockback Test,System LEDs Test ON,LED9 Test ON,LED10 Test ON,LED3 Test ON,System LEDs Test OFF,LED9 Test OFF,LED10 Test OFF,LED3 Test OFF,LCD Display 1 Test,LCD Display 2 Test,Push-Bottom Test,Setting Calibration RTC_CLK_OUT,RTC_CLK_OUT Test,Match Date Calibration,Incrementing Date,Mac Address Assigment,Mac Address Assigned,Hardware Programmed,Serial Number Programmed,Login to SO and Change Directory,Request Cert and Certificate Installed,PS Processor Version,Device Tree md5sum,Device Tree (copy) md5sum,Field Kernel md5sum,Field Kernel (copy) md5sum,Recovery Kernel md5sum,U-boot md5sum,Reset Controller,Disable Debug Console
,,,,,LowLimit,0.1,22.8,4.75,3.135,1.337,1.262,22.8,0,Passed,Passed,,,,,,,,,,,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,2250,,,Passed,Passed,,Passed,,Passed,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,9900,9900,9900,9900,9900,9900,9900,9900,9900,9.85,-0.10,9.75,-0.25,79.20,9.50,9.50,9900,9.50,9900,Passed,Passed,9.50,-0.05,Passed,1000,1000,1000,1000,Passed,Passed,Passed,Passed,1000,1000,1000,Passed,-100,-100,-100,Passed,Passed,Passed,Passed,30000,Passed,Passed,Passed,,Passed,Passed,Passed,Passed,,,,,,,,Passed,Passed
,,,,,HighLimit,0.3,25.2,5.25,3.465,1.363,1.288,25.2,24,Passed,Passed,,,,,,,,,,,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,2750,,,Passed,Passed,,Passed,,Passed,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,100,100,100,100,100,100,100,100,100,100,100,100,100,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,10100,10100,10100,10100,10100,10100,10100,10100,10100,10.15,0.10,10.75,0.25,80.80,10.10,10.15,10100,10.15,10100,Passed,Passed,10.20,1.00,Passed,100000,100000,100000,100000,Passed,Passed,Passed,Passed,100000,100000,100000,Passed,1000,1000,1000,Passed,Passed,Passed,Passed,40000,Passed,Passed,Passed,,Passed,Passed,Passed,Passed,,,,,,,,Passed,Passed
,,,,,Units,A,VDC,VDC,VDC,VDC,VDC,VDC,VDC,,,,,,,,,,,,,,,,,,,,,,mV,,,,,,,,,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ohms,Ohms,Ohms,Ohms,Ohms,Ohms,Ohms,Ohms,Ohms,VDC,VDC,mADC,mADC,Hz,VDC,mADC,Ohms,mADC,Ohms,,,VDC,VDC,,Lm,Lm,Lm,Lm,,,,,Lm,Lm,Lm,,Lm,Lm,Lm,,,,,Hz,,,,,,,,,,,,,,,,,
SN,Date,CycleTime,Nest,Status,FirstFail
S212301388,07/10/2022 10:31:16 a. m.,9.43s,1,Failed,3.3 VDC Measurment,0.144547,23.7036876,5.02870033,0.0940511506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S212301388,07/10/2022 10:31:49 a. m.,9.28s,1,Failed,3.3 VDC Measurment,0.146194,23.7033186,5.02843957,0.0916645583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S224001787,07/10/2022 10:59:04 a. m.,249.18s,1,Failed,System LEDs Test OFF,0.175125,23.7189653,5.00525395,3.32810342,1.34798618,1.27755102,23.7200339,4.25888874,Passed,Passed,011F81,0288FFD97FDD0B0E9C5A0011,0289FFDD7FDF0B0E9C5B000F,028AFFD17FD20B0A9C5C0015,028BFFCD7FD40B0B9C5D0016,028CFFD67FD80B079C5C0015,028DFFD47FDA0B089C5B0019,028EFFCF7FCF0B099C5E0015,028FFFD87FDB0B0B9C5E0010,0290FFCA7FE30B0E9C610019,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,2500.51985,028544DC0015577E001B9C6EFFFC2727,02929C48,Passed,Passed,0286DA1377B80B7A6E07000A89DF0012,Passed,02876E610019,Passed,30116,58095,25624,68033,78005,74572,85392,89322,21798,69319,14685,47022,37119,23.8888371,23.8888781,23.8892271,23.8908439,23.8909931,23.8912257,23.8910945,23.8911081,23.8913416,23.8898943,23.8899414,23.8921838,23.8923015,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0566177553,0.0615261855,0.0705764737,0.107629776,0.10310379,0.101753669,0.0958050757,0.120740445,0.0855016985,0.106546872,0.119741245,0.115173497,0.143015894,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,10003,10000,10005,10004,10002,9998,10004,10000,10000,10.07,0.00,9.84,0.00,80.41,10.00,10.00,9998,10.01,10011,Passed,Passed,10.02,0.04,Passed,11943,28592,16173,10736,Passed,Passed,Passed,Passed,54780,0,55224,Passed,,,,,,,,,,,,,,,,,,,,,,,,,
S224001787,07/10/2022 11:08:48 a. m.,463.33s,2,Passed,,0.174179,23.7215056,5.00593455,3.32768493,1.34838427,1.27814189,23.7215472,4.2975211,Passed,Passed,011F81,0288FFCF7FE60B0B9C550011,0289FFD47FDD0B099C550015,028AFFD67FDA0B059C5F000E,028BFFD17FDC0B029C55001D,028CFFD47FD80B009C5A001A,028DFFD17FD80B009C5E0014,028EFFCD7FD90B039C550021,028FFFD67FDE0B049C590019,0290FFCE7FDE0B069C5E001C,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,2500.61652,028544DC0011577E00149C6000012727,02929C4A,Passed,Passed,0286DA1077BE0B836DFE000B89E70016,Passed,02876E5E001B,Passed,38718,40127,66976,54780,52736,65621,65034,58474,56845,65576,75325,35387,20673,23.8826156,23.8826379,23.8828583,23.8845289,23.8846563,23.8848564,23.8847716,23.8848363,23.8849617,23.8835171,23.8835308,23.8859667,23.8860377,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0958593706,0.0966226123,0.11600584,0.0977523849,0.0795528173,0.0914969771,0.0788127604,0.0680286312,0.0747073747,0.071946251,0.0663517823,0.0520239088,0.0484241844,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,10000,10000,10000,9999,10001,10000,10001,10000,10000,10.07,0.00,9.86,0.00,80.45,10.00,9.99,9994,10.01,10011,Passed,Passed,10.01,0.04,Passed,8783,32321,8783,14685,Passed,Passed,Passed,Passed,56400,7733,11348,Passed,0,0,0,Passed,Passed,Passed,Passed,32769.9732,Passed,Passed,Passed,00:12:EA:11:00:12,Passed,Passed,Passed,Passed,25, 3a70eea449ac4a1d768753ec9c26c3d9, 3a70eea449ac4a1d768753ec9c26c3d9, 162441d06a4f1928a4d032085114e5d9, 162441d06a4f1928a4d032085114e5d9, 43f385263d267c78bc9e2f89d1e54cb7, c96afdbb7d6771e539bea3d6568e9be8,Passed,Passed
S224001787,07/10/2022 11:48:15 a. m.,208.16s,1,Failed,UART Test,0.175919,23.7207136,5.00533688,3.32784501,1.34815826,1.27779853,23.721806,4.26989169,Passed,Passed,011F81,0288FFD67FDD0B0B9C570012,0289FFD47FDE0B0B9C5A0011,028AFFCC7FD10B089C5B0017,028BFFCC7FD60B089C5D0018,028CFFCE7FDB0B059C5C0018,028DFFCF7FDB0B059C5E0017,028EFFCA7FD70B069C5E0018,028FFFD17FDC0B089C5B0017,0290FFC97FE10B0A9C640019,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,2500.5546,028544DD0014577D001D9C6FFFFD271C,02929C49,Passed,Passed,0286DA1177B60B7E6E07000C89D80013,Passed,02876E61001C,Passed,32099,58599,25163,68269,79358,74075,84861,88833,21430,67834,14165,47977,37293,23.8832366,23.8834776,23.8837417,23.8857644,23.8859143,23.88635,23.8864312,23.8864229,23.8865499,23.8850232,23.8854308,23.8878748,23.8880297,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0328327219,0.0377454968,0.0434268396,0.0820647142,0.0680495144,0.0621853225,0.0669597212,0.0861115065,0.0579714355,0.0755988636,0.0872984525,0.0875157881,0.111135069,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,10004,10001,10005,10002,10001,10001,9999,10001,10000,10.07,0.00,9.84,0.00,80.43,10.00,9.99,9999,10.01,10000,Passed,Passed,10.02,0.04,Failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S224001787,07/10/2022 11:53:18 a. m.,205.84s,2,Failed,UART Test,0.174545,23.7224795,5.00597975,3.32755635,1.34848321,1.27825407,23.7224571,4.26542438,Passed,Passed,011F81,0288FFCC7FD20B109C5E0009,0289FFD17FCE0B0E9C5D000B,028AFFCB7FD00B0B9C5F0012,028BFFCB7FCF0B099C610016,028CFFCA7FCF0B079C58001B,028DFFCA7FCC0B089C55001C,028EFFC67FD10B099C5E0017,028FFFCE7FD50B099C62000C,0290FFC77FDE0B0C9C62001C,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,2500.62834,028544DC0015578000179C6FFFF3272D,02929C4A,Passed,Passed,0286DA0377C50B8D6E02000989D90012,Passed,02876E600018,Passed,41517,43668,65057,71272,49767,66299,67369,59927,60589,66914,76240,38718,22160,23.8883957,23.8886389,23.8889372,23.8905277,23.8907117,23.8910569,23.8910376,23.891241,23.8914245,23.8900576,23.8901485,23.8923888,23.8926496,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133212136,0.142352832,0.173912912,0.150320903,0.132832877,0.155968723,0.143507469,0.133166118,0.145324573,0.146962429,0.148195239,0.134762298,0.133353718,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,10009,10008,10005,10006,10005,10006,10004,10005,10001,10.07,0.00,9.86,0.00,80.46,10.00,10.00,9992,10.01,10014,Passed,Passed,10.02,0.04,Failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S224001787,07/10/2022 01:07:47 p. m.,153.18s,1,Failed,Binary Input 1 High,0.176407,23.7164616,5.00510205,3.32811664,1.34789465,1.27742955,23.7175709,4.25450893,Passed,Passed,011F81,0288FFC97FE40B099C5B000C,0289FFCE7FDC0B079C5B000C,028AFFC07FDA0AFE9C5A0016,028BFFC27FD90B009C5C0015,028CFFC87FDA0AFA9C590019,028DFFCB7FD70AFA9C5B0018,028EFFC77FD60AFC9C5B001A,028FFFCA7FDA0B029C5C0014,0290FFC67FDC0B069C63001A,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,2500.52941,028544DE00115786000F9C6900052723,02929C48,Passed,Passed,0286DA0E77BA0B746E06000D89F10016,Passed,02876E64001C,Passed,31988,59573,25775,68249,79404,75616,86301,90112,22516,69906,14165,49624,39356,23.8825795,23.8828601,23.8831687,23.8849358,23.8852046,23.8854514,23.8855774,23.8858123,23.8861105,23.8844339,23.8849526,23.8871815,23.887476,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0880289582,0.0927215118,0.0908179347,0.12675513,0.127369643,0.106812427,0.0941067559,0.116711249,0.0746907274,0.0889322696,0.100386107,0.0961573027,0.11446515,Failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S224001787,07/10/2022 01:10:52 p. m.,152.33s,2,Failed,Binary Input 1 High,0.174393,23.7210928,5.00582235,3.32771858,1.34836139,1.27811055,23.7210293,10.7666046,Passed,Passed,011F81,0288FFD07FE60B109C58000E,0289FFD27FDD0B0F9C580013,028AFFD37FDB0B0C9C590017,028BFFCF7FDB0B0A9C5A0013,028CFFD07FDA0B089C5D0011,028DFFCE7FDA0B079C5B0017,028EFFCC7FDE0B0A9C530022,028FFFD37FE10B0B9C5A0017,0290FFCC7FE30B0E9C66001A,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,2500.62203,028544DF0011578400129C77FFEA2729,02929C4A,Passed,Passed,0286DA0077C30B906E04000A89E80011,Passed,02876E620019,Passed,41446,46858,65194,71441,50469,66234,67018,60189,60418,66661,76346,38473,21980,23.8883402,23.8885986,23.8887754,23.8903306,23.8906413,23.8905549,23.890734,23.890845,23.8908284,23.889208,23.889375,23.8919099,23.8918623,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0704978559,0.0704829352,0.0750191065,0.0640868437,0.0563680017,0.0599204573,0.0558506665,0.0527151502,0.0542969718,0.0584358639,0.0595367455,0.0611070986,0.0627463855,Failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S224001787,07/10/2022 02:44:42 p. m.,471.38s,1,Passed,,0.176331,23.7167855,5.0050874,3.32792026,1.34791704,1.2774771,23.7180851,4.25579708,Passed,Passed,011F81,0288FFD77FDD0B0E9C5A000F,0289FFD67FE00B0C9C5B000F,028AFFC97FD30B099C5E0011,028BFFCB7FD40B0A9C5D0016,028CFFD07FDA0B079C5E0013,028DFFCF7FDB0B079C5D0016,028EFFCB7FD20B089C5E0017,028FFFD17FDB0B0A9C5E0012,0290FFC97FE20B0D9C640018,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,2500.53069,028544DD0014577F001C9C6DFFFF271D,02929C48,Passed,Passed,0286DA0A77BA0B826E09000A89DF0012,Passed,02876E64001A,Passed,30359,57935,26223,69244,78538,75437,86432,90667,22160,70740,16410,46415,36588,23.8822981,23.8826466,23.8828427,23.8845502,23.8848199,23.8849266,23.8852222,23.8853688,23.8854726,23.8833754,23.8855903,23.8882303,23.8885394,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116218438,0.113842779,0.115576103,0.151835723,0.141325555,0.124099697,0.110718574,0.131053482,0.0859232811,0.103284367,0.111989035,0.103635113,0.125219256,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,10004,10000,10004,10004,10000,10000,10002,10001,10000,10.06,0.00,9.85,0.00,80.45,10.00,9.99,9997,10.01,10002,Passed,Passed,10.01,0.04,Passed,11647,28193,16173,10736,Passed,Passed,Passed,Passed,56675,73791,55151,Passed,0,0,0,Passed,Passed,Passed,Passed,32770.3109,Passed,Passed,Passed,00:12:EA:11:00:12,Passed,Passed,Passed,Passed,25, 3a70eea449ac4a1d768753ec9c26c3d9, 3a70eea449ac4a1d768753ec9c26c3d9, 162441d06a4f1928a4d032085114e5d9, 162441d06a4f1928a4d032085114e5d9, 43f385263d267c78bc9e2f89d1e54cb7, c96afdbb7d6771e539bea3d6568e9be8,Passed,Passed
