,,,,,TestName,UUT Current Measurment,24 VDC Measurment,5 VDC Measurment,3.3 VDC Measurment,1.35 VDC Measurment,1.275 VDC Measurment,VDC w/18 VAC Power,VDC w/7 VAC Power,Program & Verify Hardware,Program & Verify Serial Number,Verify Software Number,AI1 Data Calibrated,AI2 Data Calibrated,AI3 Data Calibrated,AI4 Data Calibrated,AI5 Data Calibrated,AI6 Data Calibrated,AI7 Data Calibrated,AI8 Data Calibrated,AI9 Data Calibrated,AI1 Calibration,AI2 Calibration,AI3 Calibration,AI4 Calibration,AI5 Calibration,AI6 Calibration,AI7 Calibration,AI8 Calibration,AI9 Calibration,2.5V_Buf Reference,UIO1 Data Calibrated,2.5V Reference Data Calibrated,UIO1 Calibration,2.5V Reference Calibration,UI1 Data Calibrated,UI1 Calibration,AO1 Data Calibrated,AO1 Calibration,Binary Output 1 Led ON,Binary Output 2 Led ON,Binary Output 3 Led ON,Binary Output 4 Led ON,Binary Output 5 Led ON,Binary Output 6 Led ON,Binary Output 7 Led ON,Binary Output 8 Led ON,Binary Output 9 Led ON,Binary Output 10 Led ON,Binary Output 11 Led ON,Binary Output 12 Led ON,Binary Output 13 Led ON,24 VAC Binary Output 1,24 VAC Binary Output 2,24 VAC Binary Output 3,24 VAC Binary Output 4,24 VAC Binary Output 5,24 VAC Binary Output 6,24 VAC Binary Output 7,24 VAC Binary Output 8,24 VAC Binary Output 9,24 VAC Binary Output 10,24 VAC Binary Output 11,24 VAC Binary Output 12,24 VAC Binary Output 13,Binary Output 1 Led OFF,Binary Output 2 Led OFF,Binary Output 3 Led OFF,Binary Output 4 Led OFF,Binary Output 5 Led OFF,Binary Output 6 Led OFF,Binary Output 7 Led OFF,Binary Output 8 Led OFF,Binary Output 9 Led OFF,Binary Output 10 Led OFF,Binary Output 11 Led OFF,Binary Output 12 Led OFF,Binary Output 13 Led OFF,0 VAC Binary Output 1,0 VAC  Binary Output 2,0 VAC  Binary Output 3,0 VAC  Binary Output 4,0 VAC  Binary Output 5,0 VAC  Binary Output 6,0 VAC  Binary Output 7,0 VAC  Binary Output 8,0 VAC  Binary Output 9,0 VAC  Binary Output 10,0 VAC  Binary Output 11,0 VAC  Binary Output 12,0 VAC  Binary Output 13,Binary Input 1 High,Binary Input 2 High,Binary Input 3 High,Binary Input 4 High,Binary Input 5 High,Binary Input 6 High,Binary Input 7 High,Binary Input 8 High,Binary Input 9 High,Binary Input 10 High,Binary Input 11 High,Binary Input 12 High,Binary Input 13 High,Binary Input 14 High,Binary Input 15 High,Binary Input 16 High,Binary Input 1 Low,Binary Input 2 Low,Binary Input 3 Low,Binary Input 4 Low,Binary Input 5 Low,Binary Input 6 Low,Binary Input 7 Low,Binary Input 8 Low,Binary Input 9 Low,Binary Input 10 Low,Binary Input 11 Low,Binary Input 12 Low,Binary Input 13 Low,Binary Input 14 Low,Binary Input 15 Low,Binary Input 16 Low,AI1 Resistance Input Mode 10k,AI2 Resistance Input Mode 10k,AI3 Resistance Input Mode 10k,AI4 Resistance Input Mode 10k,AI5 Resistance Input Mode 10k,AI6 Resistance Input Mode 10k,AI7 Resistance Input Mode 10k,AI8 Resistance Input Mode 10k,AI9 Resistance Input Mode 10k,AO1 Voltage Output Mode 10V,AO1 Voltage Output Mode 0V,AO1 Current Output Mode 10 mA,AO1 Current Output Mode 0 mA,AO1 PWM Output Mode 80Hz,UI1 Voltage Input Mode 10V,UI1 Current Input Mode 10mA,UI1 Resistance Input Mode 10k,UIO1 Current Input Mode 10mA,UIO1 Resistance Input Mode 10k,UIO1 Binary Input Mode "0",UIO1 Binary Input Mode "1",UIO1 Voltage Output Mode 10V,UIO1 Voltage Output Mode 0V,UART Test,UART LED11 Test,UART LED12 Test,UART LED13 Test,UART LED14 Test,USB Host J2 Test,USB Device P13 Test,Ethernet Loockback Test,System LEDs Test ON,LED9 Test ON,LED10 Test ON,LED3 Test ON,System LEDs Test OFF,LED9 Test OFF,LED10 Test OFF,LED3 Test OFF,LCD Display 1 Test,LCD Display 2 Test,Push-Bottom Test,Rotary Switch Test,Setting Calibration RTC_CLK_OUT,RTC_CLK_OUT Test,Match Date Calibration,Incrementing Date,Mac Address Assigment,Mac Address Assigned,Hardware Programmed,Serial Number Programmed,Login to SO and Change Directory,Request Cert and Certificate Installed,PS Processor Version,Device Tree md5sum,Device Tree (copy) md5sum,Field Kernel md5sum,Field Kernel (copy) md5sum,Recovery Kernel md5sum,U-boot md5sum,Reset Controller,Disable Debug Console
,,,,,LowLimit,0.05,22.8,4.75,3.135,1.337,1.262,22.8,0,Passed,Passed,,,,,,,,,,,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,2250,,,Passed,Passed,,Passed,,Passed,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,9900,9900,9900,9900,9900,9900,9900,9900,9900,9.85,-0.10,9.75,-0.25,79.20,9.50,9.50,9900,9.50,9900,Passed,Passed,9.50,-0.05,Passed,1000,1000,1000,1000,Passed,Passed,Passed,Passed,1000,1000,1000,Passed,-100,-100,-100,Passed,Passed,Passed,Passed,Passed,30000,Passed,Passed,Passed,,Passed,Passed,Passed,Passed,,,,,,,,Passed,Passed
,,,,,HighLimit,0.3,25.2,5.25,3.465,1.363,1.288,25.2,24,Passed,Passed,,,,,,,,,,,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,2750,,,Passed,Passed,,Passed,,Passed,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,100,100,100,100,100,100,100,100,100,100,100,100,100,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,10100,10100,10100,10100,10100,10100,10100,10100,10100,10.15,0.10,10.75,0.25,80.80,10.10,10.15,10100,10.15,10100,Passed,Passed,10.20,1.00,Passed,100000,100000,100000,100000,Passed,Passed,Passed,Passed,100000,100000,100000,Passed,1000,1000,1000,Passed,Passed,Passed,Passed,Passed,40000,Passed,Passed,Passed,,Passed,Passed,Passed,Passed,,,,,,,,Passed,Passed
,,,,,Units,A,VDC,VDC,VDC,VDC,VDC,VDC,VDC,,,,,,,,,,,,,,,,,,,,,,mV,,,,,,,,,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ohms,Ohms,Ohms,Ohms,Ohms,Ohms,Ohms,Ohms,Ohms,VDC,VDC,mADC,mADC,Hz,VDC,mADC,Ohms,mADC,Ohms,,,VDC,VDC,,Lm,Lm,Lm,Lm,,,,,Lm,Lm,Lm,,Lm,Lm,Lm,,,,,,Hz,,,,,,,,,,,,,,,,,
SN,Date,CycleTime,Nest,Status,FirstFail
S224900399,08/12/2022 05:08:32 p. m.,154.14s,1,Failed,Binary Input 1 High,0.062302,23.8734587,5.10790451,3.31550023,1.3482413,1.27377558,23.8745439,23.875555,Passed,Passed,011F81,0288FFD37FDF0B0B9C460011,0289FFD97FD60B099C470010,028AFFCB7FD40B079C490016,028BFFCD7FD80B089C4D0017,028CFFD37FD80B049C45001E,028DFFD57FD50B059C46001E,028EFFD17FD30B059C4B001C,028FFFD27FD80B099C4B0013,0290FFCD7FDA0B0B9C51001E,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,2499.53185,028544DB001C5787000A9C610009271E,02929C39,Passed,Passed,0286D98377450B5A6E31000C8A52000F,Passed,02876E76001A,Passed,32757,37119,44543,82706,73042,73104,81289,67653,9782,45733,6246,69188,63018,23.9135766,23.9139096,23.9139218,23.9158046,23.9157596,23.9160572,23.9158282,23.916286,23.9160952,23.9130036,23.9149963,23.9175291,23.9172973,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0304404202,0.0348548108,0.0399835613,0.0783617012,0.0670975936,0.0561206126,0.0613679283,0.0900838242,0.044449855,0.078128587,0.0860038902,0.0897250294,0.116678407,Failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S212301388,08/12/2022 05:10:28 p. m.,9.39s,1,Failed,5 VDC Measurment,0.106094,23.7154292,5.27363917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S224900370,08/12/2022 05:14:30 p. m.,153.17s,1,Failed,Binary Input 1 High,0.062012,23.8603221,5.12580643,3.33607902,1.35009495,1.2751505,23.861404,23.8625757,Passed,Passed,011F81,0288FFDA7FF90B139C030005,0289FFDB7FEB0B0E9C040007,028AFFCF7FEE0B0A9C070009,028BFFD07FE20B0A9C08000A,028CFFD27FE90B079C05000D,028DFFD47FE40B079C04000F,028EFFCD7FE40B099C06000E,028FFFD27FEE0B0D9C03000C,0290FFCB7FF10B0E9C0B0010,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,2495.32075,028544C80009574800069C100001271C,02929BF5,Passed,Passed,0286DAF978430B7B6DF100128A00000C,Passed,02876E070018,Passed,32321,33705,43346,82140,72570,72249,80865,61906,9782,37807,5460,67348,64711,23.9108895,23.9110691,23.9113862,23.9131947,23.9133725,23.913305,23.9134735,23.9133867,23.9136747,23.9107039,23.9126526,23.9148418,23.9151057,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0427364915,0.0396909012,0.0364906891,0.063934743,0.0375968108,0.0305614093,0.0272207348,0.0318934171,0.013856754,0.0135441233,0.0154370301,0.00994640281,0.0157074076,Failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S224900370,08/12/2022 05:17:18 p. m.,119.61s,2,Failed,24 VAC Binary Output 1,0.055023,23.8634584,5.14012782,3.33602526,1.35049207,1.27542691,23.863095,23.8652948,Passed,Passed,011F81,0288FFBF7FE50B0C9C110005,0289FFCA7FD80B049C0A000C,028AFFC87FD60AFE9C0D0018,028BFFC57FCE0AFB9C07001E,028CFFC67FD20AF99C0A0017,028DFFC37FD50AFA9C0C001B,028EFFBF7FD40AFC9C11000F,028FFFCA7FDB0AFE9C120013,0290FFC17FE00B039C140015,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,2495.39704,028544C600135752000E9C17000E271D,02929BF6,Passed,Passed,0286DAEB782C0B786DF9000E8A000015,Passed,02876E08001E,Passed,25624,30956,43984,42754,64265,67913,64688,42887,47821,60073,68131,50423,37206,0.000938608127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S224900370,08/12/2022 05:25:32 p. m.,478.46s,2,Failed,Binary Input 1 High,0.054749,23.8642356,5.1343793,3.33589911,1.35062844,1.27559115,23.8640356,23.8660293,Passed,Passed,011F81,0288FFEA7FF60B159C0CFFFB,0289FFE87FE80B0E9C070003,028AFFE37FE50B099C14FFFB,028BFFE27FDD0B059C0A0004,028CFFE47FE60B059C050011,028DFFE07FE50B049C100002,028EFFD47FE40B079C0E0004,028FFFDE7FEA0B089C0C0004,0290FFD07FED0B0C9C1A0006,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,2495.39944,028544CB0009574E00059C16FFF82715,02929BF6,Passed,Passed,0286DAF3783A0B816DF100128A03000E,Passed,02876E06001B,Passed,25925,31988,44543,43731,65125,68886,65973,43019,49671,60786,68366,51371,38226,23.9154391,23.9155238,23.915645,23.9175112,23.9175729,23.9174513,23.9176587,23.9176484,23.9177469,23.9162515,23.9164424,23.918757,23.9187301,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105015371,0.111583703,0.114669158,0.0942233467,0.0677895826,0.063480768,0.0517104571,0.038649817,0.0358625093,0.0270082197,0.0336604485,0.0256313025,0.0152345942,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,9998,9998,9998,9999,9997,9997,9998,9999,9998,10.04,0.01,10.18,0.00,80.36,10.00,10.01,10000,10.01,9995,Passed,Passed,10.04,0.04,Passed,21430,36943,8089,17336,Passed,Passed,Passed,Passed,99999,99999,47926,Passed,0,0,0,Failed,Passed,Passed,Failed,Passed,32769.7232,Passed,Passed,Passed,00:12:EA:11:00:12,Passed,Passed,Passed,Passed,25, 3a70eea449ac4a1d768753ec9c26c3d9, 3a70eea449ac4a1d768753ec9c26c3d9, 162441d06a4f1928a4d032085114e5d9, 162441d06a4f1928a4d032085114e5d9, 43f385263d267c78bc9e2f89d1e54cb7, c96afdbb7d6771e539bea3d6568e9be8,Passed
S224900309,08/12/2022 05:50:01 p. m.,154.92s,1,Failed,Binary Input 1 High,0.062759,23.9332227,5.14036913,3.32947086,1.35715386,1.27021122,23.934431,23.9355292,Passed,Passed,011F81,0288FFE57FDC0B0B9C520015,0289FFDE7FD70B0A9C550013,028AFFDD7FD60B059C55001B,028BFFD77FD50B079C58001A,028CFFD47FD40B009C530020,028DFFCE7FCE0B009C55001F,028EFFCD7FCD0B029C58001B,028FFFDA7FD40B089C580017,0290FFCD7FD80B0A9C5E001E,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,2500.32245,028544DE001A578600199C69000F2718,02929C45,Passed,Passed,0286DA8277F00B6D6E1B000E8A2B0011,Passed,02876E44001E,Passed,29745,28460,54516,77521,73610,73656,80081,73641,11943,47022,7371,64336,58786,23.9122832,23.9123935,23.9125789,23.9143167,23.9143889,23.914437,23.9145455,23.9145228,23.9146745,23.9114157,23.9132521,23.9155903,23.9157269,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0718634725,0.0768792613,0.0798231802,0.119139791,0.112619213,0.0970770272,0.0910895831,0.121190157,0.0641048157,0.10566014,0.11298,0.113686748,0.140790939,Failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
