,,,,,TestName,UUT Current Measurment,24 VDC Measurment,5 VDC Measurment,3.3 VDC Measurment,1.35 VDC Measurment,1.275 VDC Measurment,VDC w/18 VAC Power,VDC w/7 VAC Power,Program & Verify Hardware,Program & Verify Serial Number,Verify Software Number,AI1 Data Calibrated,AI2 Data Calibrated,AI3 Data Calibrated,AI4 Data Calibrated,AI5 Data Calibrated,AI6 Data Calibrated,AI7 Data Calibrated,AI8 Data Calibrated,AI9 Data Calibrated,AI1 Calibration,AI2 Calibration,AI3 Calibration,AI4 Calibration,AI5 Calibration,AI6 Calibration,AI7 Calibration,AI8 Calibration,AI9 Calibration,2.5V_Buf Reference,UIO1 Data Calibrated,2.5V Reference Data Calibrated,UIO1 Calibration,2.5V Reference Calibration,UI1 Data Calibrated,UI1 Calibration,AO1 Data Calibrated,AO1 Calibration,Binary Output 1 Led ON,Binary Output 2 Led ON,Binary Output 3 Led ON,Binary Output 4 Led ON,Binary Output 5 Led ON,Binary Output 6 Led ON,Binary Output 7 Led ON,Binary Output 8 Led ON,Binary Output 9 Led ON,Binary Output 10 Led ON,Binary Output 11 Led ON,Binary Output 12 Led ON,Binary Output 13 Led ON,24 VAC Binary Output 1,24 VAC Binary Output 2,24 VAC Binary Output 3,24 VAC Binary Output 4,24 VAC Binary Output 5,24 VAC Binary Output 6,24 VAC Binary Output 7,24 VAC Binary Output 8,24 VAC Binary Output 9,24 VAC Binary Output 10,24 VAC Binary Output 11,24 VAC Binary Output 12,24 VAC Binary Output 13,Binary Output 1 Led OFF,Binary Output 2 Led OFF,Binary Output 3 Led OFF,Binary Output 4 Led OFF,Binary Output 5 Led OFF,Binary Output 6 Led OFF,Binary Output 7 Led OFF,Binary Output 8 Led OFF,Binary Output 9 Led OFF,Binary Output 10 Led OFF,Binary Output 11 Led OFF,Binary Output 12 Led OFF,Binary Output 13 Led OFF,0 VAC Binary Output 1,0 VAC  Binary Output 2,0 VAC  Binary Output 3,0 VAC  Binary Output 4,0 VAC  Binary Output 5,0 VAC  Binary Output 6,0 VAC  Binary Output 7,0 VAC  Binary Output 8,0 VAC  Binary Output 9,0 VAC  Binary Output 10,0 VAC  Binary Output 11,0 VAC  Binary Output 12,0 VAC  Binary Output 13,Binary Input 1 High,Binary Input 2 High,Binary Input 3 High,Binary Input 4 High,Binary Input 5 High,Binary Input 6 High,Binary Input 7 High,Binary Input 8 High,Binary Input 9 High,Binary Input 10 High,Binary Input 11 High,Binary Input 12 High,Binary Input 13 High,Binary Input 14 High,Binary Input 15 High,Binary Input 16 High,Binary Input 1 Low,Binary Input 2 Low,Binary Input 3 Low,Binary Input 4 Low,Binary Input 5 Low,Binary Input 6 Low,Binary Input 7 Low,Binary Input 8 Low,Binary Input 9 Low,Binary Input 10 Low,Binary Input 11 Low,Binary Input 12 Low,Binary Input 13 Low,Binary Input 14 Low,Binary Input 15 Low,Binary Input 16 Low,AI1 Resistance Input Mode 10k,AI2 Resistance Input Mode 10k,AI3 Resistance Input Mode 10k,AI4 Resistance Input Mode 10k,AI5 Resistance Input Mode 10k,AI6 Resistance Input Mode 10k,AI7 Resistance Input Mode 10k,AI8 Resistance Input Mode 10k,AI9 Resistance Input Mode 10k,AO1 Voltage Output Mode 10V,AO1 Voltage Output Mode 0V,AO1 Current Output Mode 10 mA,AO1 Current Output Mode 0 mA,AO1 PWM Output Mode 80Hz,UI1 Voltage Input Mode 10V,UI1 Current Input Mode 10mA,UI1 Resistance Input Mode 10k,UIO1 Current Input Mode 10mA,UIO1 Resistance Input Mode 10k,UIO1 Binary Input Mode "0",UIO1 Binary Input Mode "1",UIO1 Voltage Output Mode 10V,UIO1 Voltage Output Mode 0V,UART Test,UART LED11 Test,UART LED12 Test,UART LED13 Test,UART LED14 Test,USB Host J2 Test,USB Device P13 Test,Ethernet Loockback Test,System LEDs Test ON,LED9 Test ON,LED10 Test ON,LED3 Test ON,System LEDs Test OFF,LED9 Test OFF,LED10 Test OFF,LED3 Test OFF,LCD Display 1 Test,LCD Display 2 Test,Push-Bottom Test,Rotary Switch Test,Setting Calibration RTC_CLK_OUT,RTC_CLK_OUT Test,Match Date Calibration,Incrementing Date,Mac Address Assigment,Mac Address Assigned,Hardware Programmed,Serial Number Programmed,Login to SO and Change Directory,Request Cert and Certificate Installed,PS Processor Version,Device Tree md5sum,Device Tree (copy) md5sum,Field Kernel md5sum,Field Kernel (copy) md5sum,Recovery Kernel md5sum,U-boot md5sum,Reset Controller,Disable Debug Console
,,,,,LowLimit,0.05,22.8,4.75,3.135,1.3365,1.2623,22.8,0,Passed,Passed,,,,,,,,,,,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,2250,,,Passed,Passed,,Passed,,Passed,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,9900,9900,9900,9900,9900,9900,9900,9900,9900,9.85,-0.10,9.50,-0.25,79.20,9.50,9.50,9900,9.50,9900,Passed,Passed,9.50,-0.05,Passed,1000,1000,1000,1000,Passed,Passed,Passed,Passed,1000,1000,1000,Passed,-100,-100,-100,Passed,Passed,Passed,Passed,Passed,30000,Passed,Passed,Passed,,Passed,Passed,Passed,Passed,,,,,,,,Passed,Passed
,,,,,HighLimit,0.3,25.2,5.25,3.465,1.3635,1.2877,25.2,24,Passed,Passed,,,,,,,,,,,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,2750,,,Passed,Passed,,Passed,,Passed,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,100,100,100,100,100,100,100,100,100,100,100,100,100,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,10100,10100,10100,10100,10100,10100,10100,10100,10100,10.15,0.10,10.75,0.25,80.80,10.10,10.15,10100,10.15,10100,Passed,Passed,10.20,1.00,Passed,100000,100000,100000,100000,Passed,Passed,Passed,Passed,100000,100000,100000,Passed,1000,1000,1000,Passed,Passed,Passed,Passed,Passed,40000,Passed,Passed,Passed,,Passed,Passed,Passed,Passed,,,,,,,,Passed,Passed
,,,,,Units,A,VDC,VDC,VDC,VDC,VDC,VDC,VDC,,,,,,,,,,,,,,,,,,,,,,mV,,,,,,,,,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ohms,Ohms,Ohms,Ohms,Ohms,Ohms,Ohms,Ohms,Ohms,VDC,VDC,mADC,mADC,Hz,VDC,mADC,Ohms,mADC,Ohms,,,VDC,VDC,,Lm,Lm,Lm,Lm,,,,,Lm,Lm,Lm,,Lm,Lm,Lm,,,,,,Hz,,,,,,,,,,,,,,,,,
SN,Date,CycleTime,Nest,Status,FirstFail
S230303677,18/01/2023 04:40:36 p. m.,485.25s,1,Passed,,0.185989,23.7844618,4.99678487,3.31212244,1.34882184,1.27719881,23.7857609,1.93981356,Passed,Passed,011F81,0288FFC67FDF0B0A9C64000E,0289FFD37FDA0B0C9C64000E,028AFFC27FD70B079C640013,028BFFC87FD50B089C630016,028CFFCE7FD60B049C60001A,028DFFCF7FD60B059C5F001C,028EFFCA7FD10B069C640017,028FFFCB7FD70B099C650013,0290FFC97FDD0B0C9C66001C,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,2500.97737,0285451D00125789000A9C6E00192717,02929C50,Passed,Passed,0286D916773C0B566E2A000E89EA0015,Passed,02876E2A001C,Passed,59334,56845,31988,78728,60015,62431,71068,52403,35670,37637,8783,70442,77268,23.87345,23.8734212,23.8738484,23.8755062,23.8754728,23.87554,23.8757207,23.8757171,23.8756775,23.8734088,23.8743326,23.8764715,23.8767795,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0396608959,0.0424607461,0.0427781852,0.0689846616,0.0444832529,0.0418156106,0.049236444,0.0554009447,0.0427221857,0.0433925448,0.0460174294,0.0457761049,0.0489256999,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,10000,9999,9999,10000,10000,10000,10000,9999,9999,10.07,0.01,9.85,0.00,80.15,10.00,10.00,9999,10.01,9999,Passed,Passed,9.99,0.04,Passed,24532,59544,31535,29240,Passed,Passed,Passed,Passed,99999,99999,99999,Passed,0,0,0,Passed,Passed,Passed,Passed,Passed,32771.3328,Passed,Passed,,,,,,,,,,,,,,,
S230303384,18/01/2023 04:56:26 p. m.,521.27s,1,Passed,,0.187271,23.7496096,4.98320965,3.33867893,1.35266528,1.27462492,23.7513246,1.84124522,Passed,Passed,011F81,0288FFD07FE40B089BFA0013,0289FFD07FD90B069BFC0012,028AFFCA7FDA0B029BFC0014,028BFFCA7FD90B049BFE0014,028CFFC87FD80AFB9BFC0017,028DFFC77FD70AFD9BFB0018,028EFFC47FD50AFE9BFE0016,028FFFCC7FD80B059BFB0015,0290FFC37FDB0B089C030019,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,2494.68838,028544B400155752000D9C0A001F2716,02929BEB,Passed,Passed,0286DB3378380B706DA5000B89590016,Passed,02876DCE001C,Passed,54929,54325,32210,77882,58222,64850,71658,54325,34012,29240,6246,72792,83026,23.8737992,23.8737154,23.8742222,23.8759161,23.8760255,23.8759791,23.8759114,23.8760162,23.8762254,23.8738892,23.8747813,23.876953,23.8772822,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108398652,0.115004672,0.119537302,0.157622101,0.149400309,0.127204766,0.133445279,0.158010669,0.104444668,0.124166501,0.141659504,0.131318141,0.15467534,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,9997,10000,9998,9999,9999,9999,9999,9999,9999,10.08,0.01,9.93,0.00,80.28,10.00,9.98,10000,10.01,10004,Passed,Passed,10.03,0.04,Passed,25318,60275,31649,31649,Passed,Passed,Passed,Passed,99999,99999,99999,Passed,0,0,0,Passed,Passed,Passed,Passed,Passed,32770.2152,Passed,Passed,Passed,00:12:EA:11:02:8E,Passed,Passed,Passed,Passed,25, 3a70eea449ac4a1d768753ec9c26c3d9, 3a70eea449ac4a1d768753ec9c26c3d9, 162441d06a4f1928a4d032085114e5d9, 162441d06a4f1928a4d032085114e5d9, 43f385263d267c78bc9e2f89d1e54cb7, c96afdbb7d6771e539bea3d6568e9be8,Passed,Passed
S225007062,18/01/2023 05:12:27 p. m.,717.19s,2,Failed,AO1 Data Calibrated,0.202637,23.7822787,5.02051141,3.3186364,1.35219154,1.27521747,23.7742188,1.7579454,Passed,Passed,011F81,0288FFD87FE10B119C120002,0289FFDF7FD80B0E9C0C0006,028AFFDB7FD70B0A9C100008,028BFFD97FD90B089C0F000C,028CFFDA7FDA0B059C0B000C,028DFFD77FD80B079C0B000D,028EFFD27FDB0B089C080018,028FFFDC7FDE0B0B9C150003,0290FFD07FE10B0E9C14000F,Passed,Passed,Failed,Passed,Passed,Passed,Passed,Passed,Passed,2495.44108,028544C30015575200099C1100172712,02929BF7,Passed,Passed,0286DA7777E30B706DA9000E89800013,Passed,02876E41001A,Failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S225007062,18/01/2023 05:39:55 p. m.,59.77s,2,Failed,AI1 Calibration,0.185181,23.7738341,5.01976615,3.31881533,1.35192505,1.27497691,23.7711088,1.69384568,Passed,Passed,011F81,0288FFD67FDD0B109C0B000E,0289FFDB7FD50B0C9C010017,028AFFD87FD20B079C050019,028BFFD77FD50B049BFE0021,028CFFD67FD50AFF9C02001E,028DFFD67FD40B019C05001B,028EFFD07FD40B049C06001F,028FFFD97FDB0B089C02001A,0290FFD07FDD0B0B9C0E001E,Failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S222302061,18/01/2023 05:43:40 p. m.,69.08s,2,Failed,AI1 Calibration,0.172241,23.7527123,4.9928706,3.32344968,1.35422104,1.2757418,23.7527561,2.00891961,Passed,Passed,011F81,0288FFAD7FE20B0C9C7C000B,0289FFBA7FD80B069C77000C,028AFFBD7FD10AFF9C750014,028BFFB87FDA0AFE9C780015,028CFFBC7FD10AFC9C71001A,028DFFB47FD90AFD9C760016,028EFFB77FD60AFE9C7A0018,028FFFC17FDA0B009C780010,0290FFBC7FDC0B069C7D0015,Failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S230303677,18/01/2023 05:52:47 p. m.,514.51s,2,Passed,,0.184509,23.7829246,4.99706493,3.31212282,1.34886792,1.2772409,23.7830052,1.93310331,Passed,Passed,011F81,0288FFD27FEA0B109C60000A,0289FFD77FE60B0F9C600007,028AFFCC7FE10B099C5D0010,028BFFC97FE20B069C600016,028CFFCB7FE10B049C5A001A,028DFFCA7FE50B069C5E0012,028EFFC67FE00B079C63000E,028FFFCD7FE50B089C65000D,0290FFC47FE80B0C9C6A0010,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,2501.03173,0285451F00105788000A9C68001B271B,02929C51,Passed,Passed,0286D92E77440B5D6E2400198A130012,Passed,02876E24001E,Passed,66342,53861,64242,63955,65776,76359,68695,50423,65643,68753,72602,35100,24692,23.8754109,23.8757462,23.8759494,23.8777234,23.8778509,23.878135,23.8779676,23.8780086,23.8781544,23.8766928,23.8765385,23.878859,23.8791298,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120152729,0.140034051,0.15438449,0.142743258,0.133162612,0.144072026,0.144435779,0.138761185,0.146443755,0.147895449,0.148884703,0.139331979,0.144676553,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,10001,10001,10000,9999,10000,9999,10000,9999,10001,10.05,0.01,9.85,0.00,80.16,10.00,10.01,9996,10.01,10014,Passed,Passed,9.99,0.04,Passed,20673,38143,8089,17561,Passed,Passed,Passed,Passed,99999,99999,49862,Passed,0,0,0,Passed,Passed,Passed,Passed,Passed,32770.9086,Passed,Passed,Passed,00:12:EA:11:02:8F,Passed,Passed,Passed,Passed,25, 3a70eea449ac4a1d768753ec9c26c3d9, 3a70eea449ac4a1d768753ec9c26c3d9, 162441d06a4f1928a4d032085114e5d9, 162441d06a4f1928a4d032085114e5d9, 43f385263d267c78bc9e2f89d1e54cb7, c96afdbb7d6771e539bea3d6568e9be8,Passed,Passed
