,,,,,TestName,UUT Current Measurment,24 VDC Measurment,5 VDC Measurment,3.3 VDC Measurment,1.35 VDC Measurment,1.275 VDC Measurment,VDC w/18 VAC Power,VDC w/7 VAC Power,Program & Verify Hardware,Program & Verify Serial Number,Verify Software Number,AI1 Data Calibrated,AI2 Data Calibrated,AI3 Data Calibrated,AI4 Data Calibrated,AI5 Data Calibrated,AI6 Data Calibrated,AI7 Data Calibrated,AI8 Data Calibrated,AI9 Data Calibrated,AI1 Calibration,AI2 Calibration,AI3 Calibration,AI4 Calibration,AI5 Calibration,AI6 Calibration,AI7 Calibration,AI8 Calibration,AI9 Calibration,UIO1 Data Calibrated,2.5V Reference Data Calibrated,UIO1 Calibration,2.5V Reference Calibration,2.5V_Buf Reference,UI1 Data Calibrated,UI1 Calibration,AO1 Data Calibrated,AO1 Calibration,Binary Output 1 Led ON,Binary Output 2 Led ON,Binary Output 3 Led ON,Binary Output 4 Led ON,Binary Output 5 Led ON,Binary Output 6 Led ON,Binary Output 7 Led ON,Binary Output 8 Led ON,Binary Output 9 Led ON,Binary Output 10 Led ON,Binary Output 11 Led ON,Binary Output 12 Led ON,Binary Output 13 Led ON,24 VAC Binary Output 1,24 VAC Binary Output 2,24 VAC Binary Output 3,24 VAC Binary Output 4,24 VAC Binary Output 5,24 VAC Binary Output 6,24 VAC Binary Output 7,24 VAC Binary Output 8,24 VAC Binary Output 9,24 VAC Binary Output 10,24 VAC Binary Output 11,24 VAC Binary Output 12,24 VAC Binary Output 13,Binary Output 1 Led OFF,Binary Output 2 Led OFF,Binary Output 3 Led OFF,Binary Output 4 Led OFF,Binary Output 5 Led OFF,Binary Output 6 Led OFF,Binary Output 7 Led OFF,Binary Output 8 Led OFF,Binary Output 9 Led OFF,Binary Output 10 Led OFF,Binary Output 11 Led OFF,Binary Output 12 Led OFF,Binary Output 13 Led OFF,0 VAC Binary Output 1,0 VAC  Binary Output 2,0 VAC  Binary Output 3,0 VAC  Binary Output 4,0 VAC  Binary Output 5,0 VAC  Binary Output 6,0 VAC  Binary Output 7,0 VAC  Binary Output 8,0 VAC  Binary Output 9,0 VAC  Binary Output 10,0 VAC  Binary Output 11,0 VAC  Binary Output 12,0 VAC  Binary Output 13,Binary Input 1 High,Binary Input 2 High,Binary Input 3 High,Binary Input 4 High,Binary Input 5 High,Binary Input 6 High,Binary Input 7 High,Binary Input 8 High,Binary Input 9 High,Binary Input 10 High,Binary Input 11 High,Binary Input 12 High,Binary Input 13 High,Binary Input 14 High,Binary Input 15 High,Binary Input 16 High,Binary Input 1 Low,Binary Input 2 Low,Binary Input 3 Low,Binary Input 4 Low,Binary Input 5 Low,Binary Input 6 Low,Binary Input 7 Low,Binary Input 8 Low,Binary Input 9 Low,Binary Input 10 Low,Binary Input 11 Low,Binary Input 12 Low,Binary Input 13 Low,Binary Input 14 Low,Binary Input 15 Low,Binary Input 16 Low,AI1 Resistance Input Mode 10k,AI2 Resistance Input Mode 10k,AI3 Resistance Input Mode 10k,AI4 Resistance Input Mode 10k,AI5 Resistance Input Mode 10k,AI6 Resistance Input Mode 10k,AI7 Resistance Input Mode 10k,AI8 Resistance Input Mode 10k,AI9 Resistance Input Mode 10k,AO1 Voltage Output Mode 10V,AO1 Voltage Output Mode 0V,AO1 Current Output Mode 10 mA,AO1 Current Output Mode 0 mA,AO1 PWM Output Mode 80Hz,UI1 Voltage Input Mode 10V,UI1 Current Input Mode 10mA,UI1 Resistance Input Mode 10k,UIO1 Current Input Mode 10mA,UIO1 Resistance Input Mode 10k,UIO1 Binary Input Mode "0",UIO1 Binary Input Mode "1",UIO1 Voltage Output Mode 10V,UIO1 Voltage Output Mode 0V,UART Test,UART LED11 Test,UART LED12 Test,UART LED13 Test,UART LED14 Test,USB Host J2 Test,USB Device P13 Test,Ethernet Loockback Test,System LEDs Test ON,LED9 Test ON,LED10 Test ON,LED3 Test ON,System LEDs Test OFF,LED9 Test OFF,LED10 Test OFF,LED3 Test OFF,LCD Display 1 Test,LCD Display 2 Test,Push-Bottom Test,Rotary Switch Test,Setting Calibration RTC_CLK_OUT,RTC_CLK_OUT Test,Match Date Calibration,Incrementing Date,Mac Address Assigment,Mac Address Assigned,Hardware Programmed,Serial Number Programmed,Login to SO and Change Directory,Request Cert and Certificate Installed,PS Processor Version,Device Tree md5sum,Device Tree (copy) md5sum,Field Kernel md5sum,Field Kernel (copy) md5sum,Recovery Kernel md5sum,U-boot md5sum,Reset Controller,Disable Debug Console
,,,,,LowLimit,0.05,22.8,4.75,3.135,1.337,1.262,22.8,0,Passed,Passed,,,,,,,,,,,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,,,Passed,Passed,2250,,Passed,,Passed,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,9900,9900,9900,9900,9900,9900,9900,9900,9900,9.85,-0.10,9.50,-0.25,79.20,9.50,9.50,9900,9.50,9900,Passed,Passed,9.50,-0.05,Passed,1000,1000,1000,1000,Passed,Passed,Passed,Passed,1000,1000,1000,Passed,-100,-100,-100,Passed,Passed,Passed,Passed,Passed,30000,Passed,Passed,Passed,,Passed,Passed,Passed,Passed,,,,,,,,Passed,Passed
,,,,,HighLimit,0.3,25.2,5.25,3.465,1.363,1.288,25.2,24,Passed,Passed,,,,,,,,,,,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,,,Passed,Passed,2750,,Passed,,Passed,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,100,100,100,100,100,100,100,100,100,100,100,100,100,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,10100,10100,10100,10100,10100,10100,10100,10100,10100,10.15,0.10,10.75,0.25,80.80,10.10,10.15,10100,10.15,10100,Passed,Passed,10.20,1.00,Passed,100000,100000,100000,100000,Passed,Passed,Passed,Passed,100000,100000,100000,Passed,1000,1000,1000,Passed,Passed,Passed,Passed,Passed,40000,Passed,Passed,Passed,,Passed,Passed,Passed,Passed,,,,,,,,Passed,Passed
,,,,,Units,A,VDC,VDC,VDC,VDC,VDC,VDC,VDC,,,,,,,,,,,,,,,,,,,,,,,,,,mV,,,,,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ohms,Ohms,Ohms,Ohms,Ohms,Ohms,Ohms,Ohms,Ohms,VDC,VDC,mADC,mADC,Hz,VDC,mADC,Ohms,mADC,Ohms,,,VDC,VDC,,Lm,Lm,Lm,Lm,,,,,Lm,Lm,Lm,,Lm,Lm,Lm,,,,,,Hz,,,,,,,,,,,,,,,,,
SN,Date,CycleTime,Nest,Status,FirstFail
S230305286,20/01/2023 12:39:55 a. m.,524.29s,2,Passed,,0.192429,23.7395613,4.99785721,3.3338049,1.35144225,1.27550397,23.7396719,1.9253663,Passed,Passed,011F81,0288FFCE7FE40B129C700004,0289FFD57FE00B119C76FFFE,028AFFCD7FDE0B0C9C74000B,028BFFCC7FDD0B0A9C76000B,028CFFC97FDD0B069C730008,028DFFCC7FDE0B079C750008,028EFFC37FDE0B0A9C74000E,028FFFCC7FE40B0C9C730004,0290FFC07FE30B0F9C7C000A,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,028544B40011578600129C7D00092719,02929C5C,Passed,Passed,2501.73637,0286DA6B77DC0B6F6E2300188A48000F,Passed,02876E14001C,Passed,69651,61258,65307,66342,70050,78597,73367,62482,66956,64478,70792,25775,28193,23.8760871,23.8761569,23.8764159,23.87901,23.8789218,23.8791597,23.8791211,23.8793447,23.8793349,23.8771543,23.8771866,23.8802123,23.8804284,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11319363,0.129037767,0.145305375,0.134042152,0.120848313,0.129622227,0.129566824,0.124022881,0.13462128,0.137785556,0.135576731,0.129378342,0.135223999,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,10005,10004,10003,10003,10002,10003,10002,10002,10002,10.10,0.00,10.07,0.00,80.37,9.99,10.00,9991,10.01,10005,Passed,Passed,10.02,0.04,Passed,17561,28854,7733,11943,Passed,Passed,Passed,Passed,99999,99999,41446,Passed,0,0,0,Passed,Passed,Passed,Passed,Passed,32769.8538,Passed,Passed,Passed,00:12:EA:11:03:23,Passed,Passed,Passed,Passed,25, 3a70eea449ac4a1d768753ec9c26c3d9, 3a70eea449ac4a1d768753ec9c26c3d9, 162441d06a4f1928a4d032085114e5d9, 162441d06a4f1928a4d032085114e5d9, 43f385263d267c78bc9e2f89d1e54cb7, c96afdbb7d6771e539bea3d6568e9be8,Passed,Passed
S230305139,20/01/2023 12:43:13 a. m.,722.11s,1,Passed,,0.189163,23.8705702,4.98656798,3.34539802,1.35250019,1.27394976,23.8721431,1.88922493,Passed,Passed,011F81,0288FFD67FEF0B0F9C110008,0289FFD17FE20B0D9C0E000C,028AFFCC7FE80B0B9C11000E,028BFFC97FE70B0C9C110011,028CFFC87FDC0B059C0C0019,028DFFC97FDD0B069C0E0017,028EFFC37FDE0B099C120013,028FFFCA7FE40B0C9C0F0011,0290FFC17FE50B0D9C190014,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,028544FB000A576300019C1E0012270F,02929BFD,Passed,Passed,2495.82737,0286DBE578BF0B776DED001689DF0010,Passed,02876E10001D,Passed,54172,55802,31189,75589,58127,63785,70372,60870,34514,33498,5857,71525,81120,23.8747279,23.8746193,23.874949,23.8770217,23.8769095,23.8770599,23.8770877,23.877136,23.8772424,23.8746344,23.8757374,23.8780661,23.8782148,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0577179085,0.0618884164,0.0621988342,0.0865683893,0.0644044919,0.0641746053,0.0787236331,0.0870225625,0.0753830605,0.075084626,0.0814180262,0.0828992614,0.0917906797,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,9998,9999,9997,9999,9999,9999,9999,9999,9999,10.09,0.01,10.03,0.00,80.32,10.00,10.02,9993,10.00,9998,Passed,Passed,10.01,0.04,Passed,23716,51502,31073,24371,Passed,Passed,Passed,Passed,99999,99999,99999,Passed,0,0,0,Passed,Passed,Passed,Passed,Passed,32770.3673,Passed,Passed,Passed,00:12:EA:11:03:24,Passed,Passed,Passed,Passed,25, 3a70eea449ac4a1d768753ec9c26c3d9, 3a70eea449ac4a1d768753ec9c26c3d9, 162441d06a4f1928a4d032085114e5d9, 162441d06a4f1928a4d032085114e5d9, 43f385263d267c78bc9e2f89d1e54cb7, c96afdbb7d6771e539bea3d6568e9be8,Passed,Passed
S230305070,20/01/2023 12:52:52 a. m.,532.59s,2,Passed,,0.186569,23.7286046,5.02045439,3.34550306,1.35426743,1.27523883,23.7308259,1.88980118,Passed,Passed,011F81,0288FFC07FD90B109C7E000D,0289FFCB7FD80B0E9C78000E,028AFFC97FD40B0A9C7A0013,028BFFC47FD40B089C870009,028CFFC87FD60B069C7E0010,028DFFC37FD50B079C7B0013,028EFFC27FD70B089C85000D,028FFFCC7FDC0B099C790014,0290FFC47FE00B0D9C8D000B,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,028544DD001B578B00149C89001C2720,02929C6A,Passed,Passed,2502.6426,0286DB6D786C0B766E77000C8A880011,Passed,02876E50001D,Passed,70844,59956,66788,69019,72886,81320,75115,60842,69615,70548,70775,24850,24692,23.8739039,23.8735441,23.8740755,23.8771378,23.8773698,23.8775917,23.8776724,23.877536,23.877505,23.8752869,23.8754916,23.8787604,23.8788881,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0892775903,0.0952471471,0.0892916866,0.0897836433,0.0927162205,0.0877406968,0.0943909703,0.095699234,0.099615025,0.096528658,0.103687886,0.108121988,0.107037322,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,10005,10004,10003,10003,10003,10004,10002,10002,10001,10.10,0.01,9.98,0.00,80.35,9.99,9.99,9997,10.01,10015,Passed,Passed,10.03,0.04,Passed,18222,34012,8089,12804,Passed,Passed,Passed,Passed,99999,99999,41938,Passed,0,0,0,Passed,Passed,Passed,Passed,Passed,32769.9393,Passed,Passed,Passed,00:12:EA:11:03:25,Passed,Passed,Passed,Passed,25, 3a70eea449ac4a1d768753ec9c26c3d9, 3a70eea449ac4a1d768753ec9c26c3d9, 162441d06a4f1928a4d032085114e5d9, 162441d06a4f1928a4d032085114e5d9, 43f385263d267c78bc9e2f89d1e54cb7, c96afdbb7d6771e539bea3d6568e9be8,Passed,Passed
S230304930,20/01/2023 02:09:21 a. m.,497.90s,2,Failed,Login to SO and Change Directory,0.186157,23.7191088,4.98564095,3.31604826,1.34394167,1.27664282,23.7191739,1.93345618,Passed,Passed,011F81,0288FFD57FDE0B0E9C4A0013,0289FFDA7FCD0B069C4D0008,028AFFD57FD70B049C48001C,028BFFD47FDA0B039C4B0015,028CFFD27FD90AFF9C4A0014,028DFFD47FD60AFF9C450020,028EFFCB7FD90B039C410025,028FFFD57FDC0B039C480018,0290FFCA7FDD0B089C4C001B,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,02854520000A578D00069C5C00162718,02929C38,Passed,Passed,2499.5124,0286D951773D0B536E06000D89FD0011,Passed,02876EEB0018,Passed,68444,53346,66148,64027,65034,76240,71016,61852,68522,71204,71272,21798,24209,23.8823426,23.8827403,23.8826166,23.885334,23.8854925,23.8855109,23.8856237,23.8856598,23.8856403,23.8830761,23.8835497,23.8866104,23.8867172,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0855396594,0.0908466286,0.0874619038,0.0868827639,0.0934760475,0.0885161983,0.0960672774,0.0994531306,0.102333754,0.100294402,0.103265247,0.108139036,0.106857445,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,10004,10002,10001,10002,10001,10002,10001,10001,10001,10.03,0.00,9.99,0.00,80.35,9.99,9.99,9996,10.01,10005,Passed,Passed,10.01,0.04,Passed,19071,29368,8089,14941,Passed,Passed,Passed,Passed,99999,99999,43731,Passed,0,0,0,Passed,Passed,Passed,Passed,Passed,32769.9146,Passed,Passed,Passed,,Passed,Passed,Failed,,,,,,,,,,
S230305753,20/01/2023 02:19:29 a. m.,493.44s,1,Failed,Login to SO and Change Directory,0.191513,23.7058381,5.0043841,3.35598284,1.34712213,1.26993802,23.7070796,1.81677653,Passed,Passed,011F81,0288FFD67FD80B099C5F0013,0289FFD87FD70B099C600013,028AFFCF7FD10B009C640014,028BFFCE7FD10B019C660015,028CFFCE7FD10AFB9C620019,028DFFCE7FD00AFB9C62001A,028EFFC97FCC0AFD9C660018,028FFFD07FD10B069C620015,0290FFC87FDB0B0A9C69001A,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,028544DE0014579400109C6B001A271E,02929C4F,Passed,Passed,2500.92659,0286DBEB78C80B776E7D00128A69001D,Passed,02876E5B001B,Passed,57578,54892,30359,78657,59454,64051,71323,59394,30600,31073,7733,73011,80983,23.8737107,23.8736418,23.8738732,23.8758055,23.8756939,23.8759681,23.8759933,23.876004,23.8760721,23.8736599,23.8745865,23.8769392,23.8769788,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138314937,0.14034515,0.142837573,0.168192254,0.162783711,0.150800615,0.142957493,0.155212015,0.126545746,0.141726988,0.147545743,0.13762587,0.13451466,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,10003,10002,10003,10002,10002,10002,10000,10002,10001,10.10,0.01,9.90,0.00,80.22,10.00,10.02,9988,10.01,10008,Passed,Passed,10.04,0.04,Passed,23882,51807,30956,26223,Passed,Passed,Passed,Passed,99999,99999,99999,Passed,0,0,0,Passed,Passed,Passed,Passed,Passed,32770.1442,Passed,Passed,Passed,,Passed,Passed,Failed,,,,,,,,,,
S230305750,20/01/2023 02:22:30 a. m.,711.31s,2,Passed,,0.188309,23.7531653,5.01109411,3.34519685,1.35130549,1.27567912,23.7533626,1.8557257,Passed,Passed,011F81,0288FFE47FE00B0F9CDF0010,0289FFE77FDD0B0C9CE50010,028AFFDF7FD70B079CE1001B,028BFFDE7FDD0B029CE3001E,028CFFDC7FD50AFE9CDD0026,028DFFDF7FD80B009CDB0023,028EFFD47FD60B049CD8002B,028FFFDE7FDB0B079CD80028,0290FFD17FDC0B0A9CE60021,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,02854534000A57D2000D9CF300192714,02929CD2,Passed,Passed,2509.11668,0286DA9177EE0B6F6DF2000D89BD0014,Passed,02876ECB001C,Passed,72313,59304,66385,65709,69300,79632,74340,62379,68695,66577,70705,27371,23882,23.881316,23.8814207,23.8817286,23.8837303,23.8837717,23.8839017,23.8838509,23.8839896,23.8841704,23.8821584,23.8824723,23.8850392,23.8852202,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0726844095,0.0828294883,0.0799329904,0.0820579041,0.0826675572,0.0761703432,0.081033246,0.0838510343,0.0815740011,0.0758866574,0.0851404461,0.0886137356,0.0830516679,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,10000,9999,10001,10000,10000,10000,10000,10001,10000,10.09,0.01,10.06,0.00,80.24,9.99,9.98,9996,10.01,10002,Passed,Passed,10.02,0.04,Passed,18004,29869,7371,12521,Passed,Passed,Passed,Passed,99999,99999,41232,Passed,0,0,0,Passed,Passed,Passed,Passed,Passed,32769.9918,Passed,Passed,Passed,00:12:EA:11:03:28,Passed,Passed,Passed,Passed,25, 3a70eea449ac4a1d768753ec9c26c3d9, 3a70eea449ac4a1d768753ec9c26c3d9, 162441d06a4f1928a4d032085114e5d9, 162441d06a4f1928a4d032085114e5d9, 43f385263d267c78bc9e2f89d1e54cb7, c96afdbb7d6771e539bea3d6568e9be8,Passed,Passed
