,,,,,TestName,UUT Current Measurment,24 VDC Measurment,5 VDC Measurment,3.3 VDC Measurment,1.35 VDC Measurment,1.275 VDC Measurment,VDC w/18 VAC Power,VDC w/7 VAC Power,Program & Verify Hardware,Hardware Number,Program & Verify Serial Number,Verify Software Number,AI1 Data Calibrated,AI2 Data Calibrated,AI3 Data Calibrated,AI4 Data Calibrated,AI5 Data Calibrated,AI6 Data Calibrated,AI7 Data Calibrated,AI8 Data Calibrated,AI9 Data Calibrated,AI1 Calibration,AI2 Calibration,AI3 Calibration,AI4 Calibration,AI5 Calibration,AI6 Calibration,AI7 Calibration,AI8 Calibration,AI9 Calibration,UIO1 Data Calibrated,2.5V Reference Data Calibrated,UIO1 Calibration,2.5V Reference Calibration,2.5V_Buf Reference,UI1 Data Calibrated,UI1 Calibration,AO1 Data Calibrated,AO1 Calibration,Binary Output 1 Led ON,Binary Output 2 Led ON,Binary Output 3 Led ON,Binary Output 4 Led ON,Binary Output 5 Led ON,Binary Output 6 Led ON,Binary Output 7 Led ON,Binary Output 8 Led ON,Binary Output 9 Led ON,Binary Output 10 Led ON,Binary Output 11 Led ON,Binary Output 12 Led ON,Binary Output 13 Led ON,24 VAC Binary Output 1,24 VAC Binary Output 2,24 VAC Binary Output 3,24 VAC Binary Output 4,24 VAC Binary Output 5,24 VAC Binary Output 6,24 VAC Binary Output 7,24 VAC Binary Output 8,24 VAC Binary Output 9,24 VAC Binary Output 10,24 VAC Binary Output 11,24 VAC Binary Output 12,24 VAC Binary Output 13,Binary Output 1 Led OFF,Binary Output 2 Led OFF,Binary Output 3 Led OFF,Binary Output 4 Led OFF,Binary Output 5 Led OFF,Binary Output 6 Led OFF,Binary Output 7 Led OFF,Binary Output 8 Led OFF,Binary Output 9 Led OFF,Binary Output 10 Led OFF,Binary Output 11 Led OFF,Binary Output 12 Led OFF,Binary Output 13 Led OFF,0 VAC Binary Output 1,0 VAC  Binary Output 2,0 VAC  Binary Output 3,0 VAC  Binary Output 4,0 VAC  Binary Output 5,0 VAC  Binary Output 6,0 VAC  Binary Output 7,0 VAC  Binary Output 8,0 VAC  Binary Output 9,0 VAC  Binary Output 10,0 VAC  Binary Output 11,0 VAC  Binary Output 12,0 VAC  Binary Output 13,Binary Input 1 High,Binary Input 2 High,Binary Input 3 High,Binary Input 4 High,Binary Input 5 High,Binary Input 6 High,Binary Input 7 High,Binary Input 8 High,Binary Input 9 High,Binary Input 10 High,Binary Input 11 High,Binary Input 12 High,Binary Input 13 High,Binary Input 14 High,Binary Input 15 High,Binary Input 16 High,Binary Input 1 Low,Binary Input 2 Low,Binary Input 3 Low,Binary Input 4 Low,Binary Input 5 Low,Binary Input 6 Low,Binary Input 7 Low,Binary Input 8 Low,Binary Input 9 Low,Binary Input 10 Low,Binary Input 11 Low,Binary Input 12 Low,Binary Input 13 Low,Binary Input 14 Low,Binary Input 15 Low,Binary Input 16 Low,AI1 Resistance Input Mode 10k,AI2 Resistance Input Mode 10k,AI3 Resistance Input Mode 10k,AI4 Resistance Input Mode 10k,AI5 Resistance Input Mode 10k,AI6 Resistance Input Mode 10k,AI7 Resistance Input Mode 10k,AI8 Resistance Input Mode 10k,AI9 Resistance Input Mode 10k,AO1 Voltage Output Mode 10V,AO1 Voltage Output Mode 0V,AO1 Current Output Mode 10 mA,AO1 Current Output Mode 0 mA,AO1 PWM Output Mode 80Hz,UI1 Voltage Input Mode 10V,UI1 Current Input Mode 10mA,UI1 Resistance Input Mode 10k,UIO1 Current Input Mode 10mA,UIO1 Resistance Input Mode 10k,UIO1 Binary Input Mode "0",UIO1 Binary Input Mode "1",UIO1 Voltage Output Mode 10V,UIO1 Voltage Output Mode 0V,UART Test,UART LED11 Test,UART LED12 Test,UART LED13 Test,UART LED14 Test,USB Host J2 Test,USB Device P13 Test,Ethernet Loockback Test,System LEDs Test ON,LED9 Test ON,LED10 Test ON,LED3 Test ON,System LEDs Test OFF,LED9 Test OFF,LED10 Test OFF,LED3 Test OFF,LCD Display 1 Test,LCD Display 2 Test,Push-Bottom Test,Rotary Switch Test,Setting Calibration RTC_CLK_OUT,RTC_CLK_OUT Test,Match Date Calibration,Incrementing Date,Mac Address Assigment,Mac Address Assigned,Hardware Programmed,Serial Number Programmed,Login to SO and Change Directory,Request Cert and Certificate Installed,PS Processor Version,Device Tree md5sum,Device Tree (copy) md5sum,Field Kernel md5sum,Field Kernel (copy) md5sum,Recovery Kernel md5sum,U-boot md5sum,Reset Controller,Disable Debug Console
,,,,,LowLimit,0.05,22.8,4.75,3.135,1.337,1.262,22.8,0,Passed,,Passed,,,,,,,,,,,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,,,Passed,Passed,2250,,Passed,,Passed,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,9900,9900,9900,9900,9900,9900,9900,9900,9900,9.85,-0.10,9.50,-0.25,79.20,9.50,9.50,9900,9.50,9900,Passed,Passed,9.50,-0.05,Passed,1000,1000,1000,1000,Passed,Passed,Passed,Passed,1000,1000,1000,Passed,-100,-100,-100,Passed,Passed,Passed,Passed,Passed,30000,Passed,Passed,Passed,,Passed,Passed,Passed,Passed,,,,,,,,Passed,Passed
,,,,,HighLimit,0.3,25.2,5.25,3.465,1.363,1.288,25.2,24,Passed,,Passed,,,,,,,,,,,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,,,Passed,Passed,2750,,Passed,,Passed,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,100,100,100,100,100,100,100,100,100,100,100,100,100,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,10100,10100,10100,10100,10100,10100,10100,10100,10100,10.15,0.10,10.75,0.25,80.80,10.10,10.15,10100,10.15,10100,Passed,Passed,10.20,1.00,Passed,100000,100000,100000,100000,Passed,Passed,Passed,Passed,100000,100000,100000,Passed,1000,1000,1000,Passed,Passed,Passed,Passed,Passed,40000,Passed,Passed,Passed,,Passed,Passed,Passed,Passed,,,,,,,,Passed,Passed
,,,,,Units,A,VDC,VDC,VDC,VDC,VDC,VDC,VDC,,,,,,,,,,,,,,,,,,,,,,,,,,,mV,,,,,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ohms,Ohms,Ohms,Ohms,Ohms,Ohms,Ohms,Ohms,Ohms,VDC,VDC,mADC,mADC,Hz,VDC,mADC,Ohms,mADC,Ohms,,,VDC,VDC,,Lm,Lm,Lm,Lm,,,,,Lm,Lm,Lm,,Lm,Lm,Lm,,,,,,Hz,,,,,,,,,,,,,,,,,
SN,Date,CycleTime,Nest,Status,FirstFail
S230803374,03/03/2023 03:02:19 p. m.,431.00s,1,Passed,,0.176727,23.8121246,5.02944087,3.32846959,1.34992541,1.27274868,23.8122314,1.89106885,Passed,1365173501,Passed,011F81,0288FFDD7FEA0B0A9C280011,0289FFE07FE10B089C2B0010,028AFFD67FE00B059C2D0015,028BFFD77FDF0B069C2C0018,028CFFD87FDE0B009C2A001A,028DFFD97FD40B009C2A001B,028EFFD47FD30B029C2F0017,028FFFD97FE00B079C2C0015,0290FFD27FE20B089C31001A,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,028544F50013575800109C3800162713,02929C1E,Passed,Passed,2497.89863,0286DA5E77BA0B606DD7000C89B70014,Passed,02876DB40019,Passed,34114,47977,48742,62431,59213,56295,67913,71475,14685,51193,15689,38636,50515,23.8670773,23.8672385,23.8674902,23.8691035,23.8692355,23.8692129,23.8693084,23.8692165,23.8693967,23.8667397,23.8681683,23.8703011,23.8700045,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0334614014,0.0341348736,0.0313841419,0.0402565423,0.0381477177,0.0468525612,0.0159057998,0.0138409892,0.0118742377,0.0337688661,0.109307157,0.10083903,0.00592244237,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,9997,9999,9997,9998,9998,10000,9999,9997,9999,10.06,0.01,9.83,0.01,80.28,10.00,9.99,9996,10.01,9998,Passed,Passed,10.00,0.04,Passed,23210,49040,31988,24209,Passed,Passed,Passed,Passed,99999,99999,99999,Passed,0,0,0,Passed,Passed,Passed,Passed,Passed,32770.3889,Passed,Passed,Passed,00:12:EA:11:10:06,Passed,Passed,Passed,Passed,25, 3a70eea449ac4a1d768753ec9c26c3d9, 3a70eea449ac4a1d768753ec9c26c3d9, 162441d06a4f1928a4d032085114e5d9, 162441d06a4f1928a4d032085114e5d9, 43f385263d267c78bc9e2f89d1e54cb7, c96afdbb7d6771e539bea3d6568e9be8,Passed,Passed
S230404741,03/03/2023 03:03:40 p. m.,412.45s,2,Failed,Login to SO and Change Directory,0.175873,23.6949807,5.02927592,3.34132547,1.35265472,1.2716408,23.6949012,1.93255073,Passed,1365173501,Passed,011F81,0288FFE280040B149C57000A,0289FFE480000B149C4F0011,028AFFDB80020B139C58000B,028BFFD97FFC0B109C5A000F,028CFFD880050B119C53001D,028DFFD8800C0B119C4E001D,028EFFCF80000B119C4F0022,028FFFD97FF20B109C4F0017,0290FFCF7FFF0B149C5D0016,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,028544DB0019571D000E9C64001626FF,02929C45,Passed,Passed,2500.29405,0286DAF9781D0B706E4100088A55000D,Passed,02876E88001B,Passed,41232,31073,46077,63094,65731,37807,51850,60617,38226,47821,56879,33289,18222,23.8781327,23.8783601,23.8784555,23.8809736,23.881418,23.8813044,23.8812925,23.881049,23.8812892,23.8795178,23.8795808,23.882433,23.8827004,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0641387033,0.0638117223,0.101328654,0.0843673958,0.0614123095,0.0765109321,0.0675539706,0.0479674064,0.0659866796,0.0677402842,0.0647680849,0.051957476,0.05254331,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,9997,9998,9998,9997,9998,9999,9999,9999,9999,10.13,0.01,9.86,0.01,80.39,9.99,9.98,9999,10.01,10010,Passed,Passed,10.05,0.04,Passed,17108,28723,8089,12804,Passed,Passed,Passed,Passed,99999,99999,43604,Passed,0,0,0,Passed,Passed,Passed,Passed,Passed,32769.8035,Passed,Passed,Passed,,Passed,Passed,Failed,,,,,,,,,,
S230405212,03/03/2023 03:11:23 p. m.,412.58s,2,Passed,,0.176727,23.7774703,5.05790721,3.33469235,1.34944906,1.27891422,23.7774962,2.01470889,Passed,1365173501,Passed,011F81,0288FFE280100B1D9C170004,0289FFE5800F0B1C9C17FFFB,028AFFDC80020B149C140010,028BFFDD800F0B149C13000C,028CFFD67FFF0B0E9C16000A,028DFFDA7FFE0B0F9C14000D,028EFFD180090B129C1A000A,028FFFD8800D0B149C13000C,0290FFCE80050B149C170012,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,028544CB000C56EE00039C15001C2708,02929C04,Passed,Passed,2496.22562,0286DAAA78060B6F6E2B00148A35000D,Passed,02876E44001B,Passed,44420,29112,53104,66577,70565,44482,61772,63094,47184,59956,67873,41588,23039,23.8735678,23.8737525,23.8734861,23.8759418,23.8761233,23.8760177,23.8762638,23.8763384,23.8764963,23.874781,23.8746573,23.8772127,23.8777607,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0295380622,0.0302362356,0.0392356502,0.036516573,0.0410206109,0.049299744,0.060748412,0.0770057261,0.0738358974,0.0829269198,0.0906336851,0.0758619291,0.0894873672,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,10004,10002,10002,10002,10002,10002,10002,10001,10002,10.12,0.01,10.03,0.01,80.58,10.00,10.01,9995,10.01,10008,Passed,Passed,10.04,0.04,Passed,19686,31763,7733,15442,Passed,Passed,Passed,Passed,99999,99999,43921,Passed,0,0,0,Passed,Passed,Passed,Passed,Passed,32769.7324,Passed,Passed,Passed,00:12:EA:11:10:08,Passed,Passed,Passed,Passed,25, 3a70eea449ac4a1d768753ec9c26c3d9, 3a70eea449ac4a1d768753ec9c26c3d9, 162441d06a4f1928a4d032085114e5d9, 162441d06a4f1928a4d032085114e5d9, 43f385263d267c78bc9e2f89d1e54cb7, c96afdbb7d6771e539bea3d6568e9be8,Passed,Passed
S230404741,03/03/2023 03:11:39 p. m.,428.28s,1,Passed,,0.175507,23.7037012,5.02948568,3.3409551,1.35310926,1.27188583,23.7050743,23.7049327,Passed,1365173501,Passed,011F81,0288FFEA80010B149C55000F,0289FFDF7FFE0B149C55000D,028AFFE180050B129C58000F,028BFFD97FF90B119C5A0012,028CFFD880080B0F9C580016,028DFFD380040B109C580017,028EFFD27FFB0B109C58001A,028FFFDF7FF00B109C580012,0290FFD180000B149C620016,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,028544DD0018571C000A9C6800142704,02929C46,Passed,Passed,2500.3839,0286DAF5781D0B6F6E3E00098A52000C,Passed,02876E89001A,Passed,35482,48742,46077,67653,58816,59898,70861,72649,16878,51459,16410,47076,53506,23.8573623,23.8572879,23.8573389,23.8591219,23.8591524,23.859066,23.8589768,23.8587836,23.8588647,23.8559184,23.8572533,23.8580408,23.8582402,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0643180837,0.0640078095,0.0782102557,0.119565643,0.106473449,0.097614517,0.113620849,0.127913544,0.101369483,0.10872235,0.120396423,0.112105916,0.11574997,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,9997,9997,9997,9998,9998,10000,9999,9999,9999,10.13,0.01,9.86,0.01,80.40,10.00,9.98,9995,10.01,10015,Passed,Passed,10.08,0.04,Passed,23039,50238,31421,25471,Passed,Passed,Passed,Passed,99999,99999,99999,Passed,0,0,0,Passed,Passed,Passed,Passed,Passed,32770.2461,Passed,Passed,Passed,00:12:EA:11:10:09,Passed,Passed,Passed,Passed,25, 3a70eea449ac4a1d768753ec9c26c3d9, 3a70eea449ac4a1d768753ec9c26c3d9, 162441d06a4f1928a4d032085114e5d9, 162441d06a4f1928a4d032085114e5d9, 43f385263d267c78bc9e2f89d1e54cb7, c96afdbb7d6771e539bea3d6568e9be8,Passed,Passed
S230402867,03/03/2023 03:16:49 p. m.,248.24s,1,Failed,Rotary Switch Test,0.176239,23.730754,4.98507024,3.3525538,1.34597969,1.2699765,23.7322016,2.0019179,Passed,1365173501,Passed,011F81,0288FFE87FDC0B0B9C03000D,0289FFE27FE10B0B9C020010,028AFFE27FD90B089C020015,028BFFDB7FDE0B089C040016,028CFFD87FDF0B039C00001A,028DFFD27FDA0B029C010019,028EFFD07FD60B039C060016,028FFFDF7FDA0B099C030015,0290FFD07FE10B0A9C0A0019,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,028544E500185713000B9C120017271B,02929BF3,Passed,Passed,2495.18201,0286DBDC78BF0B826DE7001089BE0013,Passed,02876DE20020,Passed,36943,51720,45146,61985,61719,57578,70757,69207,16410,47238,15689,40352,58317,23.8626368,23.862788,23.8633421,23.8651039,23.8651224,23.8653913,23.8654992,23.865449,23.8653797,23.8626838,23.8641098,23.8662315,23.8663759,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0303996952,0.022860455,0.0300763805,0.0754020047,0.0357077339,0.0298172441,0.0558182875,0.0689977566,0.05039038,0.0488970727,0.0601827677,0.0542162099,0.0718486224,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,10001,10000,10001,10000,10000,10000,10000,10001,10000,10.14,0.01,9.84,0.01,80.29,10.00,9.99,9998,10.01,10007,Passed,Passed,10.09,0.04,Passed,25163,54592,31988,26948,Passed,Passed,Passed,Passed,99999,99999,99999,Passed,0,0,0,Passed,Passed,Passed,Failed,,,,,,,,,,,,,,,,,,,
S230402867,03/03/2023 03:23:00 p. m.,229.90s,2,Failed,Rotary Switch Test,0.173737,23.7360694,4.98551637,3.35230085,1.34632895,1.27036346,23.7356457,3.48009483,Passed,1365173501,Passed,011F81,0288FFD27FE60B109C080008,0289FFDA7FE50B109C03000A,028AFFD77FDE0B0C9C060011,028BFFD57FE30B0A9C0D000B,028CFFD47FE20B079C030011,028DFFD47FDE0B079C030014,028EFFCD7FDF0B099C070011,028FFFD87FE20B099C050010,0290FFCC7FE40B0E9C0F0017,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,028544E300185713000C9C11001F2716,02929BF4,Passed,Passed,2495.23611,0286DBD278B50B876DDD000F89B60012,Passed,02876DE1001C,Passed,49187,36042,48891,65643,68444,44604,59454,62816,42553,46638,63018,31876,22692,23.8817228,23.8820531,23.8819558,23.8843664,23.8845213,23.8846093,23.8846224,23.8846414,23.8847294,23.8828753,23.8828652,23.8858576,23.8857494,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100597079,0.1035935,0.103374211,0.131261745,0.111945995,0.0910123659,0.102115353,0.0964434716,0.0961241932,0.0963956963,0.102444388,0.0953467938,0.0772159495,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,9995,9997,9997,9998,9998,9998,9998,9998,9999,10.14,0.02,9.83,0.02,80.27,9.99,9.99,10000,10.01,10005,Passed,Passed,10.09,0.04,Passed,18862,31988,7733,13359,Passed,Passed,Passed,Passed,99999,99999,43346,Passed,0,0,0,Passed,Passed,Passed,Failed,,,,,,,,,,,,,,,,,,,
