,,,,,TestName,UUT Current Measurment,24 VDC Measurment,5 VDC Measurment,3.3 VDC Measurment,1.35 VDC Measurment,1.275 VDC Measurment,VDC w/18 VAC Power,VDC w/7 VAC Power,24 VAC Binary Output 1,24 VAC Binary Output 2,24 VAC Binary Output 3,24 VAC Binary Output 4,24 VAC Binary Output 5,24 VAC Binary Output 6,24 VAC Binary Output 7,24 VAC Binary Output 8,24 VAC Binary Output 9,24 VAC Binary Output 10,24 VAC Binary Output 11,24 VAC Binary Output 12,24 VAC Binary Output 13,0 VAC Binary Output 1,0 VAC  Binary Output 2,0 VAC  Binary Output 3,0 VAC  Binary Output 4,0 VAC  Binary Output 5,0 VAC  Binary Output 6,0 VAC  Binary Output 7,0 VAC  Binary Output 8,0 VAC  Binary Output 9,0 VAC  Binary Output 10,0 VAC  Binary Output 11,0 VAC  Binary Output 12,0 VAC  Binary Output 13,AI1 Resistance Input Mode 10k,AI2 Resistance Input Mode 10k,AI3 Resistance Input Mode 10k,AI4 Resistance Input Mode 10k,AI5 Resistance Input Mode 10k,AI6 Resistance Input Mode 10k,AI7 Resistance Input Mode 10k,AI8 Resistance Input Mode 10k,AI9 Resistance Input Mode 10k,AO1 Voltage Output Mode 10V,AO1 Voltage Output Mode 0V,AO1 Current Output Mode 10 mA,AO1 Current Output Mode 0 mA,AO1 PWM Output Mode 80Hz,UI1 Voltage Input Mode 10V,UI1 Current Input Mode 10mA,UI1 Resistance Input Mode 10k,UIO1 Current Input Mode 10mA,UIO1 Resistance Input Mode 10k,UIO1 Binary Input Mode "0",UIO1 Binary Input Mode "1",UIO1 Voltage Output Mode 10V,UIO1 Voltage Output Mode 0V
,,,,,LowLimit,0.1,22.8,4.75,3.135,1.337,1.262,22.8,0,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,0,0,0,0,0,0,0,0,0,0,0,0,0,9900,9900,9900,9900,9900,9900,9900,9900,9900,9.85,-0.10,9.75,-0.25,79.20,9.50,9.50,9900,9.50,9900,Passed,Passed,9.50,-0.05
,,,,,HighLimit,0.3,25.2,5.25,3.465,1.363,1.288,25.2,24,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,10100,10100,10100,10100,10100,10100,10100,10100,10100,10.15,0.10,10.75,0.25,80.80,10.10,10.15,10100,10.15,10100,Passed,Passed,10.20,1.00
,,,,,Units,A,VDC,VDC,VDC,VDC,VDC,VDC,VDC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,Ohms,Ohms,Ohms,Ohms,Ohms,Ohms,Ohms,Ohms,Ohms,VDC,VDC,mADC,mADC,Hz,VDC,mADC,Ohms,mADC,Ohms,,,VDC,VDC
SN,Date,CycleTime,Nest,Status,FirstFail
S221705273,18/08/2022 12:58:25 p. m.,91.35s,1,Passed,,0.185577,23.7522524,5.00835421,3.32892302,1.35114852,1.27759179,23.7509902,10.3490377,23.8864092,23.8865385,23.8869246,23.8886876,23.8887175,23.8886499,23.8887977,23.8887392,23.8887822,23.887381,23.8875815,23.8896609,23.8896934,0.0959991654,0.0902453299,0.0970997476,0.135595082,0.117809579,0.104160333,0.0750778044,0.101444536,0.0532433932,0.0998024037,0.0774717593,0.0934651698,0.100415397,9994,10001,9990,9991,9998,9996,9998,9989,9993,10.07,0.00,10.00,0.00,80.18,10.01,9.99,9999,10.01,10013,Passed,Passed,10.01,0.04
S221802452,18/08/2022 01:00:03 p. m.,188.71s,2,Failed,UIO1 Voltage Output Mode 0V,0.182465,23.8064736,4.98293892,3.32764618,1.34879766,1.27814426,23.796926,4.21185624,0.0346294684,23.9063203,23.9065279,23.9076226,23.9079487,23.9076611,23.907984,23.9075117,23.9078747,23.9070257,23.9069532,23.9086052,23.9089246,0.0487717482,0.0649028142,0.0838424033,0.078642583,0.0668827332,0.0869955849,0.0881796526,0.0840737475,0.0967220683,0.101971695,0.104743442,0.0900366539,0.0951982342,10008,10008,10007,10008,10008,10011,10013,10010,10007,10.06,0.01,9.94,0.00,80.42,10.00,10.03,10008,10.01,10030,Passed,Passed,9.99,0.04
S221802452,18/08/2022 01:02:09 p. m.,106.01s,2,Passed,,0.182327,23.8113602,4.98354023,3.32757063,1.34905402,1.27843807,23.8137412,4.22203647,23.8844615,23.8900703,23.8855435,23.8871207,23.8882536,23.8930795,23.8928205,23.8931655,23.8924952,23.8910861,23.8908576,23.8886268,23.8937234,0.00950315092,0.0217898425,0.0193414601,0.0205626208,0.00889627649,0.0084999611,0.0100350861,0.01915991,0.0103348776,0.00475950303,0.0247875802,0.0261156195,0.014144025,10002,10002,9999,10000,10002,10003,10005,10002,9999,10.06,0.01,9.94,0.00,80.41,10.00,9.99,10001,10.01,10021,Passed,Passed,10.02,0.04
S221705273,18/08/2022 01:03:31 p. m.,188.34s,1,Passed,,0.185547,23.7543202,5.00822713,3.32883163,1.35126578,1.27766621,23.7530724,4.13347946,23.8892254,23.8896938,23.8898814,23.891696,23.8917209,23.8918863,23.8918342,23.891938,23.8920203,23.8905607,23.8909414,23.8928755,23.8930365,0.0598293829,0.053691627,0.0634804658,0.0983345637,0.078557648,0.0658208223,0.055902402,0.0761490322,0.038456685,0.0540300401,0.0460950629,0.0522952895,0.0718438383,9995,10002,9990,9992,9999,10000,10000,9989,9995,10.07,0.00,10.00,0.00,80.18,10.01,10.00,10003,10.01,10011,Passed,Passed,10.00,0.04
S221705273,18/08/2022 01:05:18 p. m.,90.97s,1,Passed,,0.185135,23.7574204,5.00795783,3.32873471,1.35139051,1.27770966,23.7560372,4.15058476,23.8892631,23.8893076,23.889812,23.8915968,23.8915467,23.8914448,23.8915584,23.8914151,23.8914526,23.8899869,23.8901756,23.8926638,23.8926005,0.0269560724,0.0347362806,0.0276454036,0.0353186213,0.0425075579,0.0596030802,0.0231318564,0.0328060637,0.0211597097,0.0457218062,0.0372960343,0.0440038344,0.0459720811,9994,9999,9989,9990,9997,9998,9998,9986,9994,10.07,0.00,10.00,0.00,80.18,10.01,10.00,9999,10.02,10008,Passed,Passed,10.00,0.04
S221802452,18/08/2022 01:07:14 p. m.,206.20s,2,Failed,UIO1 Voltage Output Mode 0V,0.182465,23.8106773,4.98472031,3.32752926,1.34908094,1.2784578,23.7993305,4.23428727,0.0346289568,23.9046705,23.9049489,23.9056847,23.9058922,23.9061692,23.9060289,23.9059069,23.9057616,23.9053119,23.9051615,23.9070329,23.9068075,0.0577839825,0.0753699071,0.0911867317,0.0765094252,0.0660069363,0.0771880981,0.0754971036,0.0719398208,0.0753019018,0.077966643,0.0831388497,0.0735320701,0.0745288274,10002,10002,9999,10000,10001,10003,10005,10001,9999,10.08,0.01,9.95,0.00,80.42,10.00,9.99,10000,10.01,10021,Passed,Passed,10.02,0.04
