,,,,,TestName,UUT Current Measurment,24 VDC Measurment,5 VDC Measurment,3.3 VDC Measurment,1.35 VDC Measurment,1.275 VDC Measurment,VDC w/18 VAC Power,VDC w/7 VAC Power,24 VAC Binary Output 1,24 VAC Binary Output 2,24 VAC Binary Output 3,24 VAC Binary Output 4,24 VAC Binary Output 5,24 VAC Binary Output 6,24 VAC Binary Output 7,24 VAC Binary Output 8,24 VAC Binary Output 9,24 VAC Binary Output 10,24 VAC Binary Output 11,24 VAC Binary Output 12,24 VAC Binary Output 13,0 VAC Binary Output 1,0 VAC  Binary Output 2,0 VAC  Binary Output 3,0 VAC  Binary Output 4,0 VAC  Binary Output 5,0 VAC  Binary Output 6,0 VAC  Binary Output 7,0 VAC  Binary Output 8,0 VAC  Binary Output 9,0 VAC  Binary Output 10,0 VAC  Binary Output 11,0 VAC  Binary Output 12,0 VAC  Binary Output 13,AI1 Resistance Input Mode 10k,AI2 Resistance Input Mode 10k,AI3 Resistance Input Mode 10k,AI4 Resistance Input Mode 10k,AI5 Resistance Input Mode 10k,AI6 Resistance Input Mode 10k,AI7 Resistance Input Mode 10k,AI8 Resistance Input Mode 10k,AI9 Resistance Input Mode 10k,AO1 Voltage Output Mode 10V,AO1 Voltage Output Mode 0V,AO1 Current Output Mode 10 mA,AO1 Current Output Mode 0 mA,AO1 PWM Output Mode 80Hz,UI1 Voltage Input Mode 10V,UI1 Current Input Mode 10mA,UI1 Resistance Input Mode 10k,UIO1 Current Input Mode 10mA,UIO1 Resistance Input Mode 10k,UIO1 Binary Input Mode "0",UIO1 Binary Input Mode "1",UIO1 Voltage Output Mode 10V,UIO1 Voltage Output Mode 0V
,,,,,LowLimit,0.1,22.8,4.75,3.135,1.337,1.262,22.8,0,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,0,0,0,0,0,0,0,0,0,0,0,0,0,9900,9900,9900,9900,9900,9900,9900,9900,9900,9.85,-0.05,9.75,-0.25,79.20,9.50,9.50,9900,9.50,9900,Passed,Passed,9.50,-0.05
,,,,,HighLimit,0.3,25.2,5.25,3.465,1.363,1.288,25.2,24,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,10100,10100,10100,10100,10100,10100,10100,10100,10100,10.15,0.05,10.75,0.25,80.80,10.10,10.15,10100,10.15,10100,Passed,Passed,10.20,1.00
,,,,,Units,A,VDC,VDC,VDC,VDC,VDC,VDC,VDC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,Ohms,Ohms,Ohms,Ohms,Ohms,Ohms,Ohms,Ohms,Ohms,VDC,VDC,mADC,mADC,Hz,VDC,mADC,Ohms,mADC,Ohms,,,VDC,VDC
SN,Date,CycleTime,Nest,Status,FirstFail
S221705273,18/08/2022 12:07:45 p. m.,89.54s,1,Passed,,0.184143,23.754887,5.0082511,3.32877845,1.35128908,1.27762933,23.7533894,11.4223179,23.8740399,23.8731112,23.872003,23.8724905,23.8714177,23.8701676,23.8687027,23.8694209,23.8695374,23.8681495,23.8683405,23.8700535,23.8690663,0.0492859725,0.0493313626,0.0567080621,0.109597296,0.0853319766,0.0710156982,0.0631074026,0.093770073,0.0468903546,0.0983974319,0.0756560846,0.0966942984,0.103538307,9991,9997,9988,9988,9994,9994,9996,9984,9991,10.05,0.00,10.00,0.00,80.20,10.01,9.99,10001,10.01,10010,Passed,Passed,10.01,0.04
S221802452,18/08/2022 12:09:18 p. m.,181.81s,2,Failed,UIO1 Voltage Output Mode 0V,0.182587,23.8098226,4.98332398,3.32758116,1.3489893,1.27834406,23.8134888,4.22020699,0.0351464451,23.9068755,23.9070207,23.9082519,23.9083678,23.9077304,23.9080975,23.9083777,23.9085012,23.9073446,23.9077044,23.9094855,23.9094797,0.0577328187,0.0608067037,0.0598459086,0.0461982219,0.0237644909,0.0216306094,0.0135522303,0.0111232591,0.0110066521,0.0164551983,0.034298509,0.0385506985,0.0406396022,10009,10010,10008,10009,10010,10013,10014,10011,10008,10.06,0.01,9.95,0.00,80.43,10.00,10.03,10015,10.01,10034,Passed,Passed,10.02,0.04
S221802452,18/08/2022 12:13:20 p. m.,97.87s,2,Failed,UIO1 Voltage Output Mode 0V,0.182709,23.8094073,4.98360404,3.32757383,1.34896381,1.27831569,23.7984291,4.25307422,23.8847732,23.8897028,23.8856999,23.887445,23.8930809,23.893572,23.8933247,23.892998,23.8938601,23.8899866,23.8912799,23.8892672,23.8936302,0.0192881189,0.0338249156,0.0239126089,0.0289690471,0.0211819956,0.0194680503,0.0275848185,0.0462010492,0.0280148123,0.0215542028,0.0360951819,0.0267251099,0.0232146567,10001,10001,9999,10001,10002,10003,10005,10001,9999,10.06,0.01,1.50,0.00,80.43,10.00,9.99,10001,10.01,10021,Passed,Passed,10.02,0.04
S221705273,18/08/2022 12:14:38 p. m.,176.90s,1,Passed,,0.185333,23.7543576,5.00826644,3.32883531,1.35122664,1.27763483,23.7530679,23.752902,23.8893485,23.8894565,23.8899127,23.891585,23.89153,23.8917285,23.8916794,23.8918838,23.8919954,23.890531,23.8905579,23.8929143,23.8927078,0.0264124686,0.0217565655,0.030379833,0.0698661454,0.0365405282,0.032521727,0.0320385701,0.0458374024,0.0224596976,0.0310335949,0.0254946974,0.02946822,0.0424942735,9993,9996,9989,9988,9994,9993,9994,9984,9989,10.05,0.00,10.00,0.00,80.20,10.01,9.99,10005,10.01,10010,Passed,Passed,10.00,0.04
S221705273,18/08/2022 12:20:26 p. m.,91.81s,1,Passed,,0.185623,23.7539844,5.00826351,3.32885151,1.35118539,1.27762245,23.7527133,4.5695839,23.887662,23.8877628,23.8883013,23.8897541,23.890043,23.8901153,23.8900478,23.8901773,23.890114,23.8886095,23.8888539,23.8910156,23.8910116,0.0165859785,0.0148330544,0.0178290532,0.0594356403,0.0235375295,0.0317460663,0.021103931,0.0327107221,0.0198001459,0.0551544486,0.0450533629,0.0602308134,0.0604715911,9994,10000,9990,9991,9998,9997,9998,9988,9993,10.05,0.00,10.00,0.00,80.20,10.01,10.00,10004,10.01,10008,Passed,Passed,10.00,0.04
S221802452,18/08/2022 12:22:04 p. m.,190.18s,2,Passed,,0.182785,23.8077464,4.98378294,3.32759139,1.34890185,1.27825409,23.8142878,4.23191113,23.8963657,23.8966731,23.8966817,23.8983922,23.8985114,23.8985611,23.898786,23.898499,23.898721,23.8972853,23.897373,23.8992122,23.8994538,0.28159473,0.120182936,0.141581453,0.115171443,0.0927063027,0.108000357,0.100766326,0.0902290746,0.0981651095,0.100103177,0.0994006827,0.098697086,0.267277956,10002,10002,9999,10001,10001,10005,10006,10002,10000,10.06,0.01,9.94,0.00,80.41,9.97,10.00,10001,10.01,10024,Passed,Passed,10.02,0.04
