,,,,,TestName,UUT Current Measurment,24 VDC Measurment,5 VDC Measurment,3.3 VDC Measurment,1.35 VDC Measurment,1.275 VDC Measurment,VDC w/18 VAC Power,VDC w/7 VAC Power,24 VAC Binary Output 1,24 VAC Binary Output 2,24 VAC Binary Output 3,24 VAC Binary Output 4,24 VAC Binary Output 5,24 VAC Binary Output 6,24 VAC Binary Output 7,24 VAC Binary Output 8,24 VAC Binary Output 9,24 VAC Binary Output 10,24 VAC Binary Output 11,24 VAC Binary Output 12,24 VAC Binary Output 13,0 VAC Binary Output 1,0 VAC  Binary Output 2,0 VAC  Binary Output 3,0 VAC  Binary Output 4,0 VAC  Binary Output 5,0 VAC  Binary Output 6,0 VAC  Binary Output 7,0 VAC  Binary Output 8,0 VAC  Binary Output 9,0 VAC  Binary Output 10,0 VAC  Binary Output 11,0 VAC  Binary Output 12,0 VAC  Binary Output 13,AI1 Resistance Input Mode 10k,AI2 Resistance Input Mode 10k,AI3 Resistance Input Mode 10k,AI4 Resistance Input Mode 10k,AI5 Resistance Input Mode 10k,AI6 Resistance Input Mode 10k,AI7 Resistance Input Mode 10k,AI8 Resistance Input Mode 10k,AI9 Resistance Input Mode 10k,AO1 Voltage Output Mode 10V,AO1 Voltage Output Mode 0V,AO1 Current Output Mode 10 mA,AO1 Current Output Mode 0 mA,AO1 PWM Output Mode 80Hz,UI1 Voltage Input Mode 10V,UI1 Current Input Mode 10mA,UI1 Resistance Input Mode 10k,UIO1 Current Input Mode 10mA,UIO1 Resistance Input Mode 10k,UIO1 Binary Input Mode "0",UIO1 Binary Input Mode "1",UIO1 Voltage Output Mode 10V,UIO1 Voltage Output Mode 0V,Rotary Switch Test
,,,,,LowLimit,0.05,22.8,4.75,3.135,1.337,1.262,22.8,0,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,0,0,0,0,0,0,0,0,0,0,0,0,0,9900,9900,9900,9900,9900,9900,9900,9900,9900,9.85,-0.10,9.75,-0.25,79.20,9.50,9.50,9900,9.50,9900,Passed,Passed,9.50,-0.05,Passed
,,,,,HighLimit,0.3,25.2,5.25,3.465,1.363,1.288,25.2,24,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,10100,10100,10100,10100,10100,10100,10100,10100,10100,10.15,0.10,10.75,0.25,80.80,10.10,10.15,10100,10.15,10100,Passed,Passed,10.20,1.00,Passed
,,,,,Units,A,VDC,VDC,VDC,VDC,VDC,VDC,VDC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,Ohms,Ohms,Ohms,Ohms,Ohms,Ohms,Ohms,Ohms,Ohms,VDC,VDC,mADC,mADC,Hz,VDC,mADC,Ohms,mADC,Ohms,,,VDC,VDC,
SN,Date,CycleTime,Nest,Status,FirstFail
S230101899,05/01/2023 12:29:03 p. m.,52.98s,1,Failed,AI1 Resistance Input Mode 10k,0.061478,23.7640842,5.06482684,3.33027624,1.34469148,1.27585377,23.7652073,23.7662956,23.8961894,23.8962908,23.8966621,23.8985122,23.8984544,23.898743,23.8988258,23.8988912,23.8989621,23.8963765,23.8978166,23.9000937,23.9000377,0.0511903012,0.0464592391,0.0520030104,0.0966701102,0.065496132,0.0662293742,0.0847507747,0.0927416528,0.0770190952,0.0943171384,0.0980778759,0.102322873,0.111049703,4294967295,,,,,,,,,,,,,,,,,,,,,,,
S230101968,05/01/2023 12:29:40 p. m.,89.94s,2,Failed,AI1 Resistance Input Mode 10k,0.062393,23.9641232,5.0952112,3.32937958,1.34735493,1.27508437,23.9638854,23.9666301,23.9136445,23.9137075,23.9140859,23.9156064,23.9157284,23.916014,23.9158877,23.9159795,23.9161216,23.9143555,23.9150325,23.9172169,23.917314,0.076546842,0.0948757105,0.11174368,0.0949342447,0.0799297825,0.0921350725,0.0899320857,0.0871070516,0.0883617777,0.0919762729,0.0975663883,0.0861109186,0.0886000123,4294967295,,,,,,,,,,,,,,,,,,,,,,,
S230101899,05/01/2023 12:36:03 p. m.,49.08s,1,Failed,AI1 Resistance Input Mode 10k,0.060654,23.7682599,5.07120882,3.33012973,1.34513469,1.27608617,23.7693888,23.7703747,23.8962469,23.8963411,23.8965983,23.8984612,23.8984293,23.8985831,23.8984895,23.8986473,23.8989081,23.8962499,23.897738,23.8999323,23.8999951,0.015571908,0.0146284766,0.0116801923,0.0350681974,0.0181420955,0.0225903074,0.0283803458,0.030866408,0.0127232742,0.0162092731,0.0134625933,0.015520057,0.0142651463,4294967295,,,,,,,,,,,,,,,,,,,,,,,
S230101968,05/01/2023 12:36:39 p. m.,85.65s,2,Failed,AI1 Resistance Input Mode 10k,0.061249,23.9688528,5.10234847,3.32923224,1.34788571,1.27544932,23.9686036,23.9712501,23.9116206,23.9121073,23.9119613,23.9137462,23.9139865,23.9139968,23.9138685,23.9138823,23.9141362,23.911026,23.9129469,23.9152365,23.9152957,0.0836504767,0.101241218,0.119491217,0.103743992,0.0813719547,0.0940654591,0.0879592849,0.0810707394,0.0870266951,0.0907685287,0.0903076995,0.073756599,0.0828002638,4294967295,,,,,,,,,,,,,,,,,,,,,,,
S230101968,05/01/2023 12:42:00 p. m.,48.48s,2,Failed,AI1 Resistance Input Mode 10k,0.061005,23.9672856,5.10079764,3.32932046,1.34752109,1.27516709,23.9670787,23.9696882,23.9097345,23.9094683,23.9096356,23.91141,23.9116496,23.911618,23.9118172,23.9117495,23.9118022,23.9104283,23.910626,23.912839,23.912918,0.126568026,0.151480727,0.164389737,0.138950642,0.11633241,0.122260596,0.117151237,0.119928994,0.104116986,0.0961779646,0.106366506,0.0891625502,0.0859660827,4294967295,,,,,,,,,,,,,,,,,,,,,,,
S230101899,05/01/2023 12:42:36 p. m.,84.61s,1,Failed,AI1 Resistance Input Mode 10k,0.060318,23.7669185,5.08394886,3.33025604,1.34483147,1.27589969,23.7679498,23.768871,23.8940706,23.894235,23.8943663,23.8963957,23.8964308,23.8965785,23.8965947,23.8966767,23.896863,23.8942297,23.8956149,23.8980272,23.897943,0.0722961894,0.0691833193,0.0751519639,0.105525662,0.0874527064,0.0662182304,0.0787357356,0.0760241403,0.0535982852,0.0468073988,0.0439207085,0.041590983,0.0525377944,4294967295,,,,,,,,,,,,,,,,,,,,,,,
