,,,,,TestName,UUT Current Measurment,24 VDC Measurment,5 VDC Measurment,3.3 VDC Measurment,1.35 VDC Measurment,1.275 VDC Measurment,VDC w/18 VAC Power,VDC w/7 VAC Power,Program & Verify Hardware,Hardware Number,Program & Verify Serial Number,Verify Software Number,AI1 Data Calibrated,AI2 Data Calibrated,AI3 Data Calibrated,AI4 Data Calibrated,AI5 Data Calibrated,AI6 Data Calibrated,AI7 Data Calibrated,AI8 Data Calibrated,AI9 Data Calibrated,AI1 Calibration,AI2 Calibration,AI3 Calibration,AI4 Calibration,AI5 Calibration,AI6 Calibration,AI7 Calibration,AI8 Calibration,AI9 Calibration,UIO1 Data Calibrated,2.5V Reference Data Calibrated,UIO1 Calibration,2.5V Reference Calibration,2.5V_Buf Reference,UI1 Data Calibrated,UI1 Calibration,AO1 Data Calibrated,AO1 Calibration,Binary Output 1 Led ON,Binary Output 2 Led ON,Binary Output 3 Led ON,Binary Output 4 Led ON,Binary Output 5 Led ON,Binary Output 6 Led ON,Binary Output 7 Led ON,Binary Output 8 Led ON,Binary Output 9 Led ON,Binary Output 10 Led ON,Binary Output 11 Led ON,Binary Output 12 Led ON,Binary Output 13 Led ON,24 VAC Binary Output 1,24 VAC Binary Output 2,24 VAC Binary Output 3,24 VAC Binary Output 4,24 VAC Binary Output 5,24 VAC Binary Output 6,24 VAC Binary Output 7,24 VAC Binary Output 8,24 VAC Binary Output 9,24 VAC Binary Output 10,24 VAC Binary Output 11,24 VAC Binary Output 12,24 VAC Binary Output 13,Binary Output 1 Led OFF,Binary Output 2 Led OFF,Binary Output 3 Led OFF,Binary Output 4 Led OFF,Binary Output 5 Led OFF,Binary Output 6 Led OFF,Binary Output 7 Led OFF,Binary Output 8 Led OFF,Binary Output 9 Led OFF,Binary Output 10 Led OFF,Binary Output 11 Led OFF,Binary Output 12 Led OFF,Binary Output 13 Led OFF,0 VAC Binary Output 1,0 VAC  Binary Output 2,0 VAC  Binary Output 3,0 VAC  Binary Output 4,0 VAC  Binary Output 5,0 VAC  Binary Output 6,0 VAC  Binary Output 7,0 VAC  Binary Output 8,0 VAC  Binary Output 9,0 VAC  Binary Output 10,0 VAC  Binary Output 11,0 VAC  Binary Output 12,0 VAC  Binary Output 13,Binary Input 1 High,Binary Input 2 High,Binary Input 3 High,Binary Input 4 High,Binary Input 5 High,Binary Input 6 High,Binary Input 7 High,Binary Input 8 High,Binary Input 9 High,Binary Input 10 High,Binary Input 11 High,Binary Input 12 High,Binary Input 13 High,Binary Input 14 High,Binary Input 15 High,Binary Input 16 High,Binary Input 1 Low,Binary Input 2 Low,Binary Input 3 Low,Binary Input 4 Low,Binary Input 5 Low,Binary Input 6 Low,Binary Input 7 Low,Binary Input 8 Low,Binary Input 9 Low,Binary Input 10 Low,Binary Input 11 Low,Binary Input 12 Low,Binary Input 13 Low,Binary Input 14 Low,Binary Input 15 Low,Binary Input 16 Low,AI1 Resistance Input Mode 10k,AI2 Resistance Input Mode 10k,AI3 Resistance Input Mode 10k,AI4 Resistance Input Mode 10k,AI5 Resistance Input Mode 10k,AI6 Resistance Input Mode 10k,AI7 Resistance Input Mode 10k,AI8 Resistance Input Mode 10k,AI9 Resistance Input Mode 10k,AO1 Voltage Output Mode 10V,AO1 Voltage Output Mode 0V,AO1 Current Output Mode 10 mA,AO1 Current Output Mode 0 mA,AO1 PWM Output Mode 80Hz,UI1 Voltage Input Mode 10V,UI1 Current Input Mode 10mA,UI1 Resistance Input Mode 10k,UIO1 Current Input Mode 10mA,UIO1 Resistance Input Mode 10k,UIO1 Binary Input Mode "0",UIO1 Binary Input Mode "1",UIO1 Voltage Output Mode 10V,UIO1 Voltage Output Mode 0V,UART Test,UART LED11 Test,UART LED12 Test,UART LED13 Test,UART LED14 Test,USB Host J2 Test,USB Device P13 Test,Ethernet Loockback Test,System LEDs Test ON,LED9 Test ON,LED10 Test ON,LED3 Test ON,System LEDs Test OFF,LED9 Test OFF,LED10 Test OFF,LED3 Test OFF,LCD Display 1 Test,LCD Display 2 Test,Push-Bottom Test,Rotary Switch Test,Setting Calibration RTC_CLK_OUT,RTC_CLK_OUT Test,Match Date Calibration,Incrementing Date,Mac Address Assigment,Mac Address Assigned,Hardware Programmed,Serial Number Programmed,Login to SO and Change Directory,Request Cert and Certificate Installed,PS Processor Version,Device Tree md5sum,Device Tree (copy) md5sum,Field Kernel md5sum,Field Kernel (copy) md5sum,Recovery Kernel md5sum,U-boot md5sum,Reset Controller,Disable Debug Console
,,,,,LowLimit,0.05,22.8,4.75,3.135,1.337,1.262,22.8,0,Passed,,Passed,,,,,,,,,,,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,,,Passed,Passed,2250,,Passed,,Passed,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,9900,9900,9900,9900,9900,9900,9900,9900,9900,9.85,-0.10,9.50,-0.25,79.20,9.50,9.50,9900,9.50,9900,Passed,Passed,9.50,-0.05,Passed,1000,1000,1000,1000,Passed,Passed,Passed,Passed,1000,1000,1000,Passed,-100,-100,-100,Passed,Passed,Passed,Passed,Passed,30000,Passed,Passed,Passed,,Passed,Passed,Passed,Passed,,,,,,,,Passed,Passed
,,,,,HighLimit,0.3,25.2,5.25,3.465,1.363,1.288,25.2,24,Passed,,Passed,,,,,,,,,,,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,,,Passed,Passed,2750,,Passed,,Passed,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,100,100,100,100,100,100,100,100,100,100,100,100,100,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,10100,10100,10100,10100,10100,10100,10100,10100,10100,10.15,0.10,10.75,0.25,80.80,10.10,10.15,10100,10.15,10100,Passed,Passed,10.20,1.00,Passed,100000,100000,100000,100000,Passed,Passed,Passed,Passed,100000,100000,100000,Passed,1000,1000,1000,Passed,Passed,Passed,Passed,Passed,40000,Passed,Passed,Passed,,Passed,Passed,Passed,Passed,,,,,,,,Passed,Passed
,,,,,Units,A,VDC,VDC,VDC,VDC,VDC,VDC,VDC,,,,,,,,,,,,,,,,,,,,,,,,,,,mV,,,,,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ohms,Ohms,Ohms,Ohms,Ohms,Ohms,Ohms,Ohms,Ohms,VDC,VDC,mADC,mADC,Hz,VDC,mADC,Ohms,mADC,Ohms,,,VDC,VDC,,Lm,Lm,Lm,Lm,,,,,Lm,Lm,Lm,,Lm,Lm,Lm,,,,,,Hz,,,,,,,,,,,,,,,,,
SN,Date,CycleTime,Nest,Status,FirstFail
S230706604,23/02/2023 12:03:22 a. m.,239.23s,1,Failed,Rotary Switch Test,0.178635,23.7053368,5.01371817,3.34998476,1.34969279,1.27297975,23.7067866,2.05980741,Passed,400311901,Passed,014501,0288FFE580020B2A9BEAFFED,0289FFE780000B2C9BECFFEE,028AFFE57FFF0B2A9BE9FFEF,028BFFD27FEE0B1A9BEA0000,028CFFD77FF40B189BEBFFFE,028DFFDE7FF80B1D9BE8FFFE,028EFFDA7FF10B1C9BE80000,028FFFDB7FF40B1F9BEAFFFA,0290FFDA7FFC0B1C9BEAFFFD,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,028544C40016573A00119BF10011270B,02929BDA,Passed,Passed,2493.6506,0286DC5679000B8A6E1500038A0D0003,Passed,02876DE9000B,Passed,38959,58254,33498,70050,54817,59603,69375,67225,14165,48029,13083,47345,65665,23.8634109,23.8637,23.8640551,23.86563,23.8657726,23.8656646,23.8657002,23.8658435,23.8661578,23.8634005,23.8647883,23.8645217,23.8597481,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123686467,0.121861542,0.123997568,0.138876923,0.119002494,0.110811767,0.157666421,0.135551943,0.174699541,0.118747959,0.121021455,0.11846701,0.123608297,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,10001,10000,10000,10000,10000,10000,10000,10000,10000,10.14,0.01,9.91,0.00,80.00,10.00,10.01,9990,10.01,10007,Passed,Passed,10.03,0.01,Passed,25163,51720,32649,23380,Passed,Passed,Passed,Passed,99999,99999,99999,Passed,0,0,0,Passed,Passed,Passed,Failed,,,,,,,,,,,,,,,,,,,
S230706272,23/02/2023 12:05:35 a. m.,424.78s,2,Passed,,0.177765,23.7605874,4.99834329,3.3378658,1.34624392,1.27452719,23.7612129,2.03565234,Passed,400311901,Passed,014501,0288FFD780080B2E9C72FFEC,0289FFDA80040B2E9C6DFFF5,028AFFDF80010B2B9C6EFFF7,028BFFC77FF40B189C6B000A,028CFFCF7FF20B1A9C6D000A,028DFFD07FFB0B1F9C71FFFE,028EFFD27FF20B1C9C6B0007,028FFFD57FFA0B1D9C6C0001,0290FFD67FFE0B1C9C6B0006,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,028544FE001A572500159C7A00132713,02929C63,Passed,Passed,2502.2085,0286DAC878090B706DFE000489DA0002,Passed,02876EA50007,Passed,41588,39356,57281,63442,65284,38718,57479,62637,42076,44726,56469,39119,22339,23.8791706,23.8792623,23.8792028,23.8812111,23.8814634,23.8815767,23.8815435,23.8816419,23.8819784,23.8804536,23.8805168,23.882588,23.8828184,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115446076,0.114859574,0.11569245,0.113080033,0.1059817,0.10151384,0.106248644,0.110202564,0.105824653,0.105616405,0.127465856,0.122512321,0.111698466,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,9999,10000,10000,9999,9999,9999,9999,9999,9999,10.11,0.02,10.14,0.02,80.00,9.97,10.01,9998,10.01,10001,Passed,Passed,10.03,0.01,Passed,18862,31763,8439,13631,Passed,Passed,Passed,Passed,99999,99999,50238,Passed,0,0,0,Passed,Passed,Passed,Passed,Passed,32769.934,Passed,Passed,Passed,00:12:EA:11:0B:66,Passed,Passed,Passed,Passed,25, 87c148ecaab8466b25aa4cfbe78021c3, 87c148ecaab8466b25aa4cfbe78021c3, 97f8019342fa6278231d72febcddde73, 97f8019342fa6278231d72febcddde73, c22acc2e347bf98880465b6f70fb0321, 50303bf26e60d9011cb5cf713e941182,Passed,Passed
S230803899,23/02/2023 12:13:06 a. m.,424.06s,2,Passed,,0.179611,23.7856001,5.00596641,3.3345578,1.34994806,1.26650894,23.7863425,23.7858627,Passed,400311901,Passed,014501,0288FFEA80030B2D9C4BFFEF,0289FFEC7FFB0B2C9C4AFFF2,028AFFED7FFE0B2B9C46FFEE,028BFFDF7FE90B179C4AFFFE,028CFFE27FEF0B1B9C48FFFE,028DFFE67FF80B209C47FFFD,028EFFE27FF40B1C9C470000,028FFFE67FF80B1F9C44FFFC,0290FFE27FF90B1C9C47FFFE,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,028544FD0018572E00109C52000E2718,02929C37,Passed,Passed,2499.45278,0286DA6277F20B716E2300058A0D0004,Passed,02876E630006,Passed,55695,41729,58031,65820,72265,47399,62968,65148,45324,53978,63882,44907,20673,23.8770907,23.8770878,23.8772316,23.8788888,23.8790903,23.8791299,23.8791963,23.8794979,23.8794346,23.8782274,23.8785901,23.8802259,23.8806076,0,0,0,0,0,0,0,0,0,0,0,0,0,0.151104894,0.162144235,0.160910185,0.166770727,0.156099886,0.162482663,0.173311178,0.195346651,0.189122788,0.201849062,0.220458629,0.187134242,0.203502174,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,10000,10001,10001,10002,10000,10002,10001,10001,10001,10.10,0.01,10.18,0.00,80.00,9.97,10.01,9996,10.01,10007,Passed,Passed,10.02,0.01,Passed,19483,32431,8439,14427,Passed,Passed,Passed,Passed,99999,99999,49909,Passed,0,0,0,Passed,Passed,Passed,Passed,Passed,32770.8253,Passed,Passed,Passed,00:12:EA:11:0B:67,Passed,Passed,Passed,Passed,25, 87c148ecaab8466b25aa4cfbe78021c3, 87c148ecaab8466b25aa4cfbe78021c3, 97f8019342fa6278231d72febcddde73, 97f8019342fa6278231d72febcddde73, c22acc2e347bf98880465b6f70fb0321, 50303bf26e60d9011cb5cf713e941182,Passed,Passed
S230803971,23/02/2023 12:13:20 a. m.,438.05s,1,Passed,,0.179581,23.7942961,4.99618473,3.32819727,1.36077281,1.27329715,23.7959097,2.09257028,Passed,400311901,Passed,014501,0288FFE380030B2B9C6FFFE9,0289FFE880010B2D9C70FFE9,028AFFE680030B2B9C6EFFEA,028BFFD97FF20B1B9C6EFFFD,028CFFDA7FF40B199C6FFFFB,028DFFDC7FF60B1E9C6CFFFC,028EFFDC7FF50B1B9C6DFFFA,028FFFDF7FF50B1E9C6DFFFA,0290FFDE7FFD0B1D9C6CFFFB,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,028545160019572900119C710015271B,02929C5C,Passed,Passed,2501.72549,0286D9A777740B636E2800038A230003,Passed,02876E5B0009,Passed,39356,51546,34214,66017,56709,55370,65148,61584,15193,46967,11348,37552,53226,23.846106,23.846062,23.8463408,23.8482851,23.848243,23.8486541,23.8489178,23.8487713,23.8483727,23.8455611,23.8470343,23.8484597,23.8478846,0,0,0,0,0,0,0,0,0,0,0,0,0,0.188044948,0.189295919,0.202403702,0.228877967,0.234850898,0.233540526,0.292055033,0.269716421,0.331436396,0.259077056,0.264430963,0.249136654,0.335058307,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,10001,10000,10000,10000,9999,9999,9999,10000,9999,10.11,0.00,10.20,0.00,80.00,10.00,10.02,9998,10.01,10000,Passed,Passed,10.01,0.01,Passed,25925,54742,33911,27923,Passed,Passed,Passed,Passed,99999,99999,99999,Passed,0,0,0,Passed,Passed,Passed,Passed,Passed,32771.3451,Passed,Passed,Passed,00:12:EA:11:0B:68,Passed,Passed,Passed,Passed,25, 87c148ecaab8466b25aa4cfbe78021c3, 87c148ecaab8466b25aa4cfbe78021c3, 97f8019342fa6278231d72febcddde73, 97f8019342fa6278231d72febcddde73, c22acc2e347bf98880465b6f70fb0321, 50303bf26e60d9011cb5cf713e941182,Passed,Passed
S230804069,23/02/2023 12:22:15 a. m.,435.67s,2,Passed,,0.176727,23.8671674,4.98607664,3.35817142,1.35209395,1.2729354,23.8674689,2.15615478,Passed,400311901,Passed,014501,0288FFDA80150B2E9BF00005,0289FFE3800B0B2F9BEB000E,028AFFE580080B2C9BE40015,028BFFD37FF90B189BDC002E,028CFFD97FFC0B1C9BE20021,028DFFDB80060B209BE00020,028EFFDB80000B1E9BE00027,028FFFDE80040B1F9BDD0028,0290FFDD80040B1D9BDC002F,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,028544A90017571F000D9C03000B271E,02929BEB,Passed,Passed,2494.71814,0286DC8479090B8A6DD8000389C90002,Passed,02876EAD0007,Passed,46133,35857,51238,65011,70086,40870,51015,61557,41517,50238,51238,35100,20087,23.8786969,23.8788758,23.8788988,23.8807128,23.8810676,23.8810865,23.8809706,23.8810938,23.881202,23.8793063,23.8797071,23.8818742,23.8821772,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19733358,0.199593507,0.241750392,0.218281442,0.178230847,0.188817439,0.182012052,0.179051386,0.172574157,0.180601237,0.188281486,0.162524171,0.158300106,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,9992,9994,9995,9994,9996,9993,9996,9996,9997,10.06,0.01,9.91,0.00,80.00,9.97,10.01,9993,10.01,10013,Passed,Passed,10.08,0.01,Passed,19686,33911,8783,14165,Passed,Passed,Passed,Passed,99999,99999,48842,Passed,0,0,0,Passed,Passed,Passed,Passed,Passed,32770.955,Passed,Passed,Passed,00:12:EA:11:0B:69,Passed,Passed,Passed,Passed,25, 87c148ecaab8466b25aa4cfbe78021c3, 87c148ecaab8466b25aa4cfbe78021c3, 97f8019342fa6278231d72febcddde73, 97f8019342fa6278231d72febcddde73, c22acc2e347bf98880465b6f70fb0321, 50303bf26e60d9011cb5cf713e941182,Passed,Passed
S230704694,23/02/2023 12:22:16 a. m.,436.80s,1,Passed,,0.175629,23.6528807,5.00533567,3.33827434,1.35556677,1.27756976,23.6542229,23.6536437,Passed,400311901,Passed,014501,0288FFE880360B319C66FFEF,0289FFED801B0B309C69FFED,028AFFE9802C0B309C68FFEE,028BFFDB801C0B209C69FFFD,028CFFE080270B229C6AFFFA,028DFFE6801D0B249C67FFFA,028EFFE180070B1E9C68FFFD,028FFFE480270B269C68FFF8,0290FFE2800E0B1D9C68FFFB,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,0285450C0018571400119C6E001326FB,02929C5C,Passed,Passed,2501.72352,0286DA9B781B0B746E4D00038A410003,Passed,02876EAB000A,Passed,37119,53466,30600,65171,52653,56295,65709,62688,14427,46133,12234,42145,60504,23.8638725,23.8638392,23.8642495,23.8663306,23.8664951,23.8661694,23.8662895,23.8664528,23.866497,23.8637178,23.8650215,23.8668878,23.867527,0,0,0,0,0,0,0,0,0,0,0,0,0,0.70495149,0.769049145,0.649642427,0.693212218,0.675159507,0.164776156,0.184610962,0.178475006,0.197537743,0.166778758,0.170752597,0.161839177,0.16605688,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,9999,10000,9998,9998,9999,9999,9999,9999,9999,10.13,0.01,10.02,0.00,80.00,10.00,10.01,9996,10.01,10002,Passed,Passed,10.04,0.01,Passed,25007,51415,32540,24850,Passed,Passed,Passed,Passed,99999,99999,99999,Passed,0,0,0,Passed,Passed,Passed,Passed,Passed,32770.2368,Passed,Passed,Passed,00:12:EA:11:0B:6A,Passed,Passed,Passed,Passed,25, 87c148ecaab8466b25aa4cfbe78021c3, 87c148ecaab8466b25aa4cfbe78021c3, 97f8019342fa6278231d72febcddde73, 97f8019342fa6278231d72febcddde73, c22acc2e347bf98880465b6f70fb0321, 50303bf26e60d9011cb5cf713e941182,Passed,Passed
