,,,,,TestName,UUT Current Measurment,24 VDC Measurment,5 VDC Measurment,3.3 VDC Measurment,1.35 VDC Measurment,1.275 VDC Measurment,VDC w/18 VAC Power,VDC w/7 VAC Power,Program & Verify Hardware,Hardware Number,Program & Verify Serial Number,Verify Software Number,AI1 Data Calibrated,AI2 Data Calibrated,AI3 Data Calibrated,AI4 Data Calibrated,AI5 Data Calibrated,AI6 Data Calibrated,AI7 Data Calibrated,AI8 Data Calibrated,AI9 Data Calibrated,AI1 Calibration,AI2 Calibration,AI3 Calibration,AI4 Calibration,AI5 Calibration,AI6 Calibration,AI7 Calibration,AI8 Calibration,AI9 Calibration,UIO1 Data Calibrated,2.5V Reference Data Calibrated,UIO1 Calibration,2.5V Reference Calibration,2.5V_Buf Reference,UI1 Data Calibrated,UI1 Calibration,AO1 Data Calibrated,AO1 Calibration,Binary Output 1 Led ON,Binary Output 2 Led ON,Binary Output 3 Led ON,Binary Output 4 Led ON,Binary Output 5 Led ON,Binary Output 6 Led ON,Binary Output 7 Led ON,Binary Output 8 Led ON,Binary Output 9 Led ON,Binary Output 10 Led ON,Binary Output 11 Led ON,Binary Output 12 Led ON,Binary Output 13 Led ON,24 VAC Binary Output 1,24 VAC Binary Output 2,24 VAC Binary Output 3,24 VAC Binary Output 4,24 VAC Binary Output 5,24 VAC Binary Output 6,24 VAC Binary Output 7,24 VAC Binary Output 8,24 VAC Binary Output 9,24 VAC Binary Output 10,24 VAC Binary Output 11,24 VAC Binary Output 12,24 VAC Binary Output 13,Binary Output 1 Led OFF,Binary Output 2 Led OFF,Binary Output 3 Led OFF,Binary Output 4 Led OFF,Binary Output 5 Led OFF,Binary Output 6 Led OFF,Binary Output 7 Led OFF,Binary Output 8 Led OFF,Binary Output 9 Led OFF,Binary Output 10 Led OFF,Binary Output 11 Led OFF,Binary Output 12 Led OFF,Binary Output 13 Led OFF,0 VAC Binary Output 1,0 VAC  Binary Output 2,0 VAC  Binary Output 3,0 VAC  Binary Output 4,0 VAC  Binary Output 5,0 VAC  Binary Output 6,0 VAC  Binary Output 7,0 VAC  Binary Output 8,0 VAC  Binary Output 9,0 VAC  Binary Output 10,0 VAC  Binary Output 11,0 VAC  Binary Output 12,0 VAC  Binary Output 13,Binary Input 1 High,Binary Input 2 High,Binary Input 3 High,Binary Input 4 High,Binary Input 5 High,Binary Input 6 High,Binary Input 7 High,Binary Input 8 High,Binary Input 9 High,Binary Input 10 High,Binary Input 11 High,Binary Input 12 High,Binary Input 13 High,Binary Input 14 High,Binary Input 15 High,Binary Input 16 High,Binary Input 1 Low,Binary Input 2 Low,Binary Input 3 Low,Binary Input 4 Low,Binary Input 5 Low,Binary Input 6 Low,Binary Input 7 Low,Binary Input 8 Low,Binary Input 9 Low,Binary Input 10 Low,Binary Input 11 Low,Binary Input 12 Low,Binary Input 13 Low,Binary Input 14 Low,Binary Input 15 Low,Binary Input 16 Low,AI1 Resistance Input Mode 10k,AI2 Resistance Input Mode 10k,AI3 Resistance Input Mode 10k,AI4 Resistance Input Mode 10k,AI5 Resistance Input Mode 10k,AI6 Resistance Input Mode 10k,AI7 Resistance Input Mode 10k,AI8 Resistance Input Mode 10k,AI9 Resistance Input Mode 10k,AO1 Voltage Output Mode 10V,AO1 Voltage Output Mode 0V,AO1 Current Output Mode 10 mA,AO1 Current Output Mode 0 mA,AO1 PWM Output Mode 80Hz,UI1 Voltage Input Mode 10V,UI1 Current Input Mode 10mA,UI1 Resistance Input Mode 10k,UIO1 Current Input Mode 10mA,UIO1 Resistance Input Mode 10k,UIO1 Binary Input Mode "0",UIO1 Binary Input Mode "1",UIO1 Voltage Output Mode 10V,UIO1 Voltage Output Mode 0V,UART Test,UART LED11 Test,UART LED12 Test,UART LED13 Test,UART LED14 Test,USB Host J2 Test,USB Device P13 Test,Ethernet Loockback Test,System LEDs Test ON,LED9 Test ON,LED10 Test ON,LED3 Test ON,System LEDs Test OFF,LED9 Test OFF,LED10 Test OFF,LED3 Test OFF,LCD Display 1 Test,LCD Display 2 Test,Push-Bottom Test,Rotary Switch Test,Setting Calibration RTC_CLK_OUT,RTC_CLK_OUT Test,Match Date Calibration,Incrementing Date,Mac Address Assigment,Mac Address Assigned,Hardware Programmed,Serial Number Programmed,Login to SO and Change Directory,Request Cert and Certificate Installed,PS Processor Version,Device Tree md5sum,Device Tree (copy) md5sum,Field Kernel md5sum,Field Kernel (copy) md5sum,Recovery Kernel md5sum,U-boot md5sum,Reset Controller,Disable Debug Console
,,,,,LowLimit,0.05,22.8,4.75,3.135,1.337,1.262,22.8,0,Passed,,Passed,,,,,,,,,,,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,,,Passed,Passed,2250,,Passed,,Passed,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,9900,9900,9900,9900,9900,9900,9900,9900,9900,9.85,-0.10,9.50,-0.25,79.20,9.50,9.50,9900,9.50,9900,Passed,Passed,9.50,-0.05,Passed,1000,1000,1000,1000,Passed,Passed,Passed,Passed,1000,1000,1000,Passed,-100,-100,-100,Passed,Passed,Passed,Passed,Passed,30000,Passed,Passed,Passed,,Passed,Passed,Passed,Passed,,,,,,,,Passed,Passed
,,,,,HighLimit,0.3,25.2,5.25,3.465,1.363,1.288,25.2,24,Passed,,Passed,,,,,,,,,,,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,,,Passed,Passed,2750,,Passed,,Passed,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,100,100,100,100,100,100,100,100,100,100,100,100,100,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,10100,10100,10100,10100,10100,10100,10100,10100,10100,10.15,0.10,10.75,0.25,80.80,10.10,10.15,10100,10.15,10100,Passed,Passed,10.20,1.00,Passed,100000,100000,100000,100000,Passed,Passed,Passed,Passed,100000,100000,100000,Passed,1000,1000,1000,Passed,Passed,Passed,Passed,Passed,40000,Passed,Passed,Passed,,Passed,Passed,Passed,Passed,,,,,,,,Passed,Passed
,,,,,Units,A,VDC,VDC,VDC,VDC,VDC,VDC,VDC,,,,,,,,,,,,,,,,,,,,,,,,,,,mV,,,,,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ohms,Ohms,Ohms,Ohms,Ohms,Ohms,Ohms,Ohms,Ohms,VDC,VDC,mADC,mADC,Hz,VDC,mADC,Ohms,mADC,Ohms,,,VDC,VDC,,Lm,Lm,Lm,Lm,,,,,Lm,Lm,Lm,,Lm,Lm,Lm,,,,,,Hz,,,,,,,,,,,,,,,,,
SN,Date,CycleTime,Nest,Status,FirstFail
S230403518,01/02/2023 12:14:50 a. m.,493.46s,2,Failed,Login to SO and Change Directory,0.187851,23.661423,4.99333929,3.33076458,1.34855187,1.27563635,23.6610094,1.88525004,Passed,400311901,Passed,014501,0288FFDB80110B2E9C89FFFA,0289FFE4800B0B2E9C7D000A,028AFFE680080B2C9C81000B,028BFFD97FFD0B189C730026,028CFFDC7FFD0B1B9C7D0019,028DFFDE80020B1E9C7D0018,028EFFDD7FFE0B1D9C80001A,028FFFE180000B1E9C810011,0290FFDE80020B1C9C7A001D,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,028544FC00165794000F9C9A00102720,02929C81,Passed,Passed,2504.06389,0286DA1877D90B6E6E2100048A2A0004,Passed,02876E47000A,Passed,70050,62714,66104,66809,67369,79057,73866,58847,71575,69688,71692,26516,24209,23.8815236,23.8810529,23.8817961,23.8835356,23.8834563,23.8837848,23.8837963,23.884122,23.8840552,23.8828987,23.8829386,23.885103,23.8850633,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10375644,0.122617333,0.109825645,0.114986593,0.103384,0.111149022,0.118335977,0.134724272,0.127727934,0.138893916,0.17559343,0.157322346,0.167403741,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,9997,9997,9997,9996,9997,9997,9998,9997,9999,10.06,0.01,9.99,0.01,80.00,9.99,10.01,9996,10.01,10016,Passed,Passed,9.99,0.01,Passed,20284,37976,8439,17108,Passed,Passed,Passed,Passed,99999,99999,45963,Passed,0,0,0,Passed,Passed,Passed,Passed,Passed,32769.9124,Passed,Passed,Passed,,Passed,Passed,Failed,,,,,,,,,,
S230403524,01/02/2023 12:28:14 a. m.,495.12s,2,Failed,Login to SO and Change Directory,0.190399,23.7003464,5.0119512,3.33038861,1.3464818,1.27626252,23.7007015,1.9445659,Passed,400311901,Passed,014501,0288FFDA80180B2F9C6D0004,0289FFDF80110B309C6E0007,028AFFE380020B2C9C6D000B,028BFFCD80020B199C630022,028CFFD37FFE0B1A9C530038,028DFFD47FFC0B1C9C5A002E,028EFFD880030B1E9C570036,028FFFDA80020B1E9C560034,0290FFDA80050B1D9C580030,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,028544CF0018579F00129C8100132711,02929C6E,Passed,Passed,2502.85614,0286DA2677B70B686E5000048A500004,Passed,02876E8E000B,Passed,72378,57610,68560,68657,65103,78394,69000,62327,71051,69924,71475,28723,31535,23.8848138,23.884909,23.8850639,23.8868315,23.8868743,23.8870804,23.8867754,23.8868284,23.8868477,23.8855709,23.8854606,23.8877116,23.8878056,0,0,0,0,0,0,0,0,0,0,0,0,0,0.232229455,0.251666919,0.250088947,0.229444586,0.192028553,0.192695064,0.176258994,0.16739182,0.143450273,0.131697301,0.146037743,0.115583284,0.102271341,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,9992,9994,9995,9993,9996,9994,9996,9996,9997,10.07,0.01,9.85,0.01,80.00,9.99,10.01,9998,10.01,10003,Passed,Passed,9.98,0.01,Passed,19888,36042,8439,17336,Passed,Passed,Passed,Passed,99999,99999,47821,Passed,0,0,0,Passed,Passed,Passed,Passed,Passed,32770.0751,Passed,Passed,Passed,,Passed,Passed,Failed,,,,,,,,,,
S230403383,01/02/2023 12:37:26 a. m.,496.45s,1,Failed,Login to SO and Change Directory,0.189941,23.6990909,4.98509901,3.32226814,1.34969277,1.27459628,23.7007205,1.90248313,Passed,400311901,Passed,014501,0288FFDB80160B2C9C81FFEC,0289FFE3800F0B2E9C82FFED,028AFFDD80120B2C9C81FFEC,028BFFCE80000B1C9C82FFFE,028CFFD480010B1A9C80FFFF,028DFFDE7FFE0B1E9C80FFFB,028EFFD97FFB0B1C9C81FFFA,028FFFD580400B299C81FFFA,0290FFDA80040B1D9C7FFFFB,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,0285453E0017578200109C8600162711,02929C73,Passed,Passed,2503.18898,0286D98277610B5F6E3700038A350002,Passed,02876E890008,Passed,59424,56538,30116,74060,59244,60645,66683,54780,28592,26370,7003,63906,80357,23.8457235,23.8460516,23.8460027,23.8478881,23.8479312,23.8480372,23.8479899,23.8481919,23.8483018,23.845928,23.8474928,23.8500592,23.8499333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.196313096,0.191953811,0.190151605,0.203132834,0.194955502,0.171655772,0.211192788,0.187648546,0.194577377,0.140289331,0.131068633,0.110002306,0.107032748,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,9993,9996,9994,9996,9997,9999,9998,9995,9997,10.06,0.01,9.89,0.00,80.00,10.00,10.01,9995,10.01,9985,Passed,Passed,9.97,0.01,Passed,25471,58380,32210,28327,Passed,Passed,Passed,Passed,99999,99999,99999,Passed,0,0,0,Passed,Passed,Passed,Passed,Passed,32770.4406,Passed,Passed,Passed,,Passed,Passed,Failed,,,,,,,,,,
S230403523,01/02/2023 12:48:01 a. m.,193.99s,2,Failed,UI1 Resistance Input Mode 10k,0.189133,23.6978655,5.00687294,3.33164407,1.34330996,1.27182103,23.6980093,1.8950271,Passed,400311901,Passed,014501,0288FFDD80170B2F9BFBFFF1,0289FFE1800F0B2F9BF3FFF8,028AFFE5800E0B2D9BF9FFF1,028BFFD27FFE0B199BF70008,028CFFD77FFD0B1B9BF10005,028DFFDA80080B209BEF000A,028EFFD880010B1D9BEF0015,028FFFDD80020B1E9BF10006,0290FFDA80030B1C9BF50008,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,028544CD001A575100139BFF00182717,02929BEC,Passed,Passed,2494.73148,0286DAEA78260B716D95000589890003,Passed,02876E4B000A,Passed,73489,62301,67913,68249,74456,79678,75740,64943,68676,69467,72474,21798,25624,23.8820715,23.8825604,23.8824518,23.8839347,23.8842382,23.8844199,23.8845593,23.8845949,23.8846702,23.8830641,23.8834772,23.8858069,23.885936,0,0,0,0,0,0,0,0,0,0,0,0,0,0.159537294,0.185771696,0.169080592,0.17621644,0.168799846,0.175683597,0.188461587,0.213935123,0.197487893,0.213021465,0.242661743,0.210059921,0.224604141,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,9992,9995,9995,9996,9997,9994,9997,9996,9997,10.07,0.01,9.91,0.00,80.00,9.99,10.01,9217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S230403383,01/02/2023 12:50:23 a. m.,661.92s,1,Failed,Request Cert and Certificate Installed,0.185455,23.7108646,4.98641005,3.32187129,1.35017633,1.27490417,23.7118121,1.9325515,Passed,400311901,Passed,014501,0288FFE0800C0B2C9C82FFEF,0289FFE480080B2D9C86FFEC,028AFFE1800B0B2C9C82FFEF,028BFFD07FFB0B1C9C84FFFD,028CFFD57FFC0B1B9C83FFFD,028DFFDC7FFC0B1E9C82FFFD,028EFFD87FF70B1C9C83FFFE,028FFFD9803B0B2A9C83FFF9,0290FFD87FFE0B1C9C82FFFD,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,0285453E00165782000E9C8800152719,02929C74,Passed,Passed,2503.22223,0286D976775D0B5F6E3700038A320003,Passed,02876E8B0009,Passed,58443,56606,30600,74500,58939,61009,67348,57215,29869,27649,7733,65531,80961,23.8532261,23.8535728,23.8538152,23.8557584,23.8558305,23.8558313,23.8559291,23.8559833,23.8562143,23.8535484,23.8549616,23.8567213,23.8566191,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115226064,0.110900598,0.115542793,0.139776338,0.109490458,0.114130964,0.150089563,0.147293459,0.158166927,0.141565885,0.149663586,0.141923299,0.156366354,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,9998,9998,9998,9998,9999,10000,9998,9997,9999,10.06,0.01,9.89,0.00,80.00,10.00,10.01,9992,10.01,10009,Passed,Passed,9.99,0.01,Passed,24692,58095,31535,28327,Passed,Passed,Passed,Passed,99999,99999,99999,Passed,0,0,0,Passed,Passed,Passed,Passed,Passed,32770.4375,Passed,Passed,Passed,00:12:EA:11:04:04,Passed,Passed,Passed,Failed,,,,,,,,,
S230403502,01/02/2023 12:58:02 a. m.,295.44s,2,Failed,Rotary Switch Test,0.187393,23.8061999,4.99355962,3.31479853,1.35028288,1.27678848,23.8057097,1.85860239,Passed,400311901,Passed,014501,0288FFED80010B2F9C19FFEB,0289FFF080000B2F9C13FFF4,028AFFF280030B2E9C15FFEF,028BFFE67FF30B1A9C0F000D,028CFFE87FF80B1C9C170003,028DFFEA7FFA0B209C16FFFE,028EFFEA7FFB0B1F9C050013,028FFFEC7FFC0B1E9C0B0009,0290FFEB7FFF0B1E9C15FFFE,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,028544C600155763000F9C23000C271A,02929C0D,Passed,Passed,2496.83609,0286D9C277850B646DE2000489ED0002,Passed,02876E2F000B,Passed,77408,64289,69226,69523,71475,80650,76038,65171,70283,70032,72378,23549,22866,23.8817554,23.8818914,23.8819302,23.8837447,23.8840805,23.8840664,23.884109,23.8841792,23.8845213,23.8829686,23.8831913,23.8852723,23.8853773,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21026664,0.231146467,0.232499837,0.222642272,0.19709694,0.21263418,0.208417612,0.212485868,0.209126875,0.221507924,0.23738551,0.19868482,0.207802601,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,10008,10005,10004,10003,10003,10003,10002,10003,10002,10.04,0.01,9.98,0.00,80.00,9.99,10.01,10000,10.01,10008,Passed,Passed,9.98,0.01,Passed,19888,35482,8439,16410,Passed,Passed,Passed,Passed,99999,99999,45963,Passed,0,0,0,Passed,Passed,Passed,Failed,,,,,,,,,,,,,,,,,,,
