,,,,,TestName,UUT Current Measurment,24 VDC Measurment,5 VDC Measurment,3.3 VDC Measurment,1.35 VDC Measurment,1.275 VDC Measurment,VDC w/18 VAC Power,VDC w/7 VAC Power,Program & Verify Hardware,Hardware Number,Program & Verify Serial Number,Verify Software Number,AI1 Data Calibrated,AI2 Data Calibrated,AI3 Data Calibrated,AI4 Data Calibrated,AI5 Data Calibrated,AI6 Data Calibrated,AI7 Data Calibrated,AI8 Data Calibrated,AI9 Data Calibrated,AI1 Calibration,AI2 Calibration,AI3 Calibration,AI4 Calibration,AI5 Calibration,AI6 Calibration,AI7 Calibration,AI8 Calibration,AI9 Calibration,UIO1 Data Calibrated,2.5V Reference Data Calibrated,UIO1 Calibration,2.5V Reference Calibration,2.5V_Buf Reference,UI1 Data Calibrated,UI1 Calibration,AO1 Data Calibrated,AO1 Calibration,Binary Output 1 Led ON,Binary Output 2 Led ON,Binary Output 3 Led ON,Binary Output 4 Led ON,Binary Output 5 Led ON,Binary Output 6 Led ON,Binary Output 7 Led ON,Binary Output 8 Led ON,Binary Output 9 Led ON,Binary Output 10 Led ON,Binary Output 11 Led ON,Binary Output 12 Led ON,Binary Output 13 Led ON,24 VAC Binary Output 1,24 VAC Binary Output 2,24 VAC Binary Output 3,24 VAC Binary Output 4,24 VAC Binary Output 5,24 VAC Binary Output 6,24 VAC Binary Output 7,24 VAC Binary Output 8,24 VAC Binary Output 9,24 VAC Binary Output 10,24 VAC Binary Output 11,24 VAC Binary Output 12,24 VAC Binary Output 13,Binary Output 1 Led OFF,Binary Output 2 Led OFF,Binary Output 3 Led OFF,Binary Output 4 Led OFF,Binary Output 5 Led OFF,Binary Output 6 Led OFF,Binary Output 7 Led OFF,Binary Output 8 Led OFF,Binary Output 9 Led OFF,Binary Output 10 Led OFF,Binary Output 11 Led OFF,Binary Output 12 Led OFF,Binary Output 13 Led OFF,0 VAC Binary Output 1,0 VAC  Binary Output 2,0 VAC  Binary Output 3,0 VAC  Binary Output 4,0 VAC  Binary Output 5,0 VAC  Binary Output 6,0 VAC  Binary Output 7,0 VAC  Binary Output 8,0 VAC  Binary Output 9,0 VAC  Binary Output 10,0 VAC  Binary Output 11,0 VAC  Binary Output 12,0 VAC  Binary Output 13,Binary Input 1 High,Binary Input 2 High,Binary Input 3 High,Binary Input 4 High,Binary Input 5 High,Binary Input 6 High,Binary Input 7 High,Binary Input 8 High,Binary Input 9 High,Binary Input 10 High,Binary Input 11 High,Binary Input 12 High,Binary Input 13 High,Binary Input 14 High,Binary Input 15 High,Binary Input 16 High,Binary Input 1 Low,Binary Input 2 Low,Binary Input 3 Low,Binary Input 4 Low,Binary Input 5 Low,Binary Input 6 Low,Binary Input 7 Low,Binary Input 8 Low,Binary Input 9 Low,Binary Input 10 Low,Binary Input 11 Low,Binary Input 12 Low,Binary Input 13 Low,Binary Input 14 Low,Binary Input 15 Low,Binary Input 16 Low,AI1 Resistance Input Mode 10k,AI2 Resistance Input Mode 10k,AI3 Resistance Input Mode 10k,AI4 Resistance Input Mode 10k,AI5 Resistance Input Mode 10k,AI6 Resistance Input Mode 10k,AI7 Resistance Input Mode 10k,AI8 Resistance Input Mode 10k,AI9 Resistance Input Mode 10k,AO1 Voltage Output Mode 10V,AO1 Voltage Output Mode 0V,AO1 Current Output Mode 10 mA,AO1 Current Output Mode 0 mA,AO1 PWM Output Mode 80Hz,UI1 Voltage Input Mode 10V,UI1 Current Input Mode 10mA,UI1 Resistance Input Mode 10k,UIO1 Current Input Mode 10mA,UIO1 Resistance Input Mode 10k,UIO1 Binary Input Mode "0",UIO1 Binary Input Mode "1",UIO1 Voltage Output Mode 10V,UIO1 Voltage Output Mode 0V,UART Test,UART LED11 Test,UART LED12 Test,UART LED13 Test,UART LED14 Test,USB Host J2 Test,USB Device P13 Test,Ethernet Loockback Test,System LEDs Test ON,LED9 Test ON,LED10 Test ON,LED3 Test ON,System LEDs Test OFF,LED9 Test OFF,LED10 Test OFF,LED3 Test OFF,LCD Display 1 Test,LCD Display 2 Test,Push-Bottom Test,Rotary Switch Test,Setting Calibration RTC_CLK_OUT,RTC_CLK_OUT Test,Match Date Calibration,Incrementing Date,Mac Address Assigment,Mac Address Assigned,Hardware Programmed,Serial Number Programmed,Login to SO and Change Directory,Request Cert and Certificate Installed,PS Processor Version,Device Tree md5sum,Device Tree (copy) md5sum,Field Kernel md5sum,Field Kernel (copy) md5sum,Recovery Kernel md5sum,U-boot md5sum,Reset Controller,Disable Debug Console
,,,,,LowLimit,0.05,22.8,4.75,3.135,1.337,1.262,22.8,0,Passed,,Passed,,,,,,,,,,,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,,,Passed,Passed,2250,,Passed,,Passed,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,9900,9900,9900,9900,9900,9900,9900,9900,9900,9.85,-0.10,9.50,-0.25,79.20,9.50,9.50,9900,9.50,9900,Passed,Passed,9.50,-0.05,Passed,1000,1000,1000,1000,Passed,Passed,Passed,Passed,1000,1000,1000,Passed,-100,-100,-100,Passed,Passed,Passed,Passed,Passed,30000,Passed,Passed,Passed,,Passed,Passed,Passed,Passed,,,,,,,,Passed,Passed
,,,,,HighLimit,0.3,25.2,5.25,3.465,1.363,1.288,25.2,24,Passed,,Passed,,,,,,,,,,,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,,,Passed,Passed,2750,,Passed,,Passed,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,100,100,100,100,100,100,100,100,100,100,100,100,100,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,10100,10100,10100,10100,10100,10100,10100,10100,10100,10.15,0.10,10.75,0.25,80.80,10.10,10.15,10100,10.15,10100,Passed,Passed,10.20,1.00,Passed,100000,100000,100000,100000,Passed,Passed,Passed,Passed,100000,100000,100000,Passed,1000,1000,1000,Passed,Passed,Passed,Passed,Passed,40000,Passed,Passed,Passed,,Passed,Passed,Passed,Passed,,,,,,,,Passed,Passed
,,,,,Units,A,VDC,VDC,VDC,VDC,VDC,VDC,VDC,,,,,,,,,,,,,,,,,,,,,,,,,,,mV,,,,,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ohms,Ohms,Ohms,Ohms,Ohms,Ohms,Ohms,Ohms,Ohms,VDC,VDC,mADC,mADC,Hz,VDC,mADC,Ohms,mADC,Ohms,,,VDC,VDC,,Lm,Lm,Lm,Lm,,,,,Lm,Lm,Lm,,Lm,Lm,Lm,,,,,,Hz,,,,,,,,,,,,,,,,,
SN,Date,CycleTime,Nest,Status,FirstFail
S230803193,25/02/2023 12:37:40 a. m.,431.54s,1,Passed,,0.179657,23.8313592,5.02861925,3.33155245,1.35435003,1.27525413,23.8328471,1.92213719,Passed,1365173501,Passed,011F81,0288FFD47FDC0B0B9C6A000E,0289FFD87FD60B0A9C6B000C,028AFFD07FD40B059C6C0013,028BFFCD7FC80B059C6D0014,028CFFCE7FD80B029C6B0016,028DFFCD7FD90B039C6B0017,028EFFC97FD30B049C6D0017,028FFFD27FD80B0A9C6E0010,0290FFC97FE00B0C9C730017,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,028544C900195781000C9C7600172714,02929C57,Passed,Passed,2501.45016,0286DA2D77CE0B666E06000E8A130012,Passed,02876EA4001C,Passed,35196,54325,35857,68347,52064,58878,68618,67511,14427,48133,13083,46359,59334,23.8615139,23.8617793,23.8617761,23.8637864,23.8635895,23.863686,23.8637632,23.8638179,23.8635751,23.8610614,23.8621035,23.8641256,23.8646805,0,0,0,0,0,0,0,0,0,0,0,0,0,0.60662132,0.671463933,0.0557809215,0.103099459,0.076054642,0.0730209213,0.0960812881,0.104555234,0.0747234695,0.0924051313,0.0959512879,0.101088463,0.104221064,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,10003,10001,10002,10001,10001,9999,10000,10000,9999,10.07,0.01,9.98,0.00,80.29,10.00,9.99,9998,10.01,10000,Passed,Passed,10.01,0.04,Passed,22516,53900,29745,27231,Passed,Passed,Passed,Passed,99999,99999,99999,Passed,0,0,0,Passed,Passed,Passed,Passed,Passed,32770.3047,Passed,Passed,Passed,00:12:EA:11:0C:84,Passed,Passed,Passed,Passed,25, 3a70eea449ac4a1d768753ec9c26c3d9, 3a70eea449ac4a1d768753ec9c26c3d9, 162441d06a4f1928a4d032085114e5d9, 162441d06a4f1928a4d032085114e5d9, 43f385263d267c78bc9e2f89d1e54cb7, c96afdbb7d6771e539bea3d6568e9be8,Passed,Passed
S230803174,25/02/2023 12:38:34 a. m.,193.21s,2,Failed,USB Device P13 Test,0.176727,23.7055613,5.04179958,3.31343445,1.34830087,1.27721375,23.705254,1.98445977,Passed,1365173501,Passed,011F81,0288FFCB7FF70B109C4BFFF8,0289FFD07FFB0B109C52FFF5,028AFFC880010B0E9C4A0000,028BFFC57FF20B0A9C4EFFFA,028CFFC67FF60B0A9C4FFFFE,028DFFC67FD40B059C51FFF9,028EFFC17FF70B0B9C58FFF4,028FFFCA7FD10B079C54FFEC,0290FFC2800C0B119C59FFF9,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,028544E50015571F00179C510015271E,02929C2B,Passed,Passed,2498.70327,0286D90B77340B556E51000C8A740010,Passed,02876E68001D,Passed,60189,42076,54929,66872,71475,48891,50144,64075,52192,58786,69226,44234,20087,23.8844401,23.8844907,23.8846107,23.8867069,23.8868383,23.8869865,23.8869354,23.887302,23.8873181,23.8855593,23.8856724,23.8882155,23.8883622,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0579335704,0.0720321579,0.0831247497,0.0770145882,0.0744951252,0.0869412072,0.0955116298,0.109511626,0.104602972,0.245027284,0.225997025,0.104265721,0.117638051,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,10008,10004,10003,10005,10003,10005,10003,10003,10002,10.07,0.01,10.03,0.00,80.23,9.99,9.98,9997,10.02,10006,Passed,Passed,10.03,0.04,Passed,18222,32971,8089,13900,Passed,Failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S230804090,25/02/2023 12:45:41 a. m.,413.17s,2,Passed,,0.177597,23.788581,5.01264239,3.32450923,1.34603125,1.27320704,23.7884987,2.02654404,Passed,1365173501,Passed,011F81,0288FFD77FDB0B0B9C000005,0289FFDD7FD80B089C040001,028AFFDB7FD60B069C06FFFF,028BFFD97FD80B049C050004,028CFFD87FD70B039BFE000C,028DFFD87FD70B039BFF000A,028EFFD17FE10B079C040004,028FFFDB7FDB0B069C060000,0290FFD07FDD0B089C08000B,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,0285449F0013575C00109C0A00192713,02929BEB,Passed,Passed,2494.68661,0286DA6577D20B696DB3000A89A70013,Passed,02876E4A001A,Passed,47184,28723,50423,61530,68483,43921,56946,59031,47238,59062,65754,37206,19888,23.8890006,23.8891266,23.8893043,23.8912968,23.8915729,23.891748,23.8918602,23.8919332,23.8920764,23.8901339,23.8902888,23.8929232,23.8931998,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128174974,0.137682527,0.162984394,0.138860826,0.118444141,0.133612157,0.131741157,0.138377539,0.132450993,0.141577223,0.136131456,0.118006993,0.131043374,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,10003,10002,10002,10002,10001,10002,10002,10000,10001,10.05,0.01,9.93,0.00,80.22,9.99,9.99,9997,10.01,9998,Passed,Passed,10.02,0.04,Passed,16878,32210,7003,13900,Passed,Passed,Passed,Passed,99999,99999,45383,Passed,0,0,0,Passed,Passed,Passed,Passed,Passed,32770.0689,Passed,Passed,Passed,00:12:EA:11:0C:85,Passed,Passed,Passed,Passed,25, 3a70eea449ac4a1d768753ec9c26c3d9, 3a70eea449ac4a1d768753ec9c26c3d9, 162441d06a4f1928a4d032085114e5d9, 162441d06a4f1928a4d032085114e5d9, 43f385263d267c78bc9e2f89d1e54cb7, c96afdbb7d6771e539bea3d6568e9be8,Passed,Passed
S230405270,25/02/2023 12:45:57 a. m.,429.20s,1,Passed,,0.177811,23.8106914,5.01995686,3.33135978,1.35041788,1.27680636,23.8125122,1.95167959,Passed,1365173501,Passed,011F81,0288FFD9800D0B129C2F0011,0289FFDC80100B129C2F000E,028AFFD380060B0E9C310013,028BFFD080080B109C320014,028CFFCF7FFE0B079C2F0018,028DFFD180030B0C9C300018,028EFFCB7FFA0B0B9C320016,028FFFD2800C0B109C310013,0290FFCA800C0B129C3A0016,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,028544EA0015571500099C3D0019270D,02929C1F,Passed,Passed,2497.93321,0286DA3677B20B6A6E34000C8A0B0011,Passed,02876DDB001A,Passed,38879,56777,39822,69706,58127,60246,72038,70653,16173,49285,15193,41798,56469,23.8629642,23.8631025,23.8634274,23.8653633,23.8654567,23.8654977,23.8653295,23.8656009,23.865645,23.8627226,23.8638959,23.8664617,23.8665804,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1174465,0.114466972,0.121680764,0.158546559,0.159302167,0.141436233,0.146043619,0.154383347,0.11023003,0.136405416,0.141072863,0.133078739,0.134859951,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,9995,9996,9995,9997,9997,9999,9998,9996,9997,10.10,0.01,10.08,0.01,80.28,10.00,9.99,9989,10.01,10019,Passed,Passed,10.07,0.04,Passed,24371,50144,33289,23210,Passed,Passed,Passed,Passed,99999,99999,99999,Passed,0,0,0,Passed,Passed,Passed,Passed,Passed,32770.49,Passed,Passed,Passed,00:12:EA:11:0C:86,Passed,Passed,Passed,Passed,25, 3a70eea449ac4a1d768753ec9c26c3d9, 3a70eea449ac4a1d768753ec9c26c3d9, 162441d06a4f1928a4d032085114e5d9, 162441d06a4f1928a4d032085114e5d9, 43f385263d267c78bc9e2f89d1e54cb7, c96afdbb7d6771e539bea3d6568e9be8,Passed,Passed
S230804093,25/02/2023 12:55:08 a. m.,425.68s,2,Passed,,0.177139,23.8124205,4.98301648,3.33316726,1.34691094,1.26763897,23.8125733,23.8118102,Passed,1365173501,Passed,011F81,0288FFCA7FDD0B0E9C3D0005,0289FFD67FDB0B0E9C3D0009,028AFFD37FD80B0A9C3D0013,028BFFD27FD80B099C450006,028CFFD27FD60B059C40000D,028DFFD17FD70B079C430008,028EFFCC7FD60B089C46000E,028FFFD67FDC0B0A9C40000F,0290FFCB7FE00B0D9C40001B,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,028544E000195779000E9C44001A271F,02929C29,Passed,Passed,2498.53451,0286DAA178080B716E06000D8A210013,Passed,02876E66001A,Passed,59780,43085,61665,68791,74572,52064,66449,67592,58939,67834,72760,32321,20479,23.8838573,23.8838906,23.8839708,23.886115,23.886141,23.8865347,23.8864697,23.8863701,23.8866633,23.8847917,23.8848236,23.8871938,23.8877528,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104688216,0.10835225,0.138791242,0.116554134,0.0914946965,0.105837155,0.0980969011,0.0901629681,0.0935248419,0.0977620255,0.0903974347,0.0717482186,0.0766214187,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,10002,10000,9999,10000,10000,10000,10001,9999,10001,10.11,0.02,10.08,0.02,80.23,9.99,9.99,9941,10.01,10012,Passed,Passed,10.06,0.04,Passed,19686,30719,8439,13900,Passed,Passed,Passed,Passed,99999,99999,45848,Passed,0,0,0,Passed,Passed,Passed,Passed,Passed,32769.9556,Passed,Passed,Passed,00:12:EA:11:0C:87,Passed,Passed,Passed,Passed,25, 3a70eea449ac4a1d768753ec9c26c3d9, 3a70eea449ac4a1d768753ec9c26c3d9, 162441d06a4f1928a4d032085114e5d9, 162441d06a4f1928a4d032085114e5d9, 43f385263d267c78bc9e2f89d1e54cb7, c96afdbb7d6771e539bea3d6568e9be8,Passed,Passed
S230803174,25/02/2023 01:03:22 a. m.,439.26s,1,Passed,,0.176483,23.7065828,5.04183611,3.31337824,1.34823621,1.27716625,23.7076721,1.9238477,Passed,1365173501,Passed,011F81,0288FFE080050B0F9C44000B,0289FFD780040B0F9C44000C,028AFFD380060B0E9C450011,028BFFD17FFE0B0D9C450011,028CFFD27FFE0B089C430013,028DFFCF7FD40B049C450013,028EFFCD7FFA0B0A9C460012,028FFFD57FD30B099C46000E,0290FFCC80100B119C470019,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,028544DF001B572800039C4E0012272B,02929C2E,Passed,Passed,2498.87095,0286D90777350B546E52000E8A720012,Passed,02876E6E001E,Passed,37119,57047,41868,72458,57215,63615,68502,76079,17336,51415,17561,57479,62917,23.8654933,23.8653795,23.8658,23.8681679,23.8682759,23.868249,23.8683747,23.868316,23.8683814,23.8654749,23.8666948,23.8692169,23.8688164,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0229456197,0.0181070931,0.0237480605,0.0702450987,0.0241026457,0.0173253015,0.049518569,0.0525713042,0.0303678291,0.0316390351,0.0290818976,0.0328926643,0.0472866576,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,10000,10001,10000,10000,10001,10000,10000,10000,10000,10.08,0.01,10.03,0.00,80.24,10.00,9.98,9993,10.01,10019,Passed,Passed,10.03,0.04,Passed,23882,54705,31876,27371,Passed,Passed,Passed,Passed,99999,99999,99999,Passed,0,0,0,Passed,Passed,Passed,Passed,Passed,32770.0433,Passed,Passed,Passed,00:12:EA:11:0C:88,Passed,Passed,Passed,Passed,25, 3a70eea449ac4a1d768753ec9c26c3d9, 3a70eea449ac4a1d768753ec9c26c3d9, 162441d06a4f1928a4d032085114e5d9, 162441d06a4f1928a4d032085114e5d9, 43f385263d267c78bc9e2f89d1e54cb7, c96afdbb7d6771e539bea3d6568e9be8,Passed,Passed
